Date,Sentence,Prediction,sentimentScore
2007-05-05,The New York Mets were warming up to play and I was warming up to sell a food item as famously American as baseball and apple pie.,neutral,0.07114739716053009
2007-05-05,Hawking Hot Dogs: Some Are All-Stars and Then There’s ...,neutral,0.023938599973917007
2007-05-10,"Even as its stock is riding high off the success of the iPod and anticipation of the iPhone, Apple will face some restive shareholders at its annual meeting Thursday, TheStreet.com reported.",neutral,-0.3869990110397339
2007-05-10,"Labor unions who own Apple shares through pension funds, have put up proposals that require options to be priced on the day they are granted to eliminate the practice known as backdating; that give investors a nonbinding vote on executive compensation, known as “say on pay”; and that tie executive bonuses to the company’s stock performance.",neutral,0.06860202550888062
2007-05-10,Apple Shareholders to Vote on Compensation Proposals,neutral,-0.010802380740642548
2007-05-11,"Apple chief Steven P. Jobs faced a barrage of questions from shareholders about the company’s handling of stock option grants and its policy of executive compensation, during a an annual meeting Thursday.",negative,-0.8166344165802002
2007-05-11,"But Mr. Jobs, with his typical flair for showmanship, elicited laughs and applause during the meeting despite rankling questions.",positive,0.5080469846725464
2007-05-11,Apple Shareholders Question Jobs on Options,neutral,-0.2675146162509918
2007-05-14,"The International Data Group removed the chief executive of its largest-circulation computer magazine, PC World, and reinstated its top editor.",negative,-0.9003967046737671
2007-05-14,A Nod to Journalistic Integrity Is Seen in an Editor’s Return,neutral,0.18283848464488983
2007-05-14,"Guessing who’s behind The Secret Diary of Steve Jobs, a satirical blog by an anonymous writer calling himself the Fake Steve Jobs, has become a parlor game in Silicon Valley, with several journalists, former Apple employees and even Steve Jobs himself topping the list of suspects.",negative,-0.6044331789016724
2007-05-14,A Deal (and Perhaps an Unveiling) for a Fake Steve Jobs,neutral,0.0001010354608297348
2007-05-17,"I know there are advantages with Outlook and other programs, but is it really worth the hassle of managing mail on the local machine?",neutral,0.03302500396966934
2007-05-17,Pros and Cons of Web-Based Mail,neutral,0.022983282804489136
2007-05-17,"The online store, to be introduced later this year, will allow people to play music on almost any personal device.",neutral,0.11339354515075684
2007-05-17,Amazon to Sell Music Without Copy Protection,neutral,-0.02430051565170288
2007-05-21,"Apple has been silent on how the iPhone will be distributed in Europe, prompting speculation about operator alliances and retail partnerships.",neutral,-0.04390491172671318
2007-05-21,Much Ado About Apple’s iPhone,neutral,-0.13947966694831848
2007-05-21,The people behind Firefox have a dilemma: What happens when an open-source project starts to become successful?,neutral,-0.05111713707447052
2007-05-21,Firefox and the Anxiety of Growing Pains,neutral,-0.10490015149116516
2007-05-23,"The proliferation of cheap software is allowing entrepreneurs to take bigger risks when starting a company with an unproven, or non-existent business model.",neutral,0.07780864834785461
