Date,Sentence,Prediction,sentimentScore
2012-12-05,A new Boeing 787 Dreamliner flown by United Airlines was diverted in midflight to New Orleans after it lost speed and altitude over Mississippi with 184 people aboard.,negative,-0.9461363554000854
2012-12-05,United 787 Loses Speed and Lands Early,negative,-0.8767278790473938
2012-12-11,"Two embarrassing snags last week revived concerns about the reliability of the Boeing 787, as officials sought to cast them as normal growing pains for an advanced aircraft.",negative,-0.8940774202346802
2012-12-11,New Problems With Boeing 787 Revive Concerns,negative,-0.9014432430267334
2012-12-15,"John McAfee returns to the United States, Boeing addresses problems with its 787 aircraft and European Union leaders hold their last summit of the year.",neutral,0.014093860983848572
2012-12-15,"The Week in Business Pictures, Dec. 14",neutral,-0.04906585440039635
2013-01-08,"An incident in Boston a day after a fire on another 787 Dreamliner, Boeing’s newest and most sophisticated jet, added to pressure on the aircraft maker’s stock.",negative,-0.9517928957939148
2013-01-08,Fuel Leak Is Latest Setback for Boeing’s Dreamliner,negative,-0.9473190307617188
2013-01-09,"After three incidents in three days, the aircraft’s maker says its record is comparable to that of other new planes.",positive,0.7294315099716187
2013-01-09,Boeing Says 787 Is Safe Despite Recent Problems,positive,0.13748115301132202
2013-01-11,"Federal authorities said they would order an examination of electrical systems in Boeing’s new 787 Dreamliner after a spate of incidents, including a battery fire this week in Boston.",negative,-0.8137630224227905
2013-01-11,Regulators Will Review Boeing 787s for Safety,neutral,-0.11930735409259796
2013-01-12,"President Obama nominated Jacob J. Lew to be the Treasury secretary, the Consumer Electronics Show took over Las Vegas and Boeing ran into more problems with its 787 Dreamliner.",negative,-0.9375762343406677
2013-01-12,"Pictures From the Week in Business, Jan. 11",neutral,0.007424052804708481
2013-01-16,Japan’s two largest airlines said they would ground their fleets of Boeing’s new 787 aircraft after one operated by All Nippon Airways made an emergency landing in western Japan.,negative,-0.7853572964668274
2013-01-16,Top Airlines in Japan Grounding Boeing 787s,negative,-0.7468342781066895
2013-01-16,"The directive applies to United Airlines, the only American carrier using the new plane, after several safety incidents in recent weeks.",neutral,-0.09602700918912888
2013-01-16,F.A.A.,neutral,0.04458102211356163
2013-01-16,Grounds U.S.-Operated Boeing 787s,neutral,-0.08859825879335403
2013-01-16,The Federal Aviation Administration ordered the temporary grounding of Boeing 787s operated by carriers in the United States.,negative,-0.5816503167152405
2013-01-16,Here is the agency’s statement.,neutral,0.011825412511825562
2013-01-16,F.A.A.,neutral,0.04458102211356163
2013-01-16,Statement Grounding Boeing 787s,neutral,0.0066954270005226135
2013-01-17,the two largest Japanese airlines have grounded their new 787 Dreamliner planes.,negative,-0.9371178150177002
2013-01-17,Tough Start for the Dreamliner,negative,-0.47815313935279846
2013-01-18,"Lithium-ion batteries can store more energy than other types of batteries, but they can also pose a fire risk if not properly cooled.",neutral,0.03167033940553665
2013-01-18,"Powerful Chemical Cocktail, With a Drawback",neutral,0.0916953757405281
2013-01-18,"Lithium-ion batteries are popular because they are powerful and charge quickly, but Boeing has had serious problems with the technology on its new Dreamliner.",negative,-0.9371377825737
2013-01-18,"Praised but Fire-Prone, Battery Fails Test in 787",neutral,0.12301217019557953
2013-01-19,"It is possible that the Dreamliner’s batteries were overcharged, but to lift a grounding order, Boeing must demonstrate that it can prevent similar episodes from happening.",positive,0.6210367679595947
2013-01-19,"Boeing Closer to an Answer, but Not to Getting 787s Back in the Air",neutral,0.04390738904476166
2013-01-19,"Facebook unveiled a new way to search, Boeing’s problems with its 787 Dreamliner deepened and transcripts from the Federal Reserve offered a new look at its response to the financial crisis in 2007.",neutral,0.33554282784461975
2013-01-19,"Pictures From the Week in Business, Jan. 18",neutral,0.005031634122133255
2013-01-20,The National Transportation Safety Board said excess voltage did not cause a battery fire on a Boeing 787 Dreamliner.,negative,-0.8473364114761353
2013-01-20,Safety Board Rules Out a Cause for 787 Battery Fire,neutral,-0.2888231873512268
