Date,Sentence,Prediction,sentimentScore
2015-07-01,"If the new service is successful, it could deliver billions of dollars in revenue to the music industry and establish streaming music as a stable business.",positive,0.8656066656112671
2015-07-01,Daily Report: Apple Music Goes Boldly Where Others Have Gone Before,neutral,0.09811782091856003
2015-07-01,"Different music streaming services have varying costs, platforms and catalog sizes.",neutral,-0.0066375937312841415
2015-07-01,See how some of the most popular companies stack up against one another.,neutral,0.027049316093325615
2015-07-01,"Apple Music, Spotify and a Guide to Music Streaming Services",neutral,0.021585866808891296
2015-07-01,"The service brags that its playlists are curated by people not algorithms; on the other hand, its social network app needs retooling.",neutral,-0.0677882730960846
2015-07-01,"Apple Music Is Strong on Design, Weak on Social Networking",negative,-0.9291943907737732
2015-07-07,"Sesac, a boutique music rights group, is purchasing the Harry Fox Agency, a move that will allow it to collect fees both when songs are played and when they are sold.",positive,0.5285558700561523
2015-07-07,Music Publishing Deal Driven by Shift From Sales to Streaming,neutral,0.16306307911872864
2015-07-09,Apple’s proposal that automakers write apps for technology company software raises concerns about security and safety.,negative,-0.9051032066345215
2015-07-09,"With CarPlay, Apple Looks to Upend Tradition",positive,0.6016713380813599
2015-07-10,"If the company, which has been expanding its video offerings, can strike a deal with music labels, it could rival Google’s YouTube.",positive,0.8719651103019714
2015-07-10,Daily Report: Facebook Said to Seek Licensing Deals for Music Videos,neutral,0.27718865871429443
2015-07-11,Stephen Joseph first sued in San Francisco over graffiti.,negative,-0.8510326147079468
2015-07-11,"He lost, but the city cleaned up the graffiti.",neutral,0.030045360326766968
2015-07-11,His latest victory is trans fats.,neutral,0.140760600566864
2015-07-11,"He has learned that you can lose in court, but carry the day.",neutral,0.08975917845964432
2015-07-11,"When This Man Is Irked, He Might Just File a Suit",neutral,-0.37963584065437317
2015-07-15,How to rid the bookmarks menu of a utility you don’t use.,neutral,-0.07868088036775589
2015-07-15,"Plus, browsing with Chrome on Windows 10 and learning MacBook trackpad gestures.",neutral,0.05193042755126953
2015-07-15,Picking Pockets Off the Firefox Bookmarks List,neutral,-0.01939210295677185
2015-07-15,"They have bigger screens and offer uninterrupted navigation, and some have forward-facing and backup cameras and other safety features.",neutral,0.040522556751966476
2015-07-15,What Stand-Alone GPS Devices Do That Smartphones Can’t,neutral,0.011992577463388443
2015-07-19,Facebook and other companies have struggled with how wearers of the device could have a good experience with their apps tailored to a small screen.,negative,-0.9149856567382812
2015-07-19,Apple Waits as App Developers Study Who’s Buying Its Watch,neutral,-0.05514617636799812
2015-07-20,"Greece is expected to pay 4.25 billion euros due on bonds; later this week, earnings reports will be announced by Apple, Morgan Stanley, Credit Suisse and General Motors.",neutral,0.14798185229301453
2015-07-20,"Greece’s Debt Payments, Apple Earnings and Credit Suisse Results",neutral,0.01498236134648323
2015-07-21,"While the quarter’s phone sales were one-third higher than a year ago, at 47.5 million, they fell short of analysts’ estimates, and the stock fell.",negative,-0.9572847485542297
2015-07-21,"Apple Profit Up 38%, but iPhone Sales Disappoint Wall Street",negative,-0.37285491824150085
2015-07-22,"While Apple’s phone sales were one-third higher in the quarter than a year ago, at 47.5 million, they fell short of analysts’ estimates, and the stock fell.",negative,-0.9528633952140808
