Date,Sentence,Prediction,sentimentScore
2007-01-03,"The latest patent dispute pits Apple, Google and Napster against a company that closed five years ago.",negative,-0.8729225397109985
2007-01-03,Patent Lawsuit Names Leading Technology Firms,negative,-0.5992650985717773
2007-01-03,"Intertainer, a video-on-demand company, last week filed a broad lawsuit asserting that Apple, Google and Napster are infringing on a 2005 patent that covers the commercial distribution of audio and video over the Internet.",negative,-0.8174929022789001
2007-01-03,"Apple, Google and Napster Named in Patent Lawsuit",neutral,0.016800571233034134
2007-01-04,"The hottest rumors revolving around the upcoming Macworld convention are about the new products that could be introduced: an Apple cellphone/iPod, a touchscreen iPod and a Macintosh tablet.",neutral,0.04042917490005493
2007-01-04,Macworld Rumors,neutral,0.017948642373085022
2007-01-05,"In Macworld Bingo, watch a speech by Apple’s chief, Steve Jobs, and check off the typical Apple presentation elements as they occur.",neutral,0.004049776121973991
2007-01-05,Macworld Bingo,neutral,0.01177004724740982
2007-01-06,"Apple, Caterpillar, Google, Kellogg and Toyota are among the smartest companies when it comes to what they reap for their research and development dollars.",neutral,0.11020537465810776
2007-01-06,Who Is Best at R&D?,neutral,0.04714488238096237
2007-01-06,There is no way to escape it.,neutral,-0.3858073949813843
2007-01-06,Macworld is going to steal some of the thunder from C.E.S.,neutral,-0.03610485419631004
2007-01-06,this year.,neutral,0.12288809567689896
2007-01-06,The Macworld-C.E.S.,neutral,0.029863379895687103
2007-01-06,Conflict,neutral,0.04188236594200134
2007-01-08,"Luxpro, fresh from a legal victory against Apple Computer over whether its portable music players are ripoffs of Apple’s iPod Shuffle, is seeking $100 million in damages in the case.",negative,-0.4504227042198181
2007-01-08,Taiwan Firm Sues Apple in Shuffle Skirmish,negative,-0.890652060508728
2007-01-08,"John Sculley, the former C.E.O.",neutral,-0.028219256550073624
2007-01-08,"of Apple Computer, may have gotten the boot from Steve Jobs, but hey, no hard feelings.",neutral,-0.1420021653175354
2007-01-08,Praise for Apple,neutral,0.12310055643320084
2007-01-09,Matching food with wine is an art.,neutral,0.042666949331760406
2007-01-09,"And while not everyone can agree on good art, everyone can agree on what is bad art.",neutral,0.040923234075307846
2007-01-09,I’ll Have Fries and a Glass of Your Best Champagne,neutral,0.03994472324848175
2007-01-09,Samsung thinks it can crack Apple’s hold on the music player market.,positive,0.24874764680862427
2007-01-09,Samsung vs. Apple,neutral,-0.09144651144742966
2007-01-09,"As Steve Jobs was preparing to take the stage at the MacWorld trade show to make his buzz-drenched annual keynote address, pundits were piling on to excoriate him for Apple‘s options-backdating scandal.",negative,-0.8039689660072327
2007-01-09,"For Apple Chief, Gadgets’ Glitter Outshines Scandal",neutral,0.01291852816939354
2007-01-09,"OK, so after three years of being wrong, the rumor sites were finally right.",positive,0.4915328919887543
2007-01-09,Now there IS an Apple cellphone.,neutral,-0.0002145804464817047
2007-01-09,"Or, rather, will be one in June.",neutral,0.002674899995326996
2007-01-09,The iPhone Rumors Are Right…Finally,neutral,0.06023966521024704
2007-01-10,"With no prototype, the Cingular board’s approval of the partnership was an act of blind trust.",neutral,0.37208786606788635
2007-01-10,"In Cingular-Apple Deal, Only Phone Was Missing",neutral,-0.04536065086722374
2007-01-10,Apple chose the name iPhone even though Cisco Systems had recently introduced a Wi-Fi-based phone with the same name.,neutral,0.1211867481470108
2007-01-10,Apple Introduces Innovative Cellphone,positive,0.6624555587768555
2007-01-10,Steve Jobs has granted the wishes of Apple followers by turning the ordinary cellphone into the iPhone.,neutral,0.1674606204032898
2007-01-10,"Apple Waves Its Wand, Again",neutral,-0.006604701280593872
2007-01-10,"The Apple cellphone is getting all the attention, but the company also announced a TV that connects to the Internet.",neutral,0.4361739754676819
2007-01-10,Last Year’s Model?,neutral,-0.0039865002036094666
2007-01-10,Apple doesn’t have a booth at CES and it clearly doesn’t need one.,neutral,-0.32958129048347473
2007-01-10,The iPhone announcement seems to have overshadowed most of what’s going on in Las Vegas.,negative,-0.3966277241706848
2007-01-10,iPhone Pros and Cons,neutral,0.033149540424346924
2007-01-11,"Cisco Systems filed a trademark infringement lawsuit against Apple, claiming rights to the iPhone brand.",negative,-0.9039621949195862
2007-01-11,"Cisco, Claiming Ownership of ‘iPhone,’ Sues Apple",negative,-0.8373494744300842
2007-01-11,The new iPhone is so packed with possibilities that the cellphone may actually be the least interesting part.,neutral,0.04563571885228157
2007-01-11,Apple Waves Its Wand at the Phone,neutral,-0.19179171323776245
2007-01-11,"When shopping for a new computer, what kind of graphics card will be necessary to run Microsoft’s Windows Vista?",neutral,0.016216902062296867
2007-01-11,Getting Graphic With Vista,neutral,0.04821045696735382
2007-01-11,"Judging form the first bunch of comments we got about the iPhone, Mr. Jobs has another hit on his hands.",neutral,0.013730987906455994
2007-01-11,The Apple of Their Eyes,neutral,-0.07715855538845062
2007-01-12,"If the iPhone succeeds commercially, it will be proof of Steven P. Jobs’s power and influence over the world’s consumer marketplace.",positive,0.8349466919898987
2007-01-12,Steve Jobs Walks the Tightrope Again,neutral,-0.1738520860671997
2007-01-13,Steve Jobs may have a golden gut when it comes to cool tech products.,neutral,0.04338473081588745
2007-01-13,"But when it comes to dealing with regulators, it looks as if he and his company have a tin ear.",neutral,0.051436733454465866
2007-01-13,"Nice Phone, Mr. Jobs, But ...",neutral,-0.35768571496009827
2007-01-13,"Stocks rallied despite uncertainty, suggesting investor optimism, in part because of acceleration of the sustained fall in energy prices.",positive,0.8143996596336365
2007-01-13,"A Lot of Uncertainty, Except on Wall Street",neutral,-0.0996694415807724
2007-01-14,"Like its slimmer iPod siblings, the iPhone’s music-playing function will be limited by factory-installed “crippleware.”",negative,-0.8975998759269714
2007-01-14,Want an iPhone?,neutral,0.029006697237491608
2007-01-14,Beware the iHandcuffs,neutral,-0.314312219619751
2007-01-18,"Apple delivered $1 billion in profit for its first quarter, based largely on the Christmas performance of its iPod music player business.",positive,0.6743495464324951
2007-01-18,Apple Profit Rose 78% in Quarter,positive,0.9172155261039734
2007-01-18,"ASML Holding, maker of the most expensive machines in chip fabrication, said fourth-quarter profit quadrupled on demand for semiconductors used in iPod music devices and mobile phones.",negative,-0.073964923620224
2007-01-18,"Net income jumped to a record 205.5 million euros ($265.7 million), or 0.42 euro a share, from 51.6 million euros, or 0.11 euro a share, a year earlier, ASML said.",positive,0.9020933508872986
2007-01-18,"Sales surged 95 percent, to a record 1.07 billion euros.",positive,0.922927975654602
2007-01-18,The company said orders would be “healthy” in the first quarter and revenue would gain this year.,positive,0.9280416369438171
2007-01-18,"Demand for Apple iPods and Motorola phones has spurred shipments of ASML’s $18 million machines to clients like Samsung Electronics, Intel and Texas Instruments.",positive,0.9105429649353027
2007-01-18,"ASML is based in Veldhoven, the Netherlands.",neutral,0.017444249242544174
2007-01-18,The Netherlands: Chip Supplier Soars,neutral,0.04311627894639969
2007-01-18,"Apparently, nothing effaces the stigma of a scandal like a billion-dollar profit, as BusinessWeek, looking at Apple‘s recent sales figures, points out.",negative,-0.6129252910614014
2007-01-18,"Buoyed by record sales of 21 million of its signature iPod digital media players, Apple reaped that billion-dollar bottom line on revenues of $7.1 billion in its fiscal first quarter.",positive,0.903411328792572
2007-01-18,"Net income surged 78 percent in the period that includes the year-end holiday season, yielding per-share profit of $1.14, Apple said Wednesday.",positive,0.9301109313964844
2007-01-18,Apple’s Stellar Results Help Options Medicine Go Down,positive,0.5885108709335327
2007-01-20,"Steven P. Jobs has been on a spectacular winning streak this decade, and the company would not be the same without him.",neutral,0.395199716091156
2007-01-20,Figuring Out the P.E.,neutral,0.01951279491186142
2007-01-20,Ratio of Steve Jobs,neutral,-0.16347789764404297
