Date,Sentence,Prediction,sentimentScore
2007-01-06,"Google struck a deal to invest about $5 million in one of the country’s fastest-growing Internet start-ups, Xunlei.com.",positive,0.859086811542511
2007-01-06,Google Makes Another Investment in the Internet in China,neutral,0.29137122631073
2007-02-07,The companies will allow TiVo owners who shop on Amazon’s digital download store to send films and TV shows to their broadband-connected TiVo machines.,neutral,0.10713492333889008
2007-02-07,Amazon and TiVo in Venture to Put Downloaded Videos on TV,neutral,0.15633699297904968
2007-03-01,"Amazon.com was the lead investor in a funding round for Shelfari, a social-networking site for people interested in books.",positive,0.533659815788269
2007-03-01,The amount was not disclosed but published reports estimated the total at about $1 million.,neutral,0.021909287199378014
2007-03-01,Seattle-based Shelfari was founded in October.,neutral,0.029192322865128517
2007-03-01,"Company officials say they’ll use the money for site development, sales and marketing initiatives, and general administrative costs.",neutral,0.08951284736394882
2007-03-01,Amazon Funds Internet Site for Bookworms,neutral,-0.02015616185963154
2007-03-19,"Amazon.com has bolstered its classical music discounts, hoping to fill the gap left by vanishing retailers.",positive,0.920303225517273
2007-03-19,Amazon Seeks to Fill Classical Recording Niche,neutral,0.03458770364522934
2007-04-25,"Quarterly profit increased 38 percent, to $145 million, on improving margins in its core retail business and increased sales.",positive,0.9375630617141724
2007-04-25,Both Sales and Earnings Rise Sharply at Amazon,positive,0.16747403144836426
2007-04-30,"As with most things on Wall Street, last week’s surge in Amazon.com‘s stock created some big winners and big losers.",neutral,0.2539454698562622
2007-04-30,"In the winners’ column: Bill Miller, the mutual-fund manager from Legg Mason whose legendary 15-year streak of beating the S&P 500 ended last year when some of his value fund’s top stock picks — including Amazon — failed to pay off.",neutral,-0.12512604892253876
2007-04-30,"As recently as January, Mr. Miller doggedly defended his Amazon pick, writing in a letter to shareholders of his fund that “investors wrongly believe today’s low operating margins [at Amazon] are going to be the norm for years.”",negative,-0.7584681510925293
2007-04-30,Amazon Giveth and Taketh Away,neutral,-0.08637414872646332
2007-05-02,"ChannelAdvisor, an 8-year-old maker of on-demand software that helps retailers sell goods through Amazon, Shopzilla and eBay, on Tuesday announced $30 million in fresh funding to expand into new markets.",positive,0.8658645153045654
2007-05-02,ChannelAdvisor Tunes in $30 Million in Funding,neutral,0.22308319807052612
2007-05-17,"The online store, to be introduced later this year, will allow people to play music on almost any personal device.",neutral,0.11339354515075684
2007-05-17,Amazon to Sell Music Without Copy Protection,neutral,-0.02430051565170288
2007-05-17,"The online store, to be introduced later this year, will allow people to play music on almost any personal device.",neutral,0.11339354515075684
2007-05-17,Amazon to Sell Music Without Copy Protection,neutral,-0.02430051565170288
2007-05-19,A private equity fund and some well-known billionaires were in acquisitive moods this week.,neutral,0.14945781230926514
2007-05-19,"Shoppers Are Holding Back, but Billionaires Are Buying",negative,-0.632655918598175
2007-05-23," Henry Blodget, the former Internet analyst, is taking some pride from a little-noticed milestone: For the first time since he agreed to be barred from the securities industry, shares of Amazon have risen back above $400.",positive,0.8521025776863098
2007-05-23,Blodget’s Fateful Amazon Call Comes True Again,neutral,0.2483772188425064
2007-05-24,"Amazon.com announced Wednesday its acquisition of an audio-book publisher, Brilliance Audio, in a move to tighten its tie with book publishers and expand the number of audio-book titles it sells.",positive,0.877902626991272
2007-05-24,Amazon is seeking to expand beyond offering only best-sellers under an audio-book format.,positive,0.6628630757331848
2007-05-24,Financial terms of the deal were not disclosed.,neutral,0.008268077857792377
2007-05-24,Amazon Adds Brilliance to Its Stable,positive,0.5307799577713013
2007-06-19,"Climate Counts, a new nonprofit group, will rank 56 consumer companies, grouped by industry, on how they measure greenhouse gas emissions, among other things.",neutral,0.0584012009203434
2007-06-19,Climate-Change Scorecard Aims to Influence Consumers,neutral,0.05402271822094917
2007-06-29,"Jason Kilar, the new chief executive of the joint venture between NBC Universal and the News Corporation to distribute video online, has one tough job.",negative,-0.8119745254516602
2007-06-29,From Amazon to Hollywood,neutral,0.03990480303764343
2007-06-29,"YouTube is growing far faster than any other video site, creating a high bar for the new NBC-News Corporation video venture that Jason Kilar will run.",positive,0.8824365735054016
2007-06-29,More Jason Kilar Challenges,neutral,0.027278997004032135
2007-07-24,"The online retailer announced today that its second-quarter net income increased more than threefold, with revenue up 35 percent.",positive,0.9421872496604919
2007-07-24,"Amazon Profit Is Up, With Harry Potter’s Aid",positive,0.8979865312576294
2007-07-25,"The online retailer announced Tuesday that its second-quarter net income increased more than threefold, with revenue up 35 percent.",positive,0.9403031468391418
2007-07-25,"Aided by Harry Potter Fans, Amazon Triples Its Profit",positive,0.86052006483078
2007-07-25,Amazon’s torrid earnings report may spell problems for eBay.com.,negative,-0.9623154401779175
2007-07-25,Merchants are finding that Amazon’s marketplace program is a better place to sell their wares.,positive,0.7818059325218201
2007-07-25,The Loser in Amazon’s Results: EBay?,negative,-0.5814765095710754
2007-08-03,Amazon will allow other companies to use its payment processing system,neutral,0.07669570297002792
2007-08-03,Amazon to Rent Its Cash Register,neutral,-0.009130746126174927
2007-08-06,Some authors compulsively check their sales rank on Amazon.com while others try to game the system.,negative,-0.6354642510414124
2007-08-06,The Highs and the Lows of Rankings on Amazon,neutral,-0.26534125208854675
2007-08-07,"Amazon.com has led a first-round venture investment in AmieStreet.com, an online music store with a social-networking twist.",positive,0.7163798809051514
2007-08-07,"AmieStreet, which is less than a year old, sets the price for downloads according to a song’s popularity and allows users to rack up credits by recommending songs to their friends.",neutral,0.032580841332674026
2007-08-07,The size of the funding round was not disclosed.,neutral,0.01160422433167696
2007-08-07,Amazon Invests in Music Download Site,neutral,0.030190763995051384
2007-08-24,"In a retail market keen on the word “natural,” exports of Brazil’s beauty products have been rising quickly.",positive,0.881574809551239
2007-08-24,Beautifying the World With Amazon Ingredients,neutral,0.1639285832643509
2007-08-28,"Polaris IP sues Google, Yahoo, Amazon, AOL and others for patent infringement.",negative,-0.9139296412467957
2007-08-28,Patent Owner Sues the Internet,negative,-0.6211235523223877
2007-09-03,The company has stopped providing information to the public about how many copies of each book it had in stock.,neutral,-0.41786831617355347
2007-09-03,"Amazon Drops Inventory Data, Irking Writers",negative,-0.929799497127533
2007-09-05,Amazon has agreed to give NBC Universal something that Apple would not: greater flexibility in the pricing and packaging of video downloads.,positive,0.8181655406951904
2007-09-05,NBC in Deal With Amazon to Sell Shows on the Web,neutral,0.24183696508407593
2007-09-25,"Amazon waited to offer digital music until it could sell unrestricted MP3 files, rather than songs with digital rights management.",neutral,0.03111017495393753
2007-09-25,It may force Apple to compete on price and terms.,negative,-0.524299144744873
2007-09-25,"Amazon Launches a Music Store, Not a Service",neutral,-0.0026840269565582275
2007-10-09,Registered Traveler programs are moving ahead slower than anticipated as the T.S.A.,negative,-0.8393444418907166
2007-10-09,lags in approving technology that would speed up airport security checks.,negative,-0.37940534949302673
2007-10-09,"In a Time of Need, a Concierge Steps Up",neutral,0.008106373250484467
2007-10-24,"Amazon shares are back in the stratosphere, propelled this time by improved profit margins and swelling revenues.",positive,0.9218607544898987
2007-10-24,Amazon Says Profit Jumped in Quarter,positive,0.8672252297401428
2007-10-24,"Amazon.com stock is back in the stratosphere, propelled by improved profit margins and swelling revenues.",positive,0.923826277256012
2007-10-24,Earnings Show Amazon Is Back on Top,positive,0.4989241659641266
2007-11-19,"Amazon’s new Kindle reader costs $399 and can download books, newspapers and blog posts wirelessly.",neutral,0.06422245502471924
2007-11-19,Amazon Pitches a Wireless iPod for Books,neutral,0.06122607737779617
2007-11-19,"Potential future features that Jeff Bezos may add to his new e-book device, the Amazon Kindle.",neutral,0.32288429141044617
2007-11-19,Enough About Kindle 1.0.,neutral,0.05013491213321686
2007-11-19,What About Kindle 2.0?,neutral,0.018530230969190598
2007-11-20,"Jeff Bezos, the chief executive of Amazon.com, is hoping that Kindle, an ambitious $399 electronic book device, will avoid the fate of other e-books.",neutral,0.33706915378570557
2007-11-20,Amazon Reading Device Doesn’t Need Computer,neutral,0.02579326368868351
2007-11-20,Many people are criticizing Amazon’s Kindle for being too expensive and leaving out features.,negative,-0.9177906513214111
2007-11-20,But doubtless Amazon will cut the price and add features over time.,negative,-0.3847735524177551
2007-11-20,"What Amazon has got right is the simplicity of finding, buying and reading books on the Kindle.",neutral,0.08791067451238632
2007-11-20,In Defense of the Kindle,neutral,0.05310910940170288
2007-12-14,"Now that Amazon’s market value is nearly the same as eBay’s, it could buy the online auction site.",neutral,0.21456341445446014
2007-12-14,That could help improve Amazon’s finances and eBay’s customer satisfaction.,positive,0.9254305958747864
2007-12-14,Why Amazon Should Buy eBay,neutral,0.04391699284315109
2007-12-17,"After a post suggesting that Amazon buy eBay, Bits readers revolt with a litany of complaints about eBay.",negative,-0.8816418051719666
2007-12-17,"The site, they say, has such bad customer service and is so riddled with fraud that Amazon should stay away.",negative,-0.8987423777580261
2007-12-17,The Depth of eBay’s Problems 1: Disappointed Buyers,negative,-0.7412188649177551
2007-12-17,"Sellers are defecting from eBay because its fees are high, customers are afraid of fraud, and merchants can do better on Amazon or on their own Web sites, attracting customers through Google.",negative,-0.9121108651161194
2007-12-17,The Depth of eBay’s Problems 2: Angry Sellers,neutral,-0.346687376499176
2007-12-28,The Warner Music Group’s announcement is the recording industry’s latest move away from its reliance on digital locks to reduce piracy.,positive,0.7783662676811218
2007-12-28,Amazon to Sell Warner Music Minus Copy Protection,neutral,0.005230197682976723
2008-01-09,"Amazon.com, the world’s largest online retailer, will soon finally have one place to call home.",positive,0.48337388038635254
2008-01-09,Amazon Consolidates in Growing Area of Seattle,neutral,0.10251133888959885
2008-01-11,Sony BMG announced that it would become the fourth and final major music label to sell digital music on Amazon.com.,neutral,0.42940860986709595
2008-01-11,Sony Joins Other Labels on Amazon MP3 Store,neutral,0.01524309441447258
