Date,Sentence,Prediction,sentimentScore
2007-02-08,"The chief of BHP Billiton, the Australian mining company, delivered an early farewell gift: record half-year earnings and a $10 billion stock buyback.",positive,0.8332545161247253
2007-02-08,"After Record Profit, Chief Says He’ll Leave",negative,-0.42295512557029724
2007-02-08,"Charles W. Goodyear, the affable Texan and chief executive who adroitly steered BHP Billiton, the Australian mining company, through China’s bull market for resources, told shareholders on Wednesday that he would leave in December, and he delivered an early farewell gift: record half-year earnings and a $10 billion stock buyback.",positive,0.5198521018028259
2007-02-08,"After Record Profit, Mining Chief Says He’ll Leave",negative,-0.7329862117767334
2007-02-13,Shares of Alcoa rose in premarket trading Tuesday after The Times of London reported that two British-Australian mining giants were considering buying the aluminum producer.,positive,0.8852027654647827
2007-02-13,"The paper said that BHP Billiton and Rio Tinto have begun examining the possibilities of a $40 billion buyout of the Pittsburgh-based company, while Alcoa has separately drawn up a list of chief executive candidates.",neutral,0.04567122831940651
2007-02-13,Report Stokes Speculation About Alcoa Takeover,negative,-0.5265836119651794
2007-02-14,"Speculation that mining giants BHP Billiton and Rio Tinto are both circling U.S. aluminum producer Alcoa has, unsurprisingly, turned industry watchers’ attention to other possible takeover targets in the industry.",negative,-0.6952809691429138
2007-02-14,Takeover Speculation Heats Up Aluminum Sector,neutral,-0.06404518336057663
2007-05-08,"BHP Billiton once considered a possible suitor for Alcoa, which began a hostile bid of its own for Alcan, may become a target itself.",neutral,-0.1769505888223648
2007-05-08,Could BHP Be the First $120 Billion Buyout Target?,neutral,0.05692711099982262
2007-05-09,"Days after an analyst’s report suggested that BHP Billiton, the Australian mining company, could become a target for private equity buyers, speculation surfaced that the company is considering a bid for a rival, the Rio Tinto Group.",neutral,0.12679870426654816
2007-05-09,Rumors of BHP Bid for Rio Tinto Send Shares Soaring,negative,-0.5151024460792542
2007-05-23," The Canadian aluminum producer Alcan rejected a $27.4 billion hostile bid from a rival, Alcoa, on Tuesday, calling the offer inadequate.",negative,-0.937968373298645
2007-05-23,Alcan said that it was in talks with other companies — The Globe and Mail newspaper reported that one of them is the Australian mining giant BHP Billiton — and added that it was considering the possibility of turning the tables with a counterbid for Alcoa.,neutral,0.08208951354026794
2007-05-23,Alcan Spurns Hostile Bid and Talks to White Knights,neutral,0.020501434803009033
2007-06-01,"BHP Billiton, the mining company, chose the head of its copper and aluminum division, Marius Kloppers, to succeed its American chief executive, Charles W. Goodyear, when Mr. Goodyear steps down Oct. 1.",neutral,0.051006563007831573
2007-06-01,Mr. Goodyear has overseen a wave of record-setting earnings since taking charge of the company in 2003 as the company benefited from a China-led boom in demand for iron and other metals.,positive,0.8824253082275391
2007-06-01,"But in the last two years, soaring prices for copper have fueled BHP’s results.",positive,0.9035742878913879
2007-06-01,"Mr. Kloppers, a 44-year-old South African, played a crucial role in BHP’s merger with Billiton in 2001 and in the $7.6 billion takeover of WMC Resources in 2005.",neutral,0.09388426691293716
2007-06-01,BHP Billiton Selects a Chief Executive,neutral,0.01583060994744301
