Date,Sentence,Prediction,sentimentScore
2007-01-16,"Zhang Yin, who may be the richest self-made woman in the world, built her fortune on recycled cardboard.",neutral,0.045414038002491
2007-01-16,Blazing a Paper Trail in China,neutral,0.10114336758852005
2007-01-22,The sale would be the second-largest domestic initial public offering by a mainland Chinese bank.,neutral,0.31381547451019287
2007-01-22,Industrial Bank of China Plans Sizable Share Sale in Shanghai,neutral,0.04683341085910797
2007-02-28,Stocks plunged in New York after a sell-off in China rattled markets worldwide.,negative,-0.8425155282020569
2007-02-28,Dow Average Falls 416 Points After China Sell-Off,negative,-0.9326109886169434
2007-02-28,Stock markets around the world plummeted Tuesday in a wave of selling set off by a plunge in China.,negative,-0.9263913035392761
2007-02-28,Wall St. Tumble Adds to Worries About Economies,negative,-0.8126468062400818
2007-03-27,"Intel has only seven other similar wafer fabrication facilities in the world, mostly in the western United States.",neutral,0.0017482638359069824
2007-03-27,Intel to Build Advanced Chip-Making Plant in China,neutral,0.18641388416290283
2007-04-05,The new trade link between Brazil and China marks a profound shift in world agricultural trade.,positive,0.8825877904891968
2007-04-05,A New Trade Route for China,positive,0.4486415386199951
2007-05-21,It is China’s first effort to diversify its $1.2 trillion in foreign-exchange reserves beyond U.S. Treasury bills.,positive,0.8182741403579712
2007-05-21,China to Buy a Stake in Blackstone,neutral,0.06510447710752487
2007-05-23,"Familiar disagreements erupted over trade, currency issues and at least one new concern, the safety of Chinese food exports.",negative,-0.9293558597564697
2007-05-23,Food Safety Joins Issues at U.S.-China Talks,neutral,0.058456141501665115
2007-05-24,American officials began talks with China to reduce economic tensions but ran into familiar disagreements and new concerns over food safety.,negative,-0.9432535171508789
2007-05-24,U.S.-China Trade Talks Open With Food Safety an Issue,neutral,0.17634516954421997
2007-05-25,Chinese leaders appeared to make little headway in quelling Congressional anger over China’s economic practices.,negative,-0.8405676484107971
2007-05-25,Chinese Officials Extol Benefits of U.S. Relations,neutral,0.11882396787405014
2007-06-09,"A dispute between Groupe Danone, the French dairy and beverage maker, and its Chinese partner, the beverage maker Wahaha, has become even stranger.",negative,-0.9415175318717957
2007-06-09,Rancor Level Rises in Rift Over Danone China Venture,negative,-0.5922108292579651
2007-06-15, A small Chinese automaker and its New Jersey partner are negotiating with Mexican officials to import Chinese-made pickup trucks and sport utility vehicles.,positive,0.7731668949127197
