Date,Sentence,Prediction,sentimentScore
2007-01-21,"The entire cable business, and Comcast, the country’s largest cable company, are sitting pretty.",neutral,-0.10304442048072815
2007-01-21,"Once Given Up for Dead, Comcast Defies Its Obits",neutral,-0.40671855211257935
2007-01-29,"Comcast‘s venture-capital arm, Comcast Interactive Capital, is helping the company create an ecosystem of businesses that advance new cable technologies and, if all goes well, boost Interactive Capital’s bottom line.",positive,0.8972513675689697
2007-01-29,"The Philadelphia Inquirer takes a look at the venture, which backs about six to eight start-ups a year with initial investments ranging from $2 million to $10 million.",neutral,0.04200785607099533
2007-01-29,Comcast’s Web of Ventures,neutral,0.016668599098920822
2007-01-30,The long-awaited listing of shares in Time Warner Cable — the United States’ No.,neutral,0.05974993109703064
2007-01-30,2 cable provider after Comcast — could be delayed until March because of the legal wrangling in Adelphia Communications‘ bankruptcy case.,negative,-0.8818739056587219
2007-01-30,"That is one of the possibilities considered by Bear Stearns analyst Spencer Wang, who wrote in a research note Tuesday that, if the internecine battles among Adelphia’s creditors continue, Time Warner could decide to try a traditional initial public offering as opposed to floating the stock through a court-approved reorganization plan.",neutral,0.14373153448104858
2007-01-30,Static Clouds Time Warner Cable Offering,neutral,0.028639838099479675
2007-03-05," Time Warner Cable or Comcast could theoretically pay more for Cablevision than the latest offer from its controlling family, but Cablevision’s governance structure means that investors may never see that optimal payday, Breakingviews writes.",neutral,0.09458129107952118
2007-03-05,Cablevision at a Crossroads,neutral,-0.06533528119325638
2007-03-30,"The nation’s largest cable company paid its chief executive, Brian L. Roberts, a salary of $2.5 million, a bonus of $3 million and other payments including a cash bonus of $8.4 million.",neutral,0.1059911698102951
2007-03-30,Comcast Chief Executive Receives $26 Million,neutral,0.0475982204079628
2007-04-03,Comcast and Insight Communications have agreed to end a cable partnership in four states because Comcast wants to add a source of cash flow.,neutral,-0.07900846004486084
2007-04-03,"Comcast, Cash in Mind, Ends Partnership",neutral,0.0009081922471523285
2007-04-03,"San Mateo, Calif.-based Vyatta picked up $11 million in a second round of funding, the software company said Monday.",positive,0.7506800293922424
2007-04-03,"The round was led by Comcast Interactive Capital, which may use Vyatta’s technology in new potential managed service bundles for small and medium-sized business and enterprise markets.",positive,0.5575904250144958
2007-04-03,"Also in the round were J.P. Morgan Partners, ComVentures and ArrowPath Venture Partners.",neutral,0.06131284311413765
2007-04-03,Vyatta Nabs $11 Million in Second Round,neutral,0.0680348128080368
2007-04-04,"Comcast, the nation’s largest cable operator, said Tuesday that it was buying a small New Jersey cable operator for $483 million.",neutral,0.04708452150225639
2007-04-04,Analysts said the price was high in light of the number of subscribers but understandable given the customers’ affluence.,neutral,0.301331102848053
2007-04-04,"The operator being acquired, Patriot Media and Communications, serves 81,000 video subscribers in central New Jersey, many of them in upscale neighborhoods that fit in with Comcast’s service area.",neutral,0.02148076519370079
2007-04-04,Comcast to Acquire Cable Operator,neutral,0.00995542760938406
2007-04-12,"Comcast, the nation’s largest cable operator, announced Wednesday that it was buying the online movie ticketing service Fandango and starting a new Web site for watching TV and movies.",neutral,0.37276947498321533
2007-04-12,"The new site, Fancast.com, will be in place this summer and allow users to watch on-demand shows via television, the Internet and wireless devices.",neutral,0.26280203461647034
2007-04-12,Comcast Does the Fandango,neutral,-0.004762265831232071
