Date,Sentence,Prediction,sentimentScore
2007-01-18,Record profits for its investment banking advisory businesses and vast improvement in its trading results contributed to the gain.,positive,0.9392076730728149
2007-01-18,JPMorgan Chase Posts 68% Rise in Earnings,positive,0.7926694750785828
2007-02-20,"As JPMorgan Chase prepares an investment book to circulate to potential bidders of Chrysler, American and foreign auto companies, private equity groups and investment banks are chomping at the bit to inspect the struggling company’s financial data.",negative,-0.512989342212677
2007-02-20,"“Everybody will take a look,” a senior executive at a global car company, which will be eyeballing the book, told The New York Times.",neutral,0.048173531889915466
2007-02-20,Many Are Eager to See Data on Chrysler,neutral,0.10525253415107727
2007-02-26,JPMorgan Chase will resume onshore equity broking services in Pakistan after an absence of five years to gain a share of a stock market that has grown 10-fold since 2001.,positive,0.8987503051757812
2007-02-26,"The move underscores a rebound in emerging markets, which have recovered since the Sept. 11, 2001, attacks in the United States “There is more liquidity and the market capitalization has gone up,” Reza Rahim, a senior country officer, told Bloomberg News.",positive,0.9284862875938416
2007-02-26,“The Pakistan market has cheaper multiples compared with other emerging markets.”,positive,0.35759276151657104
2007-02-26,JPMorgan Brings Equity Broking Back to Pakistan,neutral,0.40660539269447327
2007-03-08,JPMorgan Chase & Company and Citigroup said they were changing some cardholder rates and fees that lawmakers say unfairly hurt consumers.,neutral,0.015690520405769348
2007-03-08,2 Big Issuers to Ease Some Card Penalties,negative,-0.37451308965682983
2007-03-16,A bid by a private equity consortium to take over Qantas Airways appears to be in trouble after improvements in the airline’s earning prospects have left the offer looking inadequate.,negative,-0.9592921137809753
2007-03-16,"The Airline Partners Australia consortium, which includes the Texas Pacific Group, Macquarie Bank and Allco Equity Partners, made the takeover bid last year, valuing Qantas at 11.1 billion Australian dollars ($8.75 billion).",neutral,0.4589518904685974
2007-03-16,"At the time, many were surprised that the bidders believed the airline was worth so much, but with recently growing passenger loads and stable fuel prices, that view has changed.",positive,0.1650630086660385
2007-03-16,"“The underlying conditions in the airline market have improved and have made the original bid look a bit skinny,” said Matthew Crowe, the transportation analyst at JPMorgan in Sydney.",positive,0.898834764957428
2007-03-16,Bid for Qantas Losing Favor,negative,-0.5732440948486328
2007-03-27,CCMP Capital Asia and a unit of the Ontario Teachers’ Pension Plan agreed to buy the Yellow Pages unit of the Telecom Corporation of New Zealand for 2.24 billion New Zealand dollars ($1.6 billion).,positive,0.669777512550354
2007-03-27,"CCMP Asia, a buyout firm spun off from JPMorgan Chase, and Teachers’ Private Capital will pay 2.17 billion New Zealand dollars in cash for the print and online directories, Telecom New Zealand said.",neutral,0.16834557056427002
2007-03-27,"Telecom New Zealand also expects to get 75 million New Zealand dollars from the unit’s debtors, and plans to use income from the sale to return capital to shareholders, it said.",positive,0.5043741464614868
2007-03-27,New Zealand: Investors Buy Yellow Pages,neutral,-0.04063606262207031
2007-04-16,"EARNINGS REPORTS The following companies are scheduled to release earnings reports this week: Citigroup, Eli Lilly, Mattel and Wachovia (Monday); TD Ameritrade Holding, Comerica, CSX, Dow Jones, EMC, Intel, I.B.M., Johnson & Johnson, Mellon Financial, Northern Trust, Wells Fargo and Yahoo (Tuesday); Abbott Laboratories, Commerce Bancorp, E*Trade Financial, eBay, JPMorgan Chase, Motorola, PNC Financial Services, Allstate, Bank of New York, Tribune and United Technologies (Wednesday); Advanced Micro Devices, Altria Group, Continental Airlines, D. R. Horton, First Data, Gannett, Google, Merck, Merrill Lynch, Nokia, Schering-Plough, Southwest Airlines, UnitedHealth Group and Wyeth (Thursday); Caterpillar, Honeywell, McDonald’s, SAP, Schlumberger and Xerox (Friday).",neutral,-0.03122369386255741
2007-04-16,Looking Ahead,neutral,0.013165891170501709
2007-04-20,"Morgan Stanley is poised to sign an agreement with Citigroup, Goldman Sachs Group and JPMorgan Chase on rules for trading loan derivatives in Europe that may triple the $8 billion market within a year.",positive,0.8901171088218689
2007-04-20,Banks Close to Signing Off on European Derivatives Pact,neutral,0.14833761751651764
2007-04-20,"JPMorgan Chase executive Timothy Ryan has withdrawn from consideration to become the U.S. Treasury Department’s top international official, the White House said on Thursday.",negative,-0.5871279835700989
2007-04-20,"“He withdrew himself from this opportunity for personal reasons,” White House spokesman Tony Fratto told Reuters.",negative,-0.746823787689209
2007-04-20,J.P. Morgan Official Withdraws from Treasury Nomination,negative,-0.6733911633491516
2007-04-25,"JPMorgan Chase is threatening to move thousands of employees from Midtown to Stamford, Conn., if New York officials do not give it a larger subsidy package to build a 50-story skyscraper near ground zero, The New York Times reported.",negative,-0.9406392574310303
2007-04-25,Chase Says It Will Move if New York Balks on Subsidies,neutral,0.06623516231775284
