Date,Sentence,Prediction,sentimentScore
2007-01-19,"Mary E. Minnick, will leave the company, a month after the company promoted its international chief, Muhtar Kent, to chief operating officer.",neutral,-0.38265353441238403
2007-01-19,Coke Executive to Resign Post,negative,-0.5674505829811096
2007-01-30,"A former Coca-Cola aide said at her federal trial on Monday that, although she routinely took copies of company documents and e-mails home, she did not conspire to steal and sell trade secrets about the beverage company to its chief rival.",negative,-0.7083088159561157
2007-01-30,“No.,neutral,-0.19261255860328674
2007-01-30,"We never talked about anything like that whatsoever,” Joya Williams said when asked if she planned with two other defendants to steal and sell Coca-Cola documents to PepsiCo.",negative,-0.566367506980896
2007-01-30,Former Coca-Cola Employee Denies Trade Theft,negative,-0.5347216129302979
2007-02-02,"Coca-Cola said it agreed to buy Fuze Beverage to add more juice, tea and energy drinks in an effort to catch up with PepsiCo.",positive,0.8723248839378357
2007-02-02,Coca-Cola to Buy Fuze Beverage,neutral,-0.010471897199749947
2007-02-02,"Coca-Cola said Thursday that it had agreed to buy Fuze Beverage to add more juice, tea and energy drinks in an effort to catch up with PepsiCo.",positive,0.8827409148216248
2007-02-02,"Coca-Cola gains a half-dozen new products, including Fuze Tea, NOS energy drinks and Fuze Slenderize, which has chromium and amino acids that Fuze says help promote weight loss.",positive,0.8644423484802246
2007-02-02,Coca-Cola Swallows Fuze Beverage,neutral,-0.3348254859447479
2007-02-03,A television ad for Coca-Cola.,neutral,0.03703875467181206
2007-02-03,Coca Cola,neutral,0.04498783126473427
2007-02-05,Some first impressions of the 30 commercials that composed the first half of Ad Bowl inside Super Bowl LXI:.,neutral,-0.009172515943646431
2007-02-05,Amateurs’ Efforts Highlight Ad Bowl,neutral,0.017088375985622406
2007-02-05,"A federal jury rejected a former Coca-Cola secretary’s claim that she was duped by two accomplices and convicted her on Friday of conspiring to steal trade secrets from the world’s largest beverage maker in an effort to sell them to its rival, Pepsi.",negative,-0.8617428541183472
2007-02-05,"The former secretary, Joya Williams, showed no visible reaction when the verdict was announced.",neutral,-0.28195619583129883
2007-02-05,"She remains free on bond, pending sentencing.",neutral,-0.10005149245262146
2007-02-05,Ex-Secretary at Coke Guilty of Trade-Secrets Theft,negative,-0.42554038763046265
2007-02-15,The Coca-Cola Company said yesterday that profit fell 22 percent after its largest bottler wrote down the value of its North American unit on reduced soda sales and higher raw material costs.,negative,-0.9721232652664185
2007-02-15,Profit Falls at Coca-Cola as Sales Slow but Costs Rise,negative,-0.9622673392295837
2007-02-20,"With the success of their short film “experiments,” Fritz Grobe and Stephen Voltz have become important players in shaping the young business of selling entertainment on the Web.",neutral,0.4195902645587921
2007-02-20,"Recipe for Success: Take Mentos, Diet Coke.",neutral,0.0412028543651104
2007-02-20,Mix.,neutral,0.04712258279323578
2007-02-25,Times are tough in the soft-drink bottling business.,negative,-0.8071005344390869
2007-02-25,Sharing the Pain in Different Ways,neutral,0.0507141649723053
2007-03-05,Coke Zero is being promoted with an unusual campaign about company executives suing each other.,negative,-0.44088438153266907
2007-03-05,Can’t Tell Your Cokes Apart?,neutral,-0.3047521710395813
2007-03-05,Sue Someone,neutral,-0.2545047700405121
2007-03-07,"In coming months, Coca-Cola and PepsiCo will introduce carbonated drinks fortified with vitamins and minerals.",neutral,0.32937318086624146
2007-03-07,Makers of Sodas Try a New Pitch: They’re Healthy,neutral,0.05042716860771179
2007-05-24,"A former secretary at Coca-Cola was sentenced Wednesday to eight years in prison for conspiring to steal trade secrets from the company, as her tearful plea for mercy failed to sway a federal judge.",negative,-0.8183659315109253
2007-05-24,"Judge J. Owen Forrester of Federal District Court told the former secretary, Joya Williams, 42, that he was giving her a longer sentence than recommended by federal prosecutors and sentencing guidelines because “this is the kind of offense that cannot be tolerated in our society.”",negative,-0.7465772032737732
2007-05-24,8-Year Sentence in Coca-Cola Secrets Case,negative,-0.7153142690658569
2007-05-24,"Coca-Cola‘s president, Muhtar Kent, declined to comment Wednesday on speculation that the beverage giant might buy Glaceau, a maker of “enhanced water” drinks, but said his company was open to making acquisitions.",neutral,0.06521489471197128
2007-05-24,"“There are some rumors in the marketplace always about us acquiring certain companies,” Mr. Kent told reporters attending grand opening events in Atlanta for the new World of Coca-Cola attraction.",neutral,0.07259204238653183
2007-05-24,“We do not comment on rumor and that’s all I can say.”,neutral,-0.16948360204696655
2007-05-24,Coca-Cola Keeps Quiet on Rumors of Water Deal,negative,-0.7551878094673157
2007-05-25,"Coca-Cola’s directors approved the purchase of Glaceau, the maker of Vitaminwater, for $4.2 billion.",positive,0.747596025466919
2007-05-25,Coca-Cola Is Said to Buy Vitaminwater,neutral,0.0407162606716156
2007-05-25," The Coca-Cola Company said Friday it would buy Glaceau, the maker of Vitaminwater, for $4.1 billion.",neutral,0.17095376551151276
2007-05-25,"It would be Coke’s largest acquisition ever, and the price tag is more than the amount of cash Coke had on hand at the end of last quarter, meaning it will need to use debt to finance the all-cash deal.",neutral,0.04912802577018738
2007-05-25,Shareholders seemed to find the deal refreshing: They bid up Coke shares by 1.4 percent in late-morning trading.,positive,0.8218781352043152
2007-05-25,Coca-Cola Pulls Out the Stops for Glaceau Deal,neutral,-0.012376368045806885
2007-05-26,"The Glacéau deal offered evidence that coming up with a new beverage, or putting a new twist on an old one, can be lucrative.",positive,0.6782740354537964
2007-05-26,Coke Takes $4 Billion Step Away From Carbonation,neutral,0.10675913840532303
2007-05-26,"The United States and China ended talks with unfinished business, as China took a $3 billion stake in the Blackstone Group.",negative,-0.4821399450302124
2007-05-26,"China Makes a U.S. Deal, but It’s Not With Washington",neutral,-0.008473049849271774
2007-05-26,"The Coca-Cola Company announced today that it will buy Glaceau, the maker of Vitaminwater, for $4.2 billion in cash.",neutral,0.14161069691181183
