Date,Sentence,Prediction,sentimentScore
2007-01-05,"Merck of Germany said Friday that it is considering the sale of its generic drugs business, which could fetch more than $5 billion, according to some estimates.",neutral,0.07925573736429214
2007-01-05,"Reuters reported that the German drugs and chemicals group seems eager to cut debt from its recent $13.3 billion acquisition of Serono, which it is financing largely through loans.",negative,-0.4159776568412781
2007-01-05,Germany’s Merck May Sell Generic Drugs Unit,neutral,0.006447428837418556
2007-01-12,"The German drugmaker Merck KGaA has attracted interest in its generic drugs unit from Cinven, Permira and the Texas Pacific Group, people familiar with the matter told Reuters.",positive,0.776469349861145
2007-01-12,"Merck — no relation to the United States company of the same name — said last week it was considering selling the business, valued at more than 4 billion euros ($5.2 billion), as it retrains its focus on higher-revenue branded products.",neutral,0.017766667529940605
2007-01-12,"Merck declined to comment, as did Permira and Cinven, while Texas Pacific was not available to comment, Reuters said.",neutral,-0.22103986144065857
2007-01-12,Unit of Germany’s Merck Said to Attract Buyout Firms,neutral,0.2072855532169342
2007-01-18,A lawsuit against Merck sought medical monitoring for former users of the painkiller Vioxx.,negative,-0.8365158438682556
2007-01-18,New Jersey Court Revives a Merck Suit,neutral,-0.09448669850826263
2007-02-15,"Merck & Company agreed Wednesday to pay $2.3 billion to resolve several tax disputes, the Internal Revenue Service said.",positive,0.6652248501777649
2007-02-15,"The drug company’s payment includes taxes, interest and penalties stemming from the disputes, which cover the tax years 1993-2001 and arose in part from Merck’s use of minority equity interest financing, the I.R.S.",neutral,-0.018393030390143394
2007-02-15,said.,neutral,0.07623650878667831
2007-02-15,Merck to Pay $2.3 Billion to the I.R.S.,neutral,0.06685197353363037
2007-02-17,"At about $400 the vaccine is costly, and many say the rush toward mandatory inoculation could prove counterproductive.",negative,-0.8132418394088745
2007-02-17,Furor on Rush to Require Cervical Cancer Vaccine,negative,-0.8391136527061462
2007-02-21,Public reaction forced the drug manufacturer to ends its lobbying efforts in state legislatures on behalf of a cervical cancer vaccine.,negative,-0.885256826877594
2007-02-21,Merck to Halt Lobbying for Vaccine for Girls,negative,-0.39755839109420776
2007-03-03,A New Jersey jury ruled that Merck failed to provide adequate warning about the risks of its Vioxx painkiller in one of two cases decided.,negative,-0.8446613550186157
2007-03-03,Mixed Verdicts for Merck in Vioxx Cases,negative,-0.8556884527206421
2007-03-08,"Private equity bidders are reportedly lining up to do battle over the generics business of Germany’s Merck, said to be worth at least 4 billion euros ($5.3 billion).",neutral,0.2705618143081665
2007-03-08,"The Financial Times Deutschland reported that Bain Capital and Apax Partners are preparing a joint bid for the business, as are Kohlberg Kravis Roberts and Warburg Pincus.",neutral,0.05549709498882294
2007-03-08,The Carlyle Group is also reportedly mulling a bid.,neutral,0.023304423317313194
2007-03-08,Buyout Firms Circle Unit of German Drugmaker Merck,neutral,0.04325012117624283
2007-03-29,Unusual side effects — including hallucinations and disorientation — showed up in the studies.,neutral,-0.28749051690101624
2007-03-29,The drug also failed a trial of its efficacy.,negative,-0.9301797151565552
2007-03-29,Merck Cancels Work on a New Insomnia Medication,negative,-0.9334149360656738
2007-04-12,The F.D.A.,neutral,-0.0011012032628059387
2007-04-12,"rejected Arcoxia because of concerns that the drug could cause as many as 30,000 heart attacks a year if widely used.",negative,-0.8470498919487
2007-04-12,F.D.A.,neutral,0.04497655853629112
2007-04-12,Panel Rejects Merck Pain Pill in 20-1 Vote,negative,-0.3004249930381775
2007-04-16,"EARNINGS REPORTS The following companies are scheduled to release earnings reports this week: Citigroup, Eli Lilly, Mattel and Wachovia (Monday); TD Ameritrade Holding, Comerica, CSX, Dow Jones, EMC, Intel, I.B.M., Johnson & Johnson, Mellon Financial, Northern Trust, Wells Fargo and Yahoo (Tuesday); Abbott Laboratories, Commerce Bancorp, E*Trade Financial, eBay, JPMorgan Chase, Motorola, PNC Financial Services, Allstate, Bank of New York, Tribune and United Technologies (Wednesday); Advanced Micro Devices, Altria Group, Continental Airlines, D. R. Horton, First Data, Gannett, Google, Merck, Merrill Lynch, Nokia, Schering-Plough, Southwest Airlines, UnitedHealth Group and Wyeth (Thursday); Caterpillar, Honeywell, McDonald’s, SAP, Schlumberger and Xerox (Friday).",neutral,-0.03122369386255741
2007-04-16,Looking Ahead,neutral,0.013165891170501709
2007-05-14,Mylan Laboratories has agreed to buy the generic drug unit of Merck for $6.7 billion in cash.,positive,0.5152778625488281
2007-05-14,Mylan Labs in Deal to Buy German Generic Drug Unit,neutral,0.13620905578136444
2007-05-14,"Mylan Laboratories has agreed to buy the generic drug unit of Merck, the German drug maker, for 4.9 billion euros ($6.7 billion) in cash.",positive,0.6628336906433105
2007-05-14,"The acquisition will make Mylan the world’s third-largest maker of copycat versions of drugs, after Teva Pharmaceuticals of Israel and Novartis of Switzerland.",positive,0.8491109013557434
2007-05-14,Mylan Labs in Deal to Buy German Generic Drug Unit,neutral,0.13620905578136444
2007-05-21,Europe’s largest engineering company named Peter Löscher as its new chief executive.,neutral,0.3898613154888153
2007-05-21,A Battered Siemens Names a New Chief,negative,-0.6709955334663391
2007-06-06,A judge reversed himself and awarded $1.6 million to a former F.B.I.,negative,-0.41758236289024353
2007-06-06,agent who blamed the drug for his heart attack.,negative,-0.5874065160751343
2007-06-06,Vioxx Damage Award,negative,-0.7284988760948181
2007-07-24,The company reported strong second-quarter results and said its profits for all of 2007 would beat analysts’ expectations.,positive,0.9215832948684692
2007-07-24,Another Quarter of Strong Results by Merck,positive,0.8475918173789978
2007-08-21,No one who has sued Merck over heart attacks or strokes suffered after taking Vioxx has received payments.,neutral,-0.3444599509239197
2007-08-21,Plaintiffs Find Payday Elusive in Vioxx Cases,negative,-0.7111412286758423
2007-10-23,"After an early morning skid, markets rebounded, boosted by an optimistic earnings report from Merck and a more favorable outlook for the technology sector.",positive,0.9054715633392334
2007-10-23,Earnings Reports Give Markets a Respite,negative,-0.31598931550979614
2007-11-01,"In an move to target the many adults who have not been vaccinated against hepatitis B, Merck has licensed a new, potentially more powerful vaccine against the disease.",positive,0.7686141133308411
2007-11-01,Merck Buys License to Sell New Vaccine for Hepatitis,positive,0.6693588495254517
2007-11-03,"Many patients on the cholesterol drug are switching to a cheaper alternative, but Pfizer is not letting its flagship product go down without a fight.",neutral,-0.14273983240127563
2007-11-03,Maker of Lipitor Digs in to Fight Generic Rival,negative,-0.5293532013893127
2007-11-09,"Merck has agreed to settle 27,000 lawsuits by people who claim they or their family members suffered injury or died after taking the pain medication.",positive,0.7784723043441772
2007-11-09,Merck Agrees to Settle Vioxx Suits for $4.85 Billion,positive,0.7148871421813965
2007-11-09,"The settlement, one of the largest ever in civil litigation, affects 27,000 lawsuits over the pain medication.",neutral,0.04039434343576431
2007-11-09,Merck Agrees to Pay $4.85 Billion in Vioxx Claims,positive,0.7205692529678345
2007-11-10,"While Friday’s settlement of Vioxx lawsuits at $4.85 billion seems steep, two years ago some analysts estimated that it would cost Merck as much as $25 billion.",negative,-0.9288196563720703
2007-11-10,Analysts See Merck Victory in Vioxx Settlement,positive,0.8536263704299927
2007-11-17,"Is a mass tort really the right mechanism to settle disputes about product safety, or to punish corporate wrongdoing?",neutral,0.039640799164772034
2007-11-17,Forget Fair; It’s Litigation as Usual,neutral,-0.32534608244895935
2007-11-21,A delay in publishing the results of trials on cholesterol  drugs is raising questions for the drug industry.,negative,-0.8116838335990906
2007-11-21,Cardiologists Question Delay of Data on 2 Drugs,negative,-0.8963130116462708
2007-12-12,"A Congressional committee is investigating Merck and Schering-Plough for their handling of a critical clinical trial of Zetia, their blockbuster cholesterol-lowering drug.",negative,-0.8500582575798035
2007-12-12,Trial of Cholesterol Drug Gets House Scrutiny,neutral,0.44799548387527466
2007-12-20,Several plaintiffs’ lawyers have asked the judge overseeing the $4.85 billion settlement to allow them to keep some of their clients outside the settlement while others accept it.,neutral,-0.06948918104171753
2007-12-20,Some Lawyers Seek Changes in Vioxx Settlement,neutral,-0.004502680152654648
2007-12-21,Several plaintiffs’ lawyers have asked that some of their clients be allowed to reject the $4.85 billion Vioxx settlement as others accept it.,neutral,-0.18101546168327332
2007-12-21,Some Lawyers Seek Changes in Vioxx Settlement,neutral,-0.004502680152654648
2007-12-21,New evidence shows that drug makers Merck and Schering-Plough never published several studies that raised questions about a cholesterol drug’s risks to the liver.,negative,-0.5275144577026367
2007-12-21,Data About Zetia Risks Was Not Fully Revealed,neutral,-0.024194378405809402
2008-01-04,"Merck agreed to pay a Swiss company, Addex Pharmaceuticals, as much as $702 million to help develop a new schizophrenia drug.",positive,0.6622980237007141
2008-01-04,Merck Makes Deal to Develop Schizophrenia Drug,neutral,0.37168559432029724
2008-01-14,The outcome of a trial that failed to show that Zetia has any medical benefits adds to concerns over the drug.,negative,-0.9190283417701721
2008-01-14,"Drug Has No Benefit in Trial, Makers Say",neutral,-0.15222018957138062
2008-01-15,"A clinical trial of Zetia, a widely used cholesterol drug, has raised questions about its effectiveness and the behavior of pharmaceutical companies that conducted the study.",negative,-0.4733048677444458
2008-01-15,Study Reveals Doubt on Drug for Cholesterol,negative,-0.6499860286712646
2008-01-17,"Following results of recent clinical trials on popular cholesterol drugs, cardiologists are questioning whether a patient’s cholesterol should be all that matters.",negative,-0.7806620597839355
2008-01-17,New Questions on Treating Cholesterol,neutral,0.04605843499302864
