Date,Sentence,Prediction,sentimentScore
2007-01-30,The supply of low-cost generic versions of cancer and AIDS treatments for the developing world could be blocked if Novartis wins a legal challenge to India’s patent law.,negative,-0.9166885018348694
2007-01-30,Battle Pits Patent Rights Against Low-Cost Generic Drugs,neutral,0.023451730608940125
2007-03-19,Bristol-Myers Squibb has inspired all kinds of takeover speculation recently.,neutral,0.04267193749547005
2007-03-19,"There has been less talk about Wyeth, an even larger pharmaceuticals giant that Catherine Arnold, an analyst at Credit Suisse, thinks could be an acquisition target as well.",neutral,0.027397293597459793
2007-03-19,"In a report Monday on possible mergers and acquisitions activity in the drug industry, Ms. Arnold also identified two drugmakers that appear to be “natural acquirers”: GlaxoSmithKline and Novartis.",neutral,0.10478894412517548
2007-03-19,Diagnosing the Next Big Drug Deal,neutral,0.06268870830535889
2007-04-04,"MicroChips has secured $13.4 million in a round of funding led by the Novartis Venture Fund, the venture capital arm of Swiss drug giant Novartis.",positive,0.744838535785675
2007-04-04,"Other investors include CSK Venture Capital of Japan, Polaris Venture Partners, IDG Ventures, Medtronic, Boston Scientific, and the Boston University Community Technology Fund.",neutral,0.042808253318071365
2007-04-04,Novartis Leads $13.4 Million Round for MicroChips,neutral,0.36835023760795593
2007-04-12,"Nestlé is expected to announce that it is buying the baby food giant currently owned by Novartis, a Swiss-based company.",neutral,0.0731479674577713
2007-04-12,Deal Expected From Nestlé to Buy Gerber for $5 Billion,neutral,0.05274055898189545
2007-04-12,"Nestlé is expected to announce that it is buying the baby food giant, which is currently own by Novartis, a Swiss-based company.",neutral,0.05736168846487999
2007-04-12,Nestlé Expected to Buy Gerber in $5 Billion Deal,neutral,0.04026311635971069
2007-04-12," Nestlé, the world’s largest food company, agreed to buy the baby food giant Gerber for $5.5 billion in cash to extend its push into the health and wellness category.",positive,0.8866756558418274
2007-04-12,"Gerber, famous for its Gerber Baby ads, is currently owned by Novartis, the Swiss pharmaceuticals company, which has been selling noncore businesses in recent years to focus on health care.",neutral,-0.0029868632555007935
2007-04-12,"Separately, Novartis said Thursday it had named Joseph Jimenez, previously of the Blackstone Group, the private equity firm, to be chief executive of its consumer health division.",neutral,0.060424454510211945
2007-04-12,Nestlé to Buy Gerber for $5.5 Billion,neutral,0.0249783955514431
2007-04-13,The deal fits with Nestlé’s focus on wellness and Novartis’s strategy of selling its noncore businesses.,neutral,0.3464711904525757
