Date,Sentence,Prediction,sentimentScore
2007-06-20,"PetroChina is planning the nation’s biggest share sale this year to raise as much as $6 billion in Shanghai for overseas acquisitions, increased oil drilling and refinery construction.",positive,0.8106065988540649
2007-06-20,Petrochina Seeks $6 Billion in Shanghai Share Sale,neutral,0.03285405784845352
2007-07-17,"UBS has been hired to help China’s largest oil and gas group, PetroChina, raise up to $6 billion in what will be one of the biggest listings on the country’s mainland market.",positive,0.7822904586791992
2007-07-17,The Financial Times said that the deal highlights UBS’s determination to grab a big slice of the Chinese public offerings market.,positive,0.723583459854126
2007-07-17,UBS To Help PetroChina Raise $6 Billion in I.P.O.,positive,0.680085301399231
2007-09-13,Warren E. Buffett sold about 1.1 billion Hong Kong dollars worth ($141 million) of shares in the PetroChina Company.,neutral,0.027167020365595818
2007-09-13,China: Buffett Sells Petrochina Shares,neutral,-0.0037007946521043777
2007-09-13,"Warren E. Buffett sold about HK$1.1 billion worth ($141 million) of shares in PetroChina, his second sale in two months, amid calls for United States investors to reduce holdings in China’s biggest oil producer because of its links to Sudan.",negative,-0.9163722395896912
2007-09-13,Buffett Sells PetroChina Shares Amid Calls to Cut Ties With Sudan,negative,-0.8939484357833862
2007-09-18,"For the oil giant PetroChina, a share listing in Shanghai will raise money for a new pipeline and refinery, among other projects.",positive,0.8880572319030762
2007-09-18,"For coal miner China Shenhua Energy, it means cash for possible mine acquisitions abroad.",positive,0.5304570198059082
2007-09-18,"In China, a Rush to Market",neutral,-0.046194449067115784
2007-09-28,"Warren Buffett further reduced his stake in the listed shares of the PetroChina Company to 7.99 percent from 8.21 percent, according to a filing to the Hong Kong stock exchange Friday.",negative,-0.9511362314224243
2007-09-28,Warren Buffett Sells More of His PetroChina Stake,neutral,0.058763548731803894
2007-10-09,"Warren E. Buffett’s Berkshire Hathaway sold a block of listed shares in PetroChina for the fifth time in three months, dropping its stake in the company’s share capital to 6.97 percent, according to a filing to the Hong Kong stock exchange Monday.",negative,-0.9596281051635742
2007-10-09,Buffett Continues Cutting PetroChina Stake,negative,-0.834004819393158
2007-10-10,"Berkshire Hathaway, controlled by Warren E. Buffett, sold shares of the PetroChina Company, the biggest oil producer in China, valued at 2.8 billion Hong Kong dollars ($364 million).",neutral,0.05470582842826843
2007-10-10,"Berkshire sold 220.5 million shares at an average of 12.80 Hong Kong dollars a share on Sept. 25, cutting its stake to 5.44 percent of the stock not controlled by the Chinese government, according to a filing with the Hong Kong stock exchange.",negative,-0.9507482647895813
2007-10-10,"Mr. Buffett has sold almost half of his holding this year, according to calculations based on filings and Berkshire’s annual report.",neutral,0.018906090408563614
2007-10-10,The stock has jumped sevenfold since Berkshire bought its stake in April 2003.,positive,0.8863856792449951
2007-10-10,China: Buffett Cuts Petrochina Stake Further,negative,-0.9501578211784363
2007-10-22,"PetroChina, China’s largest oil and gas producer, said on Sunday it plans to make an initial public offering of shares in Shanghai that may be China’s largest, raising more than $9 billion.",positive,0.6884607076644897
2007-10-22,PetroChina to Sell Shares on Shanghai Market,neutral,-0.03712363913655281
2007-10-30,"PetroChina, China’s biggest oil and gas conglomerate, said Monday it had raised 66.8 billion yuan ($8.93 billion) from its initial public offering in Shanghai, making it the country’s largest domestic initial public offering so far.",positive,0.9052948355674744
2007-10-30,PetroChina Raises $8.9 Billion in Stock Offering,positive,0.49113407731056213
