Date,Sentence,Prediction,sentimentScore
2007-01-19,"Royal Dutch Shell is dangling the prospect of a 15 percent-plus bump in its offer to buy oil patch subsidiary Shell Canada for C$7.7 billion ($6.6 billion), if minority shareholders agree to support its takeover bid, The Globe and Mail reported.",positive,0.7827009558677673
2007-01-19,"Apparently frustrated in its attempts to drum up interest in a 40-Canadian-dollars -a-share offer made in October, and fearing a nasty takeover battle, Royal Dutch has been quietly meeting with the biggest shareholders in its Calgary-based offspring in recent weeks, the report said.",negative,-0.9136884212493896
2007-01-19,Money managers in Toronto and Calgary told the newspaper that the parent company is holding out the promise of $46 to $48 a share if institutions agree to commit their shares.,neutral,0.18053001165390015
2007-01-19,"Shell Mulls Boosting Offer for Canadian Unit, Report Says",positive,0.7202987670898438
2007-01-23,"Royal Dutch Shell, Europe’s biggest oil company, raised a bid to buy out its Canadian unit by 13 percent to 8.7 billion Canadian dollars ($7.4 billion) to gain increased production from oil sands.",positive,0.8908071517944336
2007-01-23,"Shell, which owns 78 percent of Shell Canada, raised its bid to 45 Canadian dollars a share, from an offer of 40 Canadian dollars a share made in October.",positive,0.9161456227302551
2007-01-23,Shell Ups Bid for Canadian Unit,neutral,-0.02537618577480316
2007-01-24,"After an earlier offer received a cool reception from minority shareholders, Royal Dutch Shell increased its bid for the portion of Shell Canada it does not own to 45 Canadian dollars ($38.10) a share from 40 Canadian dollars.",positive,0.9231979846954346
2007-01-24,The new offer values the 22 percent of Shell Canada not held by the parent company at 8.7 billion Canadian dollars ($7.4 billion).,neutral,0.09995687007904053
2007-01-24,"About 150,000 barrels of Shell Canada’s daily production of 230,000 barrels comes from oil sands projects in Alberta rather than conventional sources.",neutral,-0.0073810480535030365
2007-01-24,"When it made its opening bid in October, Royal Dutch Shell said that full control of Shell Canada would allow it to increase its reported reserves.",positive,0.8934245705604553
2007-01-24,An accounting problem forced the parent company to lower its reserve levels in 2004.,negative,-0.898374080657959
2007-01-24,The higher bid still may face difficulty since some Canadian fund managers have said recently that they are looking for a price near 50 Canadian dollars a share.,negative,-0.782124400138855
2007-01-24,Canada: Bid for Shell Canada Shares Is Raised,neutral,0.46537530422210693
2007-01-25,Disgruntled minority shareholders of Shell Canada threatened Wednesday to fight on in court if Royal Dutch Shell succeeds in buying out its Canadian subsidiary at $45 a share.,negative,-0.8972764015197754
