Date,Sentence,Prediction,sentimentScore
2007-01-18,"Vincent Reinhart, a top adviser on interest rates, is planning to leave the central bank.",negative,-0.4545212686061859
2007-01-18,A Fed Adviser Plans to Leave,neutral,-0.09860901534557343
2007-01-25,Hewlett-Packard is once again at the center of a cloak-and-dagger brouhaha.,neutral,0.0945664495229721
2007-01-25,"A former Hewlett executive accused by the company of stealing trade secrets is now saying that he was instructed by the company’s management to spy on a rival, Dell, CNet News.com reported.",negative,-0.8781406879425049
2007-01-25,"Karl Kamb, Hewlett’s former vice president of business development and strategy, was named as a defendant in a federal lawsuit filed by the computer maker in 2005 alleging that he used trade secrets to launch a rival flat-screen TV company of his own while still on the payroll.",negative,-0.8151496648788452
2007-01-25,"At H-P, More Spying Allegations Fly",negative,-0.7798967361450195
2007-01-25,"Bill Miller, the legendary stock picker who manages the Legg Mason Value Trust mutual fund, says he is often asked whether, on some level, he is relieved that his streak — 15 years of besting the Standard & Poor’s 500 — is over.",neutral,0.1619558036327362
2007-01-25,"“The answer is no,” he wrote in his latest letter to shareholders of the fund, which ended 2006 up 5.9 percent, far below the 15.8 percent gain in the S&P.",negative,-0.19059434533119202
2007-01-25,He goes on to suggest that it is actually a silly question.,negative,-0.4196525812149048
2007-01-25,Bill Miller on Luck and the End of ‘The Streak’,neutral,-0.1088884025812149
2007-01-27,"In an era of niches, when exclusion is as vital as inclusion, Gap has become an anachronism: a single chain, selling only its own brand.",neutral,-0.19159084558486938
2007-01-27,Gap Is in Need of a Niche,neutral,-0.25341129302978516
2007-01-30,"As Ben S. Bernanke celebrates his first anniversary as Fed chief, the Fed is still far away from acting on his major proposal of setting an explicit target for inflation.",negative,-0.5146527886390686
2007-01-30,Fed Has Yet to Set Target on Inflation,neutral,-0.01586281508207321
2007-02-02,"A week after ousting its chief executive, Gap removed his top deputy and former Disney colleague, Cynthia Harriss, as president of the Gap brand.",negative,-0.7855756878852844
2007-02-02,Retailer’s Shake-Up Continues as Executive in Charge of Gap Resigns,negative,-0.8575436472892761
2007-02-05,"Robert D. Novak, the writer who first named a C.I.A.",neutral,-0.005804326385259628
2007-02-05,"spy, has remained on the sidelines of a game he started.",negative,-0.46361055970191956
2007-02-05,Skipping Merrily Along as Others Take the Heat,neutral,0.06459870934486389
2007-02-06,The five biggest stocks in America are lagging this year.,negative,-0.9581875205039978
2007-02-06,Too Big to Rise?,neutral,-0.3042506277561188
2007-02-11,Traders probably do not expect anything as seductive as a promise to cut interest rates in Ben S. Bernanke’s update to Congress on the economy and Federal Reserve policy.,negative,-0.7105363607406616
2007-02-11,An Eye on Inflation as Growth Picks Up,neutral,0.0505133718252182
2007-02-15,Ben S. Bernanke predicted that unemployment was likely to remain low over the next two years even as inflation declined slightly.,negative,-0.5503150820732117
2007-02-15,Fed Chief Says Outlook Is Positive,positive,0.6696425676345825
