Date,Sentence,Prediction,sentimentScore
2007-01-04,A scientists’ organization accused Exxon of spending millions to manipulate public opinion on the seriousness of global warming.,negative,-0.832895040512085
2007-01-04,Exxon Accused of Trying to Mislead Public,negative,-0.6564372777938843
2007-01-12,Employment contracts have been blamed for virtually guaranteeing huge payouts even when an executive fails.,negative,-0.7974504232406616
2007-01-12,"Hire by the Contract Now, Risk a Big Regret Later",negative,-0.5603632926940918
2007-01-18,Exxon Mobil said output from its $17 billion Sakhalin Island development in the Pacific off Russia jumped 40 percent in the last month.,positive,0.9026626944541931
2007-01-18,"Oil and natural gas production from the Sakhalin-1 development has risen to the equivalent of more than 200,000 barrels of crude a day, according to Stuart McGill, senior vice president.",positive,0.9118931889533997
2007-01-18,"Exxon, which operates and owns a 30 percent stake in the project, expects output eventually to reach the equivalent of 317,000 barrels a day.",positive,0.7179092168807983
2007-01-18,"Production at Sakhalin-1 was about 160,000 barrels a day in early December, a Bear Stearns analyst, Nicole Decker, said in a Dec. 13 note to clients after an analysts’ lunch with Exxon’s chief executive, Rex W. Tillerson.",neutral,-0.14686265587806702
2007-01-18,Exxon began producing crude from the Chayvo field off Sakhalin Island’s ice-choked coastline in October 2005.,neutral,0.047790221869945526
2007-01-18,"Exxon’s partners in Sakhalin-1 are a Japanese group known as Sodeco, the Oil and Natural Gas Corporation of India and the state-run Russian oil company Rosneft.",neutral,0.01522798277437687
2007-01-18,Russia: Sakhalin Production Increases,neutral,-0.08939105272293091
2007-02-01,"The $39.5 billion profit topped the previous record for a U.S. company, which Exxon set in 2005.",positive,0.8368669152259827
2007-02-01,Exxon Sets Record on Annual Profits,neutral,0.22955265641212463
2007-02-01,"Exxon Mobil Capital Spending Rises, But Not As Rapidly As Its Sharebuybacks",positive,0.8905631303787231
2007-02-01,What Exxon Mobil Does With Its Money,neutral,0.004332408308982849
2007-02-02,Exxon’s profit of $39.5 billion broke the record it set last year for the largest profit ever by an American company.,positive,0.8122255802154541
2007-02-02,Exxon and Shell Report Record Profits for 2006,neutral,0.22254161536693573
2007-02-03,The economy expanded faster than expected in the last quarter of 2006 and remains strong.,positive,0.9143345952033997
2007-02-03,"Good News on Economy, Except for a Dell Executive",neutral,0.12496054917573929
2007-02-10,"If Exxon Mobil doesn’t learn to talk more straightforwardly about its beliefs, it will never stop being the world’s whipping boy.",negative,-0.43597471714019775
2007-02-10,Exxon Mobil Just Wants to Be Loved,neutral,0.05225316435098648
2007-02-14,Rex W. Tillerson suggested a more accommodating position than the hard-nosed stance his company had held.,neutral,0.09346526116132736
