Date,Sentence,Prediction,sentimentScore
2014-01-06,"Samsung Electronics will report its fourth-quarter earnings estimates, the insider trading trial of Mathew Martoma will begin and the European Central Bank will review its monetary policy.",neutral,0.0030735358595848083
2014-01-06,Economic Reports for the Week of Jan. 6,neutral,-0.17609253525733948
2014-01-07,"Apple’s iCloud data service works best with Apple’s own devices, but it is possible to make it work with other companies’ hardware.",neutral,0.16688022017478943
2014-01-07,Taking Along iCloud Calendars,neutral,0.030914675444364548
2014-01-10,"A summary of differences in the latest Windows upgrade, and how to share files between Apple devices.",neutral,0.023345261812210083
2014-01-10,"Changes in Windows 8.1, With Skype Replacing Messaging App",neutral,0.04011295735836029
2014-01-13,"The $3.2 billion deal for Nest Labs, which is led by former Apple engineers, will expand the technology giant’s portfolio of consumer goods.",positive,0.9146906137466431
2014-01-13,"For Google, a Toehold Into Goods for a Home",neutral,-0.0006994232535362244
2014-01-14,"Apple is campaigning aggressively against a court-appointed inspector, saying he is intruding on operations.",negative,-0.9025579690933228
2014-01-14,Secretive Apple Squirms in Gaze of U.S. Monitor,negative,-0.8354713320732117
2014-01-15,The chairwoman said the F.T.C.,neutral,-0.0019047148525714874
2014-01-15,settlement was “more robust” and more thorough than an earlier lawsuit settlement.,positive,0.8650789260864258
2014-01-15,Apple to Refund App Store Purchases Made Without Parental Consent,neutral,-0.014708107337355614
2014-01-16,"Business officials say advocacy groups often demonize companies unfairly and inaccurately, while the groups question why corporations have attacked such fledgling organizations.",negative,-0.7208332419395447
2014-01-16,Advocates for Workers Raise the Ire of Business,negative,-0.7241986393928528
2014-01-17,"Customers were finally able to buy iPhones from China Mobile on Friday, but the turnout was underwhelming in Beijing, even with Apple’s chief on hand.",positive,0.17593783140182495
2014-01-17,A Muted Beginning to Sales of Apple’s iPhone Through China Mobile,negative,-0.6786379814147949
2014-01-21,The Stratus game controller from SteelSeries is a stand-alone gadget that connects to mobile devices via Bluetooth.,neutral,0.0014233384281396866
2014-01-21,A Miniaturized Controller for iOS Games,neutral,0.029444776475429535
2014-01-22,The activist investor called on eBay to spin off its PayPal business as he nominated two of his employees as candidates for the board.,neutral,-0.32774442434310913
2014-01-22,Icahn Adds eBay to His Targets in Technology,neutral,0.05808187648653984
2014-01-24,"A slide in smartphone sales was partly offset by the company’s hold on vital handset components, which are often sold to Apple and other competitors.",negative,-0.9236112833023071
2014-01-24,Chip Profits Help Soften Other Losses at Samsung,positive,0.5054037570953369
2014-01-27,Apple’s blockbuster phone sales helped the company post a profit of $13.1 billion on revenue of $57.6 billion.,positive,0.7894368171691895
2014-01-27,Sales of iPhones Set Record for Quarter: 51 Million,positive,0.4936765134334564
2014-01-28,"Carl C. Icahn took to his favorite broadcasting tool, Twitter, on Tuesday to disclose that he had purchased an additional $500 million shares in the iPhone maker.",neutral,0.05933310091495514
2014-01-28,"As Apple Shares Fall, Icahn Plucks More",negative,-0.811351478099823
2014-01-30,"Plus, working with multiple Apple ID accounts.",neutral,0.06074999272823334
2014-01-30,Another Option for an Upgrade From Windows XP,neutral,0.12927035987377167
2014-02-01,"Rising resentment against elite technology firms manifests itself in demonstrations at public bus stops in San Francisco, where private shuttle buses ferry engineers to work.",negative,-0.9220091104507446
2014-02-01,Tech Rides Are Focus of Hostility in Bay Area,neutral,0.06934364885091782
2014-02-03,"As tech companies focus on small, wearable devices, they have encountered an obstacle: Battery technology is largely stuck in the 20th century.",negative,-0.6272109150886536
2014-02-03,Building a Better Battery,neutral,0.26458144187927246
2014-02-06,"The app, named BlockChain, was one of the last remaining iPhone mobile applications that allowed users to buy and sell Bitcoin.",neutral,-0.01461702398955822
2014-02-06,Apple Takes Down a Bitcoin App,negative,-0.5579865574836731
2014-02-07,"Mathew Martoma, the former trader at SAC Capital Advisors, was convicted of insider trading.",negative,-0.8136555552482605
2014-02-07,| Mr. Martoma’s handling of a years-old episode involving fabrication of documents cast doubt on his trustworthiness and may have hindered a deal with prosecutors.,negative,-0.9544562101364136
2014-02-07,| Legal troubles are doing little to stem a Bitcoin leader’s exuberance.,negative,-0.8790076971054077
2014-02-07,| Apple buys $14 billion of its own shares.,neutral,0.06330277025699615
2014-02-07,A Guilty Verdict for Former SAC Trader,negative,-0.4752229154109955
2014-02-10,"The activist investor Carl C. Icahn’s six-month campaign for Apple to increase shareholder payouts ended as other major investors voiced opposition, but Mr. Icahn still claimed a victory of sorts.",positive,0.4656067490577698
2014-02-10,Icahn Ends Call for Apple Stock Buyback,neutral,0.010063745081424713
2014-02-11,Apple appealed the placement of a monitor to ensure compliance with federal antitrust laws.,neutral,-0.020562902092933655
2014-02-11,Court Rejects Apple Appeal in E-Book Case,negative,-0.5943299531936646
2014-02-12,"Game players’ options now include tablets, game-streaming services and controllers that work with televisions.",neutral,0.03536728769540787
2014-02-12,Challengers Take On the Big Three in Gaming’s Arena,neutral,-0.060760147869586945
2014-02-13,"Researchers at Gartner said that in 2013, worldwide smartphone sales neared 1 billion units sold and surpassed the sales of feature phones for the first time.",positive,0.8549146056175232
2014-02-13,Smartphone Sales Beat Feature Phones in 2013,positive,0.04403546452522278
2014-02-18,"Using a computer without connecting to the Internet, and how two people can watch, and hear, a movie together on an iPad.",neutral,-0.0501277782022953
2014-02-18,Keeping a Computer Offline,neutral,-0.3620387017726898
2014-02-19,"A start-up, Caseable, offers easy tools on its website that let customers create cases for devices from Apple, Samsung and others.",neutral,0.014874648302793503
2014-02-19,A Case That Lets You Be the Designer,neutral,0.056060757488012314
2014-02-21,"Also, how to change the name of a Wi-Fi network using a Mac.",neutral,0.0008222386240959167
2014-02-21,Making an Android Tablet Easier to Read,neutral,0.15229471027851105
