Date,Sentence,Prediction,sentimentScore
2014-06-20,More health prescription plans are refusing to cover certain drugs unless the companies charge less for them.,negative,-0.7361920475959778
2014-06-20,Health Insurers Pressing Down on Drug Prices,negative,-0.7900496125221252
2014-06-23,"Shire last week turned down a $46 billion bid from Chicago-based AbbVie, but it may be entertaining a higher offer soon.",neutral,0.10083623230457306
2014-06-23,Shire Said to Hire Goldman Sachs as an Adviser,neutral,0.0259152390062809
2014-06-25,"Though AbbVie, based in Chicago, stopped short of raising its $46 billion takeover offer, its presentation and investor call on Wednesday made the case for a deal with Shire.",positive,0.6373063325881958
2014-06-25,AbbVie Signals It Will Continue to Pursue Irish Drug Maker Shire,neutral,0.3052777647972107
2014-07-08,Shire’s board still has some leverage.,neutral,0.0784369558095932
2014-07-08,"For one, there’s AbbVie’s own weakness, because roughly 58 percent of its sales come from one drug, Neil Unmack and Robert Cyran of Reuters Breakingviews write.",negative,-0.9156444072723389
2014-07-08,Shire Can Get Higher Bid From AbbVie,neutral,0.39704692363739014
2014-07-09,"AbbVie said it had “not received any written commitments of support” from shareholders of Shire for its latest takeover offer, which AbbVie has raised to about $51 billion.",positive,0.561552882194519
2014-07-09,AbbVie Backtracks on Comments in Shire Bid,negative,-0.4587143659591675
2014-07-11,"The talks follow AbbVie’s revised offer to pay about $51 billion for Shire, which has its headquarters in Ireland and is listed in London.",neutral,0.3123171329498291
2014-07-11,Shire confirmed the talks on Friday but did not provide details of the discussions.,neutral,0.005068032070994377
2014-07-11,Drug Makers AbbVie and Shire Officials Meet to Discuss Merger,neutral,0.03129984065890312
2014-07-14,"Playing hard to get may simply have been a calculated bet by Susan Kilsby, Shire’s board chairwoman and a veteran deal maker at Credit Suisse for many years.",neutral,-0.17331531643867493
2014-07-14,AbbVie’s Bid Played Into Hands of Shire Board’s Merger Expert,neutral,0.05146348476409912
2014-07-15,"Another company is moving its headquarters to Europe, in part to pay lower taxes.",neutral,0.25873613357543945
2014-07-15,"This time, it’s led by the daughter of a United States senator.",neutral,-0.0003482215106487274
2014-07-15,"Reluctantly, Patriot Flees Homeland for Greener Tax Pastures",positive,0.3975612223148346
2014-07-16,The Obama administration and Congress appear unlikely to take any action to stem the tide of such deals anytime soon.,neutral,-0.37930142879486084
2014-07-16,"Treasury Urges End to Foreign Tax Flights, but Quick Action Is Unlikely",neutral,0.015863865613937378
2014-07-17,"The biggest wedding of the year comes as the Treasury and Congress prepare legislation to prevent tax inversions, possibly retroactively.",positive,0.3697504997253418
2014-07-17,What provision AbbVie has made for that is unclear.,neutral,0.005739226937294006
2014-07-17,"AbbVie-Shire Deal Is Expected, in a Flight to a Lower-Tax Locale",neutral,0.37824535369873047
2014-07-18,AbbVie agreed on Friday to buy the Irish drug maker Shire for around $54 billion.,neutral,0.21376024186611176
2014-07-18,| Alibaba has pushed its I.P.O.,negative,-0.5596975684165955
2014-07-18,to September.,neutral,0.053301651030778885
2014-07-18,| Growth in wealth management bolstered Morgan Stanley’s second-quarter profit.,positive,0.9324846863746643
2014-07-18,| New York State’s top financial regulator has proposed regulations for virtual currency companies.,neutral,0.13271649181842804
2014-07-18,Morning Agenda: AbbVie Wins Deal for Shire,positive,0.8112658262252808
2014-07-21,Alibaba’s I.P.O.,neutral,0.039769627153873444
2014-07-21,could be a bonanza for the scions of Chinese leaders.,neutral,0.020268481224775314
2014-07-21,| The market for subprime auto loans is booming.,positive,0.7882038354873657
2014-07-21,| Dell shareholders’ appraisal efforts hit a snag.,negative,-0.8555576205253601
2014-07-21,| AbbVie has sealed a $54 billion deal for Shire.,positive,0.7725234031677246
2014-07-21,Morning Agenda: Chinese Elite Tied to Alibaba I.P.O.,neutral,0.006639713421463966
2014-07-22,"Lawmakers spoke out against American companies reincorporating abroad, but there was no consensus on how to address the issue.",negative,-0.7249612808227539
2014-07-22,Senate Panel Takes On Tax Inversions,neutral,-0.09983619302511215
2014-07-23,"Sales of Sovaldi reached $3.5 billion in the second quarter, testifying to the effectiveness of the drug, which can essentially cure over 80 percent of patients with few side effects.",positive,0.8746715784072876
2014-07-23,"Gilead’s Hepatitis C Drug, Sovaldi, Is on Pace to Become a Blockbuster",positive,0.7376080751419067
2014-07-25,"Kenneth C. Griffin, the head of Citadel, has filed for divorce from his wife, Anne Dias Griffin.",negative,-0.5693914294242859
2014-07-25,| President Obama on Thursday called for an end to so-called inversions.,neutral,-0.045264147222042084
2014-07-25,| How AbbVie wooed Shire.,neutral,0.05163151025772095
2014-07-25,| A secret in the bank bailout of Cyprus stirs resentment.,negative,-0.916097104549408
2014-07-25,Morning Agenda: Hedge Fund Managers Headed for Divorce,neutral,0.006428159773349762
2014-07-29,"The bill, called the No Federal Contracts for Corporate Deserters Act, would withhold government contracts from companies that seek tax relief by moving overseas.",neutral,-0.4227372705936432
2014-07-29,New Legislation Targets Inversions From Different Angle,neutral,0.046529415994882584
