Date,Sentence,Prediction,sentimentScore
2014-01-08,"With its decision not to allow the sale of Bitcoins on its website, the Alibaba Group becomes the latest in a chorus of governments and businesses to raise questions about the virtual currency.",neutral,0.12504424154758453
2014-01-08,Chinese E-Commerce Giant Alibaba to Ban Bitcoins on Its Sites,negative,-0.8318415880203247
2014-01-14,"Joe Tsai holds the keys to what will most likely be the largest initial public offering of this generation — Alibaba, the Chinese e-commerce giant.",neutral,0.2753656208515167
2014-01-14,The Man Behind Alibaba’s Eventual I.P.O.,neutral,0.05182386934757233
2014-01-16,"Tencent, one of the country’s online powers, is moving further into the mainstay of another titan, Alibaba.",neutral,0.4748767912387848
2014-01-16,E-Commerce Competition Intensifies in China,neutral,0.3908059597015381
2014-01-24,"Citic 21CN’s shares rose by as much as 500 percent as investors bet Alibaba might try to use the company as a shell for a “backdoor” listing in Hong Kong, but the trades may prove overly optimistic.",positive,0.8040260076522827
2014-01-24,Investment by Alibaba Creates Frenzy Over Chinese Pharmaceutical Data Firm,negative,-0.8029885292053223
2014-01-28,Alibaba’s acquisition of a sleepy technology company set of a flurry of speculation.,neutral,-0.0036300495266914368
2014-01-28,"After Alibaba’s public debut, scrutiny of its deals will only intensify, the Deal Professor writes.",neutral,0.028945647180080414
2014-01-28,Answers to a Puzzling Deal at Alibaba Remain in the Shadows,neutral,-0.3949723541736603
2014-01-30,"JD.com, one of China’s biggest e-commerce companies, said in a regulatory filing on Thursday that it planned to raise $1.5 billion this year in an initial public offering in the United States.",positive,0.5220381617546082
2014-01-30,An Alibaba Rival Plans Its Own I.P.O.,neutral,-0.006720857694745064
2014-01-30,This Year,neutral,0.10642495006322861
2014-02-10,A confidential email shows a top Chinese insurance regulator directly asked JPMorgan Chase’s chief for a “favor” to hire a young job applicant.,neutral,-0.0067719221115112305
2014-02-10,"| Steven A. Cohen, the founder of SAC Capital Advisors, remains as elusive as ever.",neutral,-0.2966686189174652
2014-02-10,| Alibaba seeks control of AutoNavi.,neutral,-0.009008225053548813
2014-02-10,| Apple gains an ally in the fight against Carl C. Icahn.,positive,0.7229744791984558
2014-02-10,| Stealth I.P.O.’s are on the rise.,positive,0.6373811960220337
2014-02-10,A Chinese Official’s Job Plea to JPMorgan’s Chief,negative,-0.6445578932762146
2014-02-11,"There is a compelling competitive reason for Alibaba to get deeper into online maps, but what’s hard to locate is the financial rationale, write Robyn Mak and John Foley of Reuters Breakingviews.",neutral,0.19499105215072632
2014-02-11,Alibaba’s Online Land Grab,neutral,0.04362316057085991
2014-02-27,"For now, SoftBank, through its stake in Alibaba, is one of the few ways for public investors to gain exposure to the Chinese e-commerce giant.",neutral,0.08992091566324234
2014-02-27,"But that advantage will disappear when Alibaba goes public, writes Una Galani of Reuters Breakingviews.",neutral,-0.3752172589302063
2014-02-27,SoftBank’s Investment in Alibaba May Turn Into a Burden,neutral,0.057621318846940994
2014-03-03,"The sector’s growth is intensifying competition for deposits and putting pressure on state-run banks, which are struggling with a severe cash squeeze.",negative,-0.9003973007202148
2014-03-03,High-Interest Web Banks on the Rise in China,neutral,0.02078980952501297
2014-03-10,"The Chinese Internet company said it would pay $215 million for a 15 percent stake in JD.com as the two firms seek to challenge the dominance of Alibaba, China’s largest e-commerce company.",positive,0.7095247507095337
2014-03-10,China’s Tencent to Buy Stake in JD.com as Part of E-Commerce Push,neutral,0.1375969797372818
2014-03-12,"Shares in a Hong Kong media group began to rally well before the announcement that Alibaba, the Chinese e-commerce giant, had reached an $804 million deal to buy control of the company.",positive,0.7903208136558533
2014-03-12,Shares in a Media Group Soar Well Before Alibaba Makes a Deal,positive,0.3510587215423584
2014-03-13,"Investors may be betting that Alibaba will move into digital entertainment, but they are too easily excited, contends Robyn Mak of Reuters Breakingviews.",neutral,-0.00766386091709137
2014-03-13,Star-Struck by Alibaba’s Movie Company Deal,neutral,0.4122700095176697
2014-03-14,The Chinese e-commerce titan Alibaba is said to be planning to follow the social network Weibo into filing for an I.P.O.,neutral,0.0011482574045658112
2014-03-14,"in New York, rather than in Hong Kong.",neutral,-0.26040494441986084
2014-03-14,China’s Online Goliaths Prepare Public Offerings in U.S.,neutral,0.004435352981090546
2014-03-16,"In a post on its corporate blog, the company said it plans to list on an American stock market to become “a more global company.”",neutral,0.3665745258331299
2014-03-16,Alibaba Confirms It Will Begin I.P.O.,neutral,0.0754157155752182
2014-03-16,Process in U.S.,neutral,0.01532105915248394
2014-03-17,"The growth of the Twitter-like Chinese microblog Weibo comes with some hairy regulatory risks, John Foley of Reuters Breakingviews writes.",neutral,0.10810911655426025
2014-03-17,Weibo I.P.O.,neutral,0.05954178050160408
2014-03-17,Sets a Low Bar for Alibaba,neutral,-0.24614588916301727
2014-03-20,"Tango, a leading player in free mobile messaging, has raised $280 million from investors, including China’s leading e-commerce company.",positive,0.8167648911476135
