Date,Sentence,Prediction,sentimentScore
2014-01-06,"Samsung Electronics will report its fourth-quarter earnings estimates, the insider trading trial of Mathew Martoma will begin and the European Central Bank will review its monetary policy.",neutral,0.0030735358595848083
2014-01-06,Economic Reports for the Week of Jan. 6,neutral,-0.17609253525733948
2014-01-10,"Using an analysis based on a settlement paid in the residential mortgage crisis by JPMorgan Chase, the banking industry calculated what the rest of the banks might pay.",neutral,-0.02433212473988533
2014-01-10,Wall Street Predicts $50 Billion Bill to Settle U.S. Mortgage Suits,positive,0.48399704694747925
2014-01-11,"After a review, Bank of America Merrill Lynch said its lowest-level employees should try to take four weekend days off each month.",negative,-0.8938177227973938
2014-01-11,Wall St.,neutral,0.032495319843292236
2014-01-11,"Shock: Take a Day Off, Even a Sunday",negative,-0.5103743672370911
2014-01-13,Suntory of Japan is buying Jim Beam for $13.6 billion.,neutral,0.03592678904533386
2014-01-13,| Bank of America tells its junior bankers to take a day off.,negative,-0.6630764603614807
2014-01-13,| Sides trade harsh words at trial of former SAC trader.,negative,-0.9292828440666199
2014-01-13,| Bank regulators back down on leverage ratio.,negative,-0.9462197422981262
2014-01-13,Suntory’s Deal for Jim Beam,neutral,0.036133501678705215
2014-01-15,"While Bank of America and Wells Fargo reported healthy profits in the last quarter, some observers are concerned that the banks are quickly depleting their rainy day funds.",negative,-0.9290246963500977
2014-01-15,Skeptics Question Banks’ Bottom Lines,negative,-0.6543384194374084
2014-01-16,"Citigroup and Goldman both reported significant slides in fixed-income revenue, and banks tried to blame many factors for that drop-off.",negative,-0.9414483904838562
2014-01-16,"Fixed Income Drops at Some Big Banks, but Who’s to Blame?",negative,-0.7457794547080994
2014-01-17,"Detroit officials spent Friday reshuffling legal and financial plans, a day after a federal bankruptcy judge barred the city from paying $165 million to end some troublesome interest-rate swaps that have been tying up money the city needs.",negative,-0.9051227569580078
2014-01-17,Detroit Officials Scramble on Financing,negative,-0.5373160243034363
2014-01-21,"Funds advised by the private equity firm Apax Partners are acquiring all of the Trader Media Group, which operates the automobile website AutoTrader in Britain and other online auto sales brands.",neutral,0.14513075351715088
2014-01-21,Apax Partners to Acquire All of Online Auto Sales Company Trader Media,neutral,0.04978445917367935
2014-01-27,"After its initial offer was rebuffed four months ago, Liberty Global is buying Ziggo in a cash-and-stock deal that values the entire company at about $13.7 billion.",neutral,0.07578092068433762
2014-01-27,Liberty Global to Buy Dutch Cable Provider Ziggo,neutral,0.0829637199640274
2014-01-30,"Although central bankers and national regulators agreed to support a low leverage ratio for banks, the chairman of the Basel Committee on Bank Supervision suggested that the panel could still recommend stiffer requirements.",positive,0.5382081270217896
2014-01-30,Banks Could Still Face Tougher Capital Requirements to Prevent Crises,negative,-0.760780930519104
2014-01-31,"A New York State judge blessed the 2011 agreement to cover some of the investors’ mortgage losses, but she also said that some of the legal claims by the investors were excluded from the settlement.",neutral,-0.08860185742378235
2014-01-31,Bank of America Settlement on Bonds That Soured Is Approved,neutral,-0.10983998328447342
2014-02-01,The city contends that some of the complex transactions set up to finance pensions were illegal.,negative,-0.713411808013916
2014-02-01,Detroit Sues to Cancel Some Costly Contracts,negative,-0.9095745086669922
2014-02-04,Financial institutions that helped raise money for Detroit’s pension system are dismayed now to see themselves portrayed as shady characters in the city’s lawsuit.,negative,-0.9187455773353577
2014-02-04,Detroit Turns Bankruptcy Into Challenge of Banks,negative,-0.3709307610988617
2014-02-05,The American International Group gained a minor victory on Tuesday when a New York judge scheduled a new hearing on the $8.5 billion settlement.,positive,0.3324155807495117
2014-02-05,A.I.G.,neutral,0.045108746737241745
2014-02-05,Seeks to Delay Bank of America Mortgage Settlement,negative,-0.48801901936531067
2014-02-06,The markets barely responded to a downgrade of Puerto Rico’s credit rating.,negative,-0.583901047706604
2014-02-06,| The jury in the insider-trading trial of a former SAC manager seeks to review transcripts.,neutral,-0.10906083881855011
2014-02-06,| The currency trading industry is in flux.,negative,-0.5705457925796509
2014-02-06,| A.I.G.,neutral,0.03916233777999878
2014-02-06,is seeking to delay the $8.5 billion Bank of America mortgage settlement.,negative,-0.8887662291526794
2014-02-06,A Shrug at Puerto Rico’s Debt Downgrade,negative,-0.5072287321090698
2014-02-11,"Winthrop H. Smith Jr., a senior Merrill Lynch executive and son of one of the firm’s founding partners, argues in a new book that E. Stanley O’Neal helped sow the seeds of Merrill’s fall by failing to hold true to Merrill’s founding principles.",negative,-0.8850867748260498
2014-02-11,One View of Merrill Lynch’s Fall,neutral,-0.09504607319831848
2014-02-12,It has long been a feature of Wall Street that women are underrepresented in the executive ranks.,negative,-0.8933677077293396
2014-02-12,"But since the financial crisis, the situation has gotten worse, said Sallie L. Krawcheck, a former executive at Bank of America and Citigroup, in an interview on Bloomberg TV.",negative,-0.9239771962165833
2014-02-12,Krawcheck Says Women on Wall Street Have ‘Gone Backwards’,negative,-0.5383124351501465
2014-02-20,"During Brian Moynihan’s tenure as chief executive, Bank of America has been digging out from mortgage problems, shoring up its capital levels and laying off employees.",negative,-0.954638659954071
2014-02-20,Bank of America’s Chief Receives $12.5 Million in Stock,neutral,0.06118420138955116
2014-02-25,Bank of America said that it was facing new investigations related to its activities in foreign currency exchange markets as well as its handling of government-backed mortgages in the United States.,negative,-0.5718308091163635
2014-02-25,Bank of America Discloses 2 New Investigations,neutral,-0.012124240398406982
2014-02-26,The apparent collapse of Mt.,negative,-0.7654224634170532
2014-02-26,"Gox, the most prominent Bitcoin exchange, late Monday night stirred ire, but also hope for the virtual currency.",negative,-0.36860185861587524
2014-02-26,| A Senate report says Credit Suisse helped American clients hide billions in assets.,negative,-0.7497549057006836
