Date,Sentence,Prediction,sentimentScore
2014-01-10,"Fosun International is plain about its ambition to emulate Warren Buffett’s investment firm, buying companies at home and abroad.",neutral,0.1800335794687271
2014-01-10,Its latest deal is for Portugal’s largest insurance company.,neutral,0.08042392134666443
2014-01-10,Striving to Be the Berkshire Hathaway of China,neutral,0.08688348531723022
2014-01-21,"Don’t bet on anyone winning the $1 billion being offered by Quicken Loans, the Detroit-based mortgage lender, with the backing of Warren Buffett’s Berkshire Hathaway, to anyone who fills out a perfect 2014 tournament bracket.",neutral,0.1270296573638916
2014-01-21,$1 Billion for a Perfect N.C.A.A.,neutral,0.14557570219039917
2014-01-21,"Bracket, Courtesy of Warren Buffett",neutral,0.041049450635910034
2014-01-29,"Dow Chemical may have expanded its stock buyback program and dividend, but it showed little inclination to make further concessions to activist investors like Daniel S. Loeb.",positive,0.8530571460723877
2014-01-29,And that suits one major shareholder — Warren E. Buffett — just fine.,neutral,0.08853086084127426
2014-01-29,Dow Chief Says Buffett Supports Him in Loeb Fight,neutral,0.22446468472480774
2014-02-24,"In an excerpt from his annual letter to shareholders, Warren Buffett describes how investments he made in a farm and real estate illustrate the importance of a long-term view.",neutral,0.04957890883088112
2014-02-24,"From Buffett, Lessons From His Farm",neutral,0.05168278515338898
2014-02-25,Bank of America said that it was facing new investigations related to its activities in foreign currency exchange markets as well as its handling of government-backed mortgages in the United States.,negative,-0.5718308091163635
2014-02-25,Bank of America Discloses 2 New Investigations,neutral,-0.012124240398406982
2014-03-01,The challenge for Warren E. Buffett is whether Berkshire Hathaway can continue to make large acquisitions that will help the company grow at a pace that will sustain his reputation as the nation’s shrewdest investor.,positive,0.6946480870246887
2014-03-01,Buffett Hints at More Heinz-Like Deals in Annual Letter,neutral,0.3355712890625
2014-03-03,The styles of the two investors could not be more different.,neutral,-0.02361505851149559
2014-03-03,"But Jeffrey Goldfarb of Reuters Breakingviews notes that both men beat the market by betting on America, playing hardball and trading on personal brands.",positive,0.4862060248851776
2014-03-03,Buffett and Icahn: Birds of a Feather?,neutral,-0.03485129773616791
