Date,Sentence,Prediction,sentimentScore
2014-01-02,The companies were involved in a lawsuit over whether J.C. Penney had the right to sell certain Martha Stewart-branded housewares.,negative,-0.7952833771705627
2014-01-02,Martha Stewart Living and Macy’s Settle Dispute and Keep Partnership,neutral,0.30977708101272583
2014-01-03,Liberty proposed on Friday to acquire the 48 percent of Sirius it does not already own in an all-stock deal valued at more than $10 billion.,neutral,0.0815061405301094
2014-01-03,Liberty Media Seeks Full Ownership of Sirius XM,neutral,0.045631129294633865
2014-01-06,"Liberty Media, where John C. Malone serves as chairman, is offering the satellite radio company’s minority investors a 3 percent premium and perhaps better liquidity in return for non-voting Liberty stock with inferior prospects.",positive,0.841002345085144
2014-01-06,"Sirius shareholders should hit back, contends Robert Cyran of Reuters Breakingviews.",neutral,0.354120135307312
2014-01-06,"In Sirius Offer, John Malone Is Up to His Old Tricks",neutral,0.1133500263094902
2014-01-09,"Last February, James C. Woolery left investment banking to return to the practice of law.",neutral,0.008141230791807175
2014-01-09,"Less than a year later, he has been tapped to lead his new law firm.",neutral,0.059453122317790985
2014-01-09,Cadwalader Picks Woolery as Next Chairman,neutral,0.038604527711868286
2014-01-10,"Sandy Weill, whose financial career has spanned five decades, could be a boon to Hamilton if it decides to pursue other acquisitions.",neutral,0.20735758543014526
2014-01-10,Weill Named Chairman of Hamilton Insurance,neutral,0.028101101517677307
2014-01-11,"Some funds are trying to copy the investments of successful hedge fund managers and business leaders, but not everyone thinks the approach makes for canny investing.",neutral,0.030902400612831116
2014-01-11,"Guru Funds, Mimicking the Smart Money",neutral,0.05400363355875015
2014-01-13,"Charter Communications offered $37.8 billion for Time Warner Cable, the nation’s No.",positive,0.5298449397087097
2014-01-13,2 cable operator.,neutral,0.048803526908159256
2014-01-13,Big Offer for Time Warner Cable Unsettles the Cable Industry,negative,-0.7632833123207092
2014-01-14,"John P. Havens, who resigned as chief operating officer of Citigroup in 2012 when Vikram S. Pandit was ousted as chief executive, has found a new home at the hedge fund business that was spun out of the bank.",neutral,0.13976725935935974
2014-01-14,Former Citigroup Executive Joins Hedge Fund as Chairman,neutral,-0.012042969465255737
2014-01-15,"The retailer, one of America’s oldest, said the shuttering of the “underperforming” stores would save about $65 million a year.",negative,-0.4671695828437805
2014-01-15,"J.C. Penney to Close 33 Stores and Cut 2,000 Jobs",negative,-0.9518921375274658
2014-01-16,"Citigroup and Goldman both reported significant slides in fixed-income revenue, and banks tried to blame many factors for that drop-off.",negative,-0.9414483904838562
2014-01-16,"Fixed Income Drops at Some Big Banks, but Who’s to Blame?",negative,-0.7457794547080994
2014-01-17,How well do you know your earnings reports?,neutral,0.0040318891406059265
2014-01-17,Match the financial company with the quote about its latest earnings report.,neutral,0.02307698130607605
2014-01-17,Weekend Reading: Bank Earnings Quiz,neutral,-0.127685084939003
2014-01-20,"Hotels are competing with one another to create luxury suites for the extremely wealthy, who are willing to pay five-figure nightly rates.",positive,0.5409344434738159
2014-01-20,"$28,000 a Night: Hotels Race to Attract Superrich Clientele",neutral,0.3157440423965454
2014-01-21,"Bixi, which designs and builds bike-sharing systems used around the world, owes the city of Montreal millions of dollars.",neutral,0.04887114465236664
2014-01-21,Canadian Company Behind Bike-Sharing Programs Seeks Bankruptcy Protection,negative,-0.8320689797401428
