Date,Sentence,Prediction,sentimentScore
2014-01-06,Irish officials are using grants and tax breaks to help small start-ups find room among the Silicon Valley giants that employ thousands in Dublin.,positive,0.5474931001663208
2014-01-06,Ireland Stirs Homegrown Flavor Into Tech Scene,neutral,0.2456526905298233
2014-01-07,"Apple’s iCloud data service works best with Apple’s own devices, but it is possible to make it work with other companies’ hardware.",neutral,0.16688022017478943
2014-01-07,Taking Along iCloud Calendars,neutral,0.030914675444364548
2014-01-13,"The $3.2 billion deal for Nest Labs, which is led by former Apple engineers, will expand the technology giant’s portfolio of consumer goods.",positive,0.9146906137466431
2014-01-13,"For Google, a Toehold Into Goods for a Home",neutral,-0.0006994232535362244
2014-01-14,Google’s decision to pay $3.2 billion for Nest Labs will stoke enthusiasm for a future when everyday products and simple gadgets can all be controlled remotely.,positive,0.8556202054023743
2014-01-14,Google Fans the Flame of Connectivity,neutral,0.06318116188049316
2014-01-15,"After Google announced it was buying Nest Labs on Monday, shares jumped for a stock with the ticker symbol NEST — a different, and defunct, company.",neutral,0.12455905973911285
2014-01-15,A Case of Mistaken Identity Sends a Worthless Stock Soaring,negative,-0.6881778240203857
2014-01-16,"Marissa Mayer has done much to revive Yahoo, Richard Beales and Robert Cyran of Reuters Breakingviews write, but the Internet company still has a fundamental problem: Its sites are a hodgepodge.",negative,-0.9412906765937805
2014-01-16,Why It May Take More Than Former Google Stars to Turn Yahoo Around,neutral,0.022240035235881805
2014-01-17,"Marissa Mayer’s firing of her top lieutenant, Henrique de Castro, was her first public signal that turning around Yahoo would be far more difficult than some had suggested.",negative,-0.8336687088012695
2014-01-17,Bumps on a Road to Revival for Yahoo,neutral,0.23249144852161407
2014-01-20,Two people are stuck on a remote island with a horrible monster.,negative,-0.8263648152351379
2014-01-20,What should they do to maximize their chance of survival?,neutral,0.10803891718387604
2014-01-20,More Monster and Hats,neutral,-0.0027209073305130005
2014-01-21,"Everyone wins in technology deals like Google’s $3.2 billion purchase of Nest Labs, at least until the bubble bursts, the Deal Professor writes.",positive,0.5015594959259033
2014-01-21,Search for the ‘Next Big Thing’ Yields Soaring Valuations,neutral,0.041413143277168274
2014-01-22,Marijuana ads have been banned by Google and Facebook.,negative,-0.6119179725646973
2014-01-22,The limits of shipping insurance.,neutral,0.0340091846883297
2014-01-22,Is 2014 the year of free hardware?,neutral,0.0559697151184082
2014-01-22,Today in Small Business: ‘Anticipatory Shipping’,neutral,0.050144124776124954
2014-01-24,"Pointing to a small but growing trend, the British prime minister said some companies were reconsidering past choices and bringing jobs back home.",positive,0.5734300017356873
2014-01-24,Cameron Sees Technology as Unlikely Ally of Western Workers,neutral,0.15056121349334717
2014-01-27,"The Obama administration will allow Internet companies to talk more specifically about when they are forced to turn over customer data to the government, the Justice Department said.",neutral,0.3177946209907532
2014-01-27,U.S. Relaxes Some Data Disclosure Rules,neutral,-0.08656629920005798
2014-01-28,Alibaba’s acquisition of a sleepy technology company set of a flurry of speculation.,neutral,-0.0036300495266914368
2014-01-28,"After Alibaba’s public debut, scrutiny of its deals will only intensify, the Deal Professor writes.",neutral,0.028945647180080414
2014-01-28,Answers to a Puzzling Deal at Alibaba Remain in the Shadows,neutral,-0.3949723541736603
2014-01-29,Breaking down the admittedly messy math for the original Motorola deal shows that Google didn’t exactly lose nearly $10 billion on that transaction.,negative,-0.5317080616950989
2014-01-29,Did Google Really Lose on Its Original Motorola Deal?,negative,-0.5871952772140503
2014-01-30,"The company reported fourth-quarter revenue of $16.86 billion, an increase of 17 percent over a year ago.",positive,0.9342699646949768
2014-01-30,Net income rose 17 percent to $3.38 billion.,positive,0.922330379486084
2014-01-30,"Revenue and Profit Rise at Google, but Mobile Is a Persistent Challenge",positive,0.4509374499320984
2014-01-31,"Remember when Google announced plans to split its stock, creating a third class of shares?",neutral,0.038816820830106735
2014-01-31,Now the company’s board has finally cleared the way for the stock division.,positive,0.5156452059745789
2014-01-31,Google’s Stock Split Comes as Shares Hit Record Highs,positive,0.4690466523170471
2014-02-01,"Rising resentment against elite technology firms manifests itself in demonstrations at public bus stops in San Francisco, where private shuttle buses ferry engineers to work.",negative,-0.9220091104507446
2014-02-01,Tech Rides Are Focus of Hostility in Bay Area,neutral,0.06934364885091782
2014-02-03,"As tech companies focus on small, wearable devices, they have encountered an obstacle: Battery technology is largely stuck in the 20th century.",negative,-0.6272109150886536
2014-02-03,Building a Better Battery,neutral,0.26458144187927246
2014-02-04,Tuesday was the stock’s first full day of trading since Lenovo announced it would buy Motorola Mobility from Google for $2.9 billion last week.,neutral,0.09158946573734283
2014-02-04,The deal came a week after it agreed to acquire IBM’s low-end server business for $2.3 billion.,neutral,0.3805246353149414
2014-02-04,Lenovo Shares Tumble in Wake of Company’s Deal Spree,negative,-0.9101037979125977
2014-02-05,"If approved, the deal would put an end to half a decade of wrangles with antitrust authorities across the globe.",positive,0.7454699277877808
2014-02-05,Google Settles Its European Antitrust Case; Critics Remain,negative,-0.8766757845878601
2014-02-06,"Plus, opting out of Google Plus auto backup.",neutral,0.01738514006137848
2014-02-06,Picking a Flavor of Linux,neutral,0.0357331782579422
2014-02-10,"A method to sort apps alphabetically, and how to edit the Facebook “Look Back” greatest-hits movies.",neutral,-0.00431479699909687
2014-02-10,Sorting iPad Apps by Name,neutral,0.005121160298585892
2014-02-11,"Google and comScore, two leaders in online advertising, announce a partnership to help web advertisers figure out in real time who is looking at their ads.",positive,0.815798819065094
2014-02-11,Did Anyone Look at That Ad?,neutral,-0.06498784571886063
2014-02-12,"Game players’ options now include tablets, game-streaming services and controllers that work with televisions.",neutral,0.03536728769540787
2014-02-12,Challengers Take On the Big Three in Gaming’s Arena,neutral,-0.060760147869586945
2014-02-13,The owner of Bari Jay wonders if she has to lower the cost of her bridal dresses to compete with the ready-to-wear dresses sold by department stores.,positive,0.4209936857223511
2014-02-13,Business Owners Compare Notes on AdWords and Staying Competitive,neutral,-0.17098426818847656
2014-02-14,"Trying to ensure the survival of Windows in a mobile universe, Microsoft enters a complex struggle, while Google abandons a money-losing handset unit.",negative,-0.9021069407463074
2014-02-14,Microsoft’s Stakes in the Battle for Handsets,neutral,0.07156631350517273
2014-02-15,"The social network, which gets relatively modest traffic, has remained valuable to Google because of the broad view it can give advertisers of people’s activity and interests.",positive,0.5926532745361328
2014-02-15,The Plus in Google Plus?,neutral,0.018148966133594513
2014-02-15,It’s Mostly for Google,neutral,0.033613838255405426
2014-02-17,Wireless charging is promising and has been promised for several years.,positive,0.5384129881858826
2014-02-17,But it is a mess of competing standards and technologies.,negative,-0.6186805367469788
2014-02-17,Will this tangle of cords ever get unraveled?,neutral,-0.19110450148582458
2014-02-17,Wireless Charging: Still Plenty of Kinks in the Cord,neutral,-0.29337525367736816
2014-02-19,"Google released a set of do’s and don’ts for people who wear Google Glass, noting that in some situations, Glass wearers can be perceived as “creepy or rude.”",negative,-0.4657360911369324
2014-02-19,Google Offers a Guide to Not Being a ‘Creepy’ Google Glass Owner,neutral,0.011138137429952621
2014-02-20,"Google is asking 34 cities to pave the way for Fiber without guaranteeing it will install it, a change in approach as the Internet giant grapples with real-world challenges like tearing up roads.",neutral,0.40773412585258484
2014-02-20,"Google Fiber, Ultrahigh-Speed Internet, May Expand to 34 New Cities",positive,0.7680773735046387
2014-02-21,"BBVA’s acquisition of Simple increases the possibility that banks can find a way to mastermind their own technological disruption, writes Fiona Maharg-Bravo of Reuters Breakingviews.",neutral,0.4539400041103363
2014-02-21,The Online Challenge for Banking,neutral,0.06373102962970734
2014-02-24,"There is so much hype around new technologies, it is difficult to distinguish between what might exist real soon and what will only be real eventually or never.",neutral,-0.10182265937328339
2014-02-24,Case in point: the driverless car.,neutral,-0.020731262862682343
2014-02-24,"Google, Riding Off Into the Sunset",neutral,0.06427573412656784
2014-02-25,"The dispute over the Smithfield Market project underscores broader issues, including the soaring cost of London real estate, the resulting inequality and the challenge of upgrading the infrastructure of culture-rich cities.",negative,-0.6957724690437317
2014-02-25,Battle Over London Market Raises Development Issues,negative,-0.6183881759643555
2014-02-27,"Google announced that it would be holding its first Ara Developers’ Conference, on its experimental Project Ara modular smartphone platform.",neutral,0.13610737025737762
2014-02-27,Google Continues With Its Project Ara Modular Smartphone Effort,neutral,0.10843183845281601
2014-03-01,"A class-action suit by Silicon Valley engineers against companies including Google, Apple and Intel has revealed details of an agreement among them not to cold-call one another’s employees.",negative,-0.8452702760696411
2014-03-01,Engineers Allege Hiring Collusion in Silicon Valley,negative,-0.8720155358314514
2014-03-03,"Rather than challenging new forms of peer-to-peer commerce, like Airbnb or Uber, government should foster the kind of self-regulation that prevails in many established industries and professions, an economist writes.",neutral,0.46257612109184265
2014-03-03,Trusting the ‘Sharing Economy’ to Regulate Itself,neutral,0.06806355714797974
2014-03-04,Facebook is in discussions to acquire a manufacturer of high-altitude drones for about $60 million.,neutral,0.06629028916358948
2014-03-04,The purchase would allow the social network to advance its ambitions of connecting everyone in the world to the Internet.,positive,0.8447944521903992
2014-03-04,Now Facebook Has a Drone Plan,neutral,-0.3279736638069153
2014-03-07,"Plus, making Google Now, the virtual personal assistant, a little less personal.",neutral,0.24884042143821716
2014-03-07,Streaming Home Movies Online,neutral,-0.02045946940779686
2014-03-08,A reader responds to “Monuments of Tech” (March 2).,neutral,0.03866306692361832
2014-03-08,The Architects’ Role,neutral,0.033908065408468246
2014-03-10,"The Chinese Internet company said it would pay $215 million for a 15 percent stake in JD.com as the two firms seek to challenge the dominance of Alibaba, China’s largest e-commerce company.",positive,0.7095247507095337
