Date,Sentence,Prediction,sentimentScore
2014-02-25,"The companies, two of the country’s biggest retailers, partly blamed a stormy January for slow sales, but they did well compared with other retailers.",positive,0.7299456596374512
2014-02-25,"Mixed Results, but Strong Outlook, for Home Depot and Macy’s",positive,0.6304588317871094
2014-02-28,"Over the past 15 years, something palpable has begun to change at big companies, Tony Schwartz writes.",neutral,0.3173985183238983
2014-02-28,They are awakening to a larger perspective and a bigger view of the role they play in the world.,neutral,0.308536559343338
2014-02-28,A Purpose Beyond Profit,neutral,0.07508290559053421
2014-03-13,Mr. Rickel and his brothers opened a chain of home-repair stores that offered supermarket-style shopping before Home Depot existed.,neutral,0.027644582092761993
2014-03-13,"Robert Rickel, a Founder of Hardware Supermarkets, Dies at 90",neutral,-0.30559271574020386
2014-03-20,"Walmart is waging an aggressive campaign for outdoor and garden business this spring for the first time, offering “Black Friday-like prices” on more than 60 items.",positive,0.5913246870040894
2014-03-20,Walmart’s New Push for Outdoor Sales,neutral,0.35712528228759766
2014-04-30,"Phone carriers say HD voice is the solution to a longstanding problem, but will it arrive before we all switch to Skype or just give up calling completely?",neutral,-0.02378842979669571
2014-04-30,"With HD Voice, Better Call Quality Is Coming.",positive,0.9036911129951477
2014-04-30,Text Your Friends.,neutral,-0.03489203006029129
2014-05-20,"The home improvement chain’s first-quarter sales increased 2.9 percent from a year earlier, but it joined a variety of other retailers in missing earnings expectations.",negative,-0.5721523761749268
2014-05-20,Home Depot Leads Weak Retail Sector Ahead of Spring Spending Thaw,negative,-0.9388616681098938
2014-06-23,The manufacturing start-up is setting up a separate company whose main technology is software intended to help seamlessly connect all kinds of automated home devices.,neutral,0.03772991895675659
2014-06-23,"Daily Report: Quirky to Spin Off Wink, Company for Smart-Home Products",neutral,0.04992865025997162
2014-07-21,"The toy company, along with other brands and big retailers, is starting to use the technology to lure shoppers, while manufacturers see opportunity in mass customization.",neutral,0.4225601255893707
2014-07-21,Hasbro to Collaborate With 3-D Printing Company to Sell Artwork,neutral,0.45509982109069824
2014-08-17,"Quarterly earnings numbers from Home Depot, Target and others; a vote on oil-industry taxes in Alaska; possible Fed insights in a speech by its chairwoman; and data on housing starts, consumer prices and global economic recovery.",neutral,-0.05318686366081238
2014-08-17,Retailers Report Earnings in a Subdued Season,negative,-0.8326672911643982
2014-08-19,"Home construction increased sharply in July, the Commerce Department reported on Tuesday, as Home Depot, whose fate is tied closely to the housing market, announced a strong quarter.",positive,0.890210747718811
2014-08-19,Two Good Omens for Housing Market,positive,0.43882080912590027
2014-09-02,The retailer said it was investigating a report that customer credit and debit card data was stolen from its systems and put up for sale online.,negative,-0.9430386424064636
2014-09-02,Home Depot Investigates a Possible Credit Card Breach,neutral,-0.37369194626808167
2014-09-03,Bank and computer security company employees and law enforcement officials are tracing the track taken by the latest batch of stolen cards.,negative,-0.6882025599479675
2014-09-03,Path of Stolen Credit Cards Leads Back to Home Depot Stores,negative,-0.527892529964447
2014-09-04,Bank and computer security company employees and law enforcement officials are tracing the track taken by the latest batch of stolen cards.,negative,-0.6882025599479675
2014-09-04,"Daily Report: Tracing Stolen Credit Cards, Road Leads Back to Home Depot",negative,-0.5585308074951172
2014-09-08,Home Depot confirmed on Monday that hackers had attacked its cash register system.,negative,-0.9325021505355835
2014-09-08,Information on more than 60 million credit cards may have been stolen.,negative,-0.9012706279754639
2014-09-08,Home Depot Data Breach Could Be the Largest Yet,negative,-0.7869645357131958
2014-09-18,"Home Depot confirmed on Thursday that 56 million cardholders’ account information had been compromised in a five-month cyberattack, making the breach the largest known attack on a retailer.",negative,-0.9103928804397583
2014-09-18,Home Depot Says Data From 56 Million Cards Was Taken in Breach,neutral,0.038494616746902466
2014-09-20,"Before a major data breach, Home Depot was slow to raise its defenses against hackers despite alarms from security experts as far back as 2008.",positive,0.5592999458312988
2014-09-20,Ex-Employees Say Home Depot Left Data Vulnerable,negative,-0.7894057035446167
