Date,Sentence,Prediction,sentimentScore
2014-01-17,The suspensions by the two banks on Friday came amid questions about whether the traders colluded to fix benchmark currency rates.,negative,-0.9359676241874695
2014-01-17,HSBC and Citigroup Suspend Currency Traders,negative,-0.8055554628372192
2014-01-21,The state Deutsche Bank and other financial institutions in Europe is crucial for the economy because European companies are more dependent on bank credit than American businesses.,neutral,0.19191326200962067
2014-01-21,Deutsche Bank Loss Underlines European Economy’s Dependence on Banks,neutral,-0.1958474963903427
2014-01-22,"Paul Singer, the founder of the hedge fund Elliott Management, said on Wednesday that he remained skeptical of claims that banks “unquestionably understand” the risks on their balance sheets.",neutral,-0.1494426280260086
2014-01-22,Two banking executives disagreed.,negative,-0.6886711716651917
2014-01-22,"At Davos, Debate on Whether Banks Have Learned Their Lessons",neutral,-0.04957415908575058
2014-01-26,Some customers were prevented from making large cash withdrawals after they refused to present evidence about why they needed the money.,negative,-0.9416779279708862
2014-01-26,HSBC Apologizes After Cash Withdrawal Issue in Britain,negative,-0.8869530558586121
2014-02-05,Regulators worldwide are ramping up their investigations into potential manipulation of the $5-trillion-a-day foreign exchange market.,neutral,0.06288222968578339
2014-02-05,Deutsche Bank Is Said to Fire 3 Currency Traders in New York,negative,-0.9090330004692078
2014-02-18,Capital One on Tuesday said it would rethink the wording of its credit card contracts after a provision that said the bank could “contact you at your home and at your place of employment” began attracting a lot of unwanted attention.,negative,-0.8777162432670593
2014-02-18,Capital One to Revisit Credit Card Contract Terms After Outcry,neutral,0.18484891951084137
2014-02-24,The bank said it would pay an allowance to high-ranking executives in order to circumvent European compensation limits and announced earnings for 2013 that fell short of analyst expectations.,positive,0.017229825258255005
2014-02-24,HSBC to Sidestep European Union Bonus Cap as It Cuts Costs,negative,-0.49053701758384705
2014-05-07,The British bank HSBC said it experienced “muted customer activity” in April.,negative,-0.9020286798477173
2014-05-07,"Hurt by Asia, HSBC’s Quarterly Earnings Decline 18%",negative,-0.969607949256897
2014-05-20,"European Commission competition authorities on Tuesday accused JPMorgan Chase, HSBC and Crédit Agricole of having colluded to fix benchmark interest rates tied to the euro.",negative,-0.9405906796455383
2014-05-20,European Regulators Accuse 3 More Banks of Manipulating Interest Rates,negative,-0.8016658425331116
2014-05-23,Shareholders used words like “greed” to describe the levels at which bankers are being compensated.,neutral,-0.15376269817352295
2014-05-23,"HSBC, Like Rivals, Hears Earful on Banker Pay at Annual Meeting",neutral,0.17538009583950043
2014-06-06,"Millennials are hoarding cash at the same rate as baby boomers, researchers found, suggesting that anxiety about market crashes has yet to subside.",negative,-0.8941981196403503
2014-06-06,Fear of Equities Drives More Investors to Cash,negative,-0.6938796043395996
2014-06-10,"As the HSBC tower has changed hands in recent years, it has become an emblem of the boom-bust-boom cycle of London’s commercial property market.",neutral,0.3407892882823944
2014-06-10,A Bellwether for London Realty,neutral,0.15287631750106812
2014-06-11,The commercial director at Next Media Limited said HSBC and Standard Chartered ended advertising after being told to do so by the Chinese government.,negative,-0.8498187065124512
2014-06-11,Hong Kong Media Worries Over China’s Reach as Ads Disappear,negative,-0.8406558632850647
2014-06-24,"The sale of the Swiss portfolio, which had assets under management of about $12.5 billion at the end of 2013, is the latest move by HSBC to improve its profitability by focusing on higher-margin businesses.",positive,0.9217512607574463
2014-06-24,HSBC to Sell Some Swiss Private Bank Assets to Liechtenstein Group,neutral,0.010089566931128502
2014-07-01,"Federal prosecutors announced a $10 million settlement, accusing the British bank of fraud over the way it submitted fees when foreclosing on homeowners.",negative,-0.9013025760650635
2014-07-01,HSBC Settles Fraud Charges Over Foreclosure Fees Paid by the U.S. Government,negative,-0.5602760314941406
2014-07-18,The Competition and Markets Authority is concerned about the concentration of retail banking and potential barriers for new entrants into the market.,neutral,-0.39489859342575073
2014-07-18,Antitrust Regulator to Examine British Banks,neutral,-0.15069760382175446
2014-07-25,The settlements would make Lloyds the latest major bank to agree to penalties over accusations that its employees conspired to manipulate benchmark interest rates.,negative,-0.3728633522987366
2014-07-25,Lloyds in ‘Late-Stage’ Discussions to Resolve Libor Investigations,neutral,-0.11221139132976532
2014-08-04,The British bank said first-half earnings fell to $9.75 billion from $10.3 billion in the period a year earlier.,negative,-0.9688358306884766
2014-08-04,Its Asian operations account for more than half of its earnings.,neutral,0.03682521730661392
2014-08-04,Profits Decrease at HSBC as Business in Asia Slows,negative,-0.9687276482582092
2014-09-01,"In a blog post, Mr. Woodford, formerly of Invesco, said he was concerned about the “unquantifiable” fines HSBC could face in continuing investigations by regulators.",negative,-0.8737537860870361
2014-09-01,Fund Manager Neil Woodford Sells HSBC Stake on Risk of Fines,negative,-0.6896644830703735
2014-09-12,HSBC agreed to settle a lawsuit by the F.H.F.A.,positive,0.3919750452041626
2014-09-12,over mortgage-backed securities it sold to Fannie Mae and Freddie Mac before the financial crisis.,neutral,-0.03418568894267082
2014-09-12,HSBC to Pay $550 Million to End Mortgage-Related Suit,neutral,0.1911267191171646
2014-09-26,"The Financial Conduct Authority of Britain informed six of the world’s biggest banks this week that it hoped to strike a so-called global settlement by early November, said people briefed on the matter.",negative,-0.34494930505752563
