Date,Sentence,Prediction,sentimentScore
2014-01-07,Multinationals and local suppliers are increasingly going beyond local regulations in designing factories that cut energy costs and pollute less.,neutral,0.20482434332370758
2014-01-07,"Slowly, Asia’s Factories Begin to Turn Green",neutral,0.13364899158477783
2014-01-12,"JPMorgan Chase and Wells Fargo, set to report fourth-quarter results on Tuesday, will kick off a flurry of bank earnings, and Intel will post its fourth-quarter results.",positive,0.5166770815849304
2014-01-12,Economic Reports for the Week of Jan. 13,neutral,-0.19021853804588318
2014-01-15,Younger firms like FireEye and Palo Alto Networks are competing with Symantec and McAfee in a market that is expected to swell to $87 billion by 2016.,positive,0.716469943523407
2014-01-15,Tech Security Upstarts Enter Fray,neutral,0.09533173590898514
2014-01-22,"Intel Media was acquired by Verizon, which wants to add TV everywhere there is an Internet connection.",neutral,0.06460797786712646
2014-01-22,Verizon Plans to Buy Intel Media Division to Expand Its Television Services,positive,0.8164003491401672
2014-02-04,"The British chip maker said it was trying to offset the decline by increasing sales for other devices, like smartwatches and fitness bands.",positive,0.8254064321517944
2014-02-04,ARM Reports Loss as Sales of High-End Smartphones Slow,negative,-0.9645023941993713
2014-03-01,"A class-action suit by Silicon Valley engineers against companies including Google, Apple and Intel has revealed details of an agreement among them not to cold-call one another’s employees.",negative,-0.8452702760696411
2014-03-01,Engineers Allege Hiring Collusion in Silicon Valley,negative,-0.8720155358314514
2014-03-27,"The world’s biggest chip company is out of another business, a framework for big data analysis called Hadoop, and refocusing on how to sell more chips.",neutral,0.04960714280605316
2014-03-27,Intel Exits a Data Analysis Business and Invests in Another One,negative,-0.47695493698120117
2014-03-29,Moves by older incumbents and young giants show that 2014 is the year computing everywhere comes into its own.,neutral,0.09455790370702744
2014-03-29,Now it’s time for big development.,neutral,0.21345868706703186
2014-03-29,Looking for the next frontier?,neutral,0.007038414478302002
2014-03-29,"There was plenty of that, too.",neutral,0.061224084347486496
2014-03-29,Cloud Computing’s Watershed Week,neutral,0.31747883558273315
2014-04-07,The challenge of big data software tools to traditional data software companies is not that the new technology will be a direct replacement for the old.,neutral,0.08747550845146179
