Date,Sentence,Prediction,sentimentScore
2014-01-08,"The JeffreyGroup, an agency known mainly for public relations, is creating a new agency to provide cross-cultural marketing to Hispanics.",neutral,0.3303629755973816
2014-01-08,"New Agency, a Spinoff, Will Aim Its Message at a Hispanic Audience",neutral,0.0946810245513916
2014-01-23,"Leaders of manufacturing companies, facing an aging population of skilled employees, say apprenticeships and internships can help society avoid a “lost generation” of workers.",positive,0.5838901400566101
2014-01-23,"Apprenticeships Could Help Reduce Youth Unemployment, Business Leaders Say",positive,0.7906551361083984
2014-02-04,"A golden lab puppy who refuses to leave his Clydesdale “bud” won plaudits; a Coca-Cola spot evoking the nation’s multicultural populace drew mostly positive reactions, but some raw comments as well.",positive,0.5024975538253784
2014-02-04,‘Puppy Love’ Warms Hearts; Diversity Draws Mixed Response,neutral,0.11177299171686172
2014-02-05,Coke will buy about 16.7 million shares in Green Mountain for about $1.25 billion.,neutral,0.03244474530220032
2014-02-05,"In return, Green Mountain will be the official maker of the soda giant’s single-serve cold beverages, built on its popular Keurig pod-based system.",positive,0.625862717628479
2014-02-05,Coca-Cola to Buy 10% Stake in Green Mountain Coffee,neutral,0.05222640931606293
2014-02-06,"Analysts and investors think that a deal between Coke and Green Mountain may presage another one: some sort of tie-up between SodaStream and Coke’s archrival, PepsiCo.",positive,0.671755313873291
2014-02-06,Green Mountain’s Deal With Coke Fails to Dent SodaStream,negative,-0.9048142433166504
2014-02-07,Coca-Cola presumably gave Green Mountain Coffee a comprehensive review before deciding to buy a stake.,neutral,0.12560343742370605
2014-02-07,"But the hedge fund manager David Einhorn can’t be easily dismissed either, Kevin Allison writes in Reuters Breakingviews.",negative,-0.6393917202949524
2014-02-07,Coke and Einhorn Take Opposite Sides of Green Mountain Bet,neutral,0.027635639533400536
2014-02-10,"Coca-Cola North America brought out a new campaign for Diet Coke over the weekend during the NBC coverage of the Winter Olympics, and more.",neutral,0.32402852177619934
2014-02-10,News From the Advertising Industry,neutral,0.009864628314971924
2014-02-19,"The company blamed cooling growth in emerging markets and the negative impact of foreign exchange rates, which it expects to have even greater impact this year.",negative,-0.8439775705337524
2014-02-19,"Profit Slides 8.5% for Coke, as Weak Sales Abroad Hit Hard",negative,-0.9516157507896423
2014-02-28,"The very idea that the Coke brand may be in trouble is startling, given that Coca-Cola has thrived for 127 years, surviving countless passing health fads.",negative,-0.010930031538009644
2014-02-28,"For Coke, Challenge Is Staying Relevant",positive,0.6148693561553955
2014-03-04,"Ellen DeGeneres used a Samsung phone, an Oscar sponsor, for a star-studded selfie, but an iPhone to post from backstage.",neutral,-0.09666167944669724
2014-03-04,And that Coca-Cola emblazoned pizza delivery box rankled PepsiCo.,neutral,0.15488412976264954
2014-03-04,"Selfies, Pizza and Promoting Brands at the Oscars",neutral,-0.018356671556830406
2014-03-25,A money manager claims Coca-Cola allocated as much as $24 billion toward stock-based rewards for its senior people.,neutral,0.057395800948143005
2014-03-25,A Question of What’s a Reasonable Reward,neutral,-0.10811193287372589
2014-04-14,"Kevin Harvick took the lead after a late-race caution; Marc Marquez won the MotoGP event in Austin, Tex.",neutral,0.12218105047941208
2014-04-14,Monday Motorsports: Harvick Wins Another Nascar Crown Jewel,positive,0.6607140302658081
2014-04-21,"A lawyer for Coca-Cola remained poised under sometimes harsh questioning on its Pomegranate Blueberry juice blend, which contains only notes of either fruit.",negative,-0.824114203453064
2014-04-21,Skeptical Justice Scolds Coca-Cola on Juice Label,negative,-0.8562612533569336
2014-05-04,Warren E. Buffett answered roughly six hours’ worth of questions – including pointed queries about his opposition to a controversial executive pay plan at the Coca-Cola Company.,neutral,-0.2154514342546463
2014-05-04,"At Berkshire Annual Meeting, Questions for Buffett About Coca-Cola and Deals",neutral,-0.0830540657043457
2014-05-06,"The company said that would stop using brominated vegetable oil, which contains bromine, an element found in flame retardants, in Fresca and some varieties of Fanta and fountain drinks.",neutral,-0.14514122903347015
2014-05-06,Coca-Cola to Remove an Ingredient Questioned by Consumers,negative,-0.750092089176178
2014-05-07,"Mocked in social media, the soft drink’s slogan “You’re on” is being dropped from its ad campaign after only three months.",negative,-0.8982194066047668
2014-05-07,"Mocked on Internet, Diet Coke Alters Ads",negative,-0.7348400950431824
2014-05-12,Petco withdraws an ad with reference to Bonnie and Clyde in describing pets and their owners.,negative,-0.9210252165794373
2014-05-12,Q. and A.,neutral,0.0380171574652195
2014-05-12,With Stuart Elliott,neutral,0.02111242711544037
2014-05-15,"With soda sales sliding in grocery and convenience stores and other retail outlets, new equipment offers the companies a means of introducing consumers to their products.",positive,0.6752902865409851
2014-05-15,Pepsi Challenges Coke in the Race to Design a More Tappable Soda Fountain,positive,0.5898899435997009
2014-06-12,"The juice blend, sold under the Minute Maid brand, is made almost entirely from apple and grape juice but is called Pomegranate Blueberry.",neutral,0.02513248845934868
2014-06-12,"Coke Can Be Sued by Rival Over Juice Claim, Court Says",negative,-0.7499477863311768
2014-07-07,"SABMiller, the world’s second-largest brewer after Anheuser-Busch InBev, plans to sell its 39.6 percent stake in Tsogo Sun Holdings for about $1.1 billion.",neutral,0.01763402670621872
2014-07-07,SABMiller to Sell Stake in South African Hotel and Casino Group,neutral,-0.02688184753060341
2014-07-09,"An overvalued bolívar meant the country had been a major source of profits for foreign firms, but they evaporated for many with a new exchange rate.",neutral,0.14055676758289337
2014-07-09,Profits Vanish in Venezuela After Currency Devaluation,negative,-0.8929082751274109
2014-07-26,Why is coconut water everywhere?,neutral,-0.34855973720550537
2014-07-26,"Because two companies battled for market share, one yoga studio and corner store at a time.",neutral,0.03226471692323685
2014-07-26,"For Coconut Waters, a Street Fight for Shelf Space",neutral,-0.11890231817960739
2014-08-14,A major rationale for the deal was Coca-Cola’s desire to find a replacement for carbonated soft drink sales.,neutral,0.33979400992393494
2014-08-14,Coke to Buy Stake in Monster Beverage for $2.15 Billion,neutral,0.017741402611136436
2014-08-15,"Buying a piece of Monster is a capitulation of sorts, though Coca-Cola hasn’t caved in financially, Kevin Allison of Reuters Breakingviews writes.",neutral,0.14680753648281097
2014-08-15,Coke Finds Right Formula in Monster Deal,neutral,0.3494086265563965
2014-09-09,"The maker of Cheerios is paying a 37 percent premium, for “natural” macaroni and cheese purveyor Annie’s Homegrown.",neutral,0.10481718182563782
2014-09-09,"But big companies often squash growth when they swallow small targets whole, notes Kevin Allison of Reuters Breakingviews.",negative,-0.7348101735115051
2014-09-09,The Risk in the General Mills Deal for Annie’s,neutral,0.0030340850353240967
2014-09-23,The three companies said they would change practices like marketing to encourage less consumption of calorie-heavy drinks.,neutral,0.4558229148387909
2014-09-23,"Soda Makers Coca-Cola, PepsiCo and Dr Pepper Join in Effort to Cut Americans’ Drink Calories",negative,-0.6639691591262817
2014-10-01,The big question that now hangs over the company is whether the adjustments will satisfy the shareholders who had voiced their concerns over the plan.,neutral,-0.038980305194854736
2014-10-01,"Coca-Cola, Yielding to Criticism, Revises Its Proposal for Executive Pay",negative,-0.3729898929595947
2014-10-09,Four of the top 10 brands on the 2014 Interbrand Best Global Brands list are technology brands.,neutral,0.07642404735088348
2014-10-09,Technology Titans Lead Ranking of Most Valuable Brands,neutral,0.3141651153564453
2014-11-07,The company says that its new All-Terrain T/A KO2 will work as well on the highway as on the trail.,positive,0.8417065739631653
2014-11-07,The Rubber Meets the Mud: Trying Out a New BFGoodrich Off-Road Tire,neutral,0.0929984599351883
2014-11-18,"With only a few days left in the legislative session, Congress will decide whether to renew 56 tax provisions set to expire.",neutral,0.038637734949588776
2014-11-18,It’s Crunch Time in Congress for Tax Breaks,neutral,-0.3281097710132599
