Date,Sentence,Prediction,sentimentScore
2014-01-14,The flight landed at a general aviation field with no control tower — seven miles north of the Branson Airport where it was supposed to be.,neutral,-0.09082511067390442
2014-01-14,Inquiry Begins Into Airliner That Landed in Wrong Place,negative,-0.6718890070915222
2014-01-18,The National Transportation Safety Board said it had interviewed the pilots of a Southwest Airlines flight that landed at the wrong airport this week.,negative,-0.6634250283241272
2014-01-18,More Details in Mistaken Landing of a Plane,neutral,-0.025241732597351074
2014-02-05,A federal judge rules that flashing high beams to warn motorists of a speed trap is not illegal; the 2014 Ram 1500 EcoDiesel pickup gets 28 m.p.g.,negative,-0.5256317257881165
2014-02-05,Wheelies: The Flashing Lights and Free Speech Rights Edition,neutral,0.05663849413394928
2014-02-10,"NBCUniversal named Sanjay Macwan a senior vice president of its new Media Labs operation, part of the new NBCUniversal Technology Center.",neutral,0.11635294556617737
2014-02-10,Accounts and People of Note in the Advertising Industry,neutral,0.009030111134052277
2014-03-10,"The footwear brand Sanuk selected Ignited and Johnson & Wales University in Providence, R.I., hired Fuseideas as agencies of record.",neutral,0.13002702593803406
2014-03-10,Accounts and People of Note in the Advertising Industry,neutral,0.009030111134052277
2014-03-16,"School shootings have prompted efforts by news organizations in recent months to assess the effectiveness of safety measures, but some of these reports have gone disturbingly wrong.",negative,-0.8795443177223206
2014-03-16,Undercover TV Reports on School Security Raise Ethical Questions,negative,-0.5971715450286865
2014-03-19,Mr. Stowers founded the company that became American Century Investments and devoted much of his fortune to starting a Kansas City medical institute.,neutral,0.04628431797027588
2014-03-19,"James E. Stowers Jr., Benefactor of Medical Research, Dies at 90",neutral,-0.10218555480241776
2014-06-17,"Big Tobacco is moving to turn the e-cigarette market to its advantage, with subsidiaries of the companies that make Marlboro and Camel set to announce nationwide marketing plans.",positive,0.7959141135215759
2014-06-17,A Bolder Effort by Big Tobacco on E-Cigarettes,positive,0.80408775806427
2014-07-04,"Ms. Loomis, 85, is retiring from Fortune magazine to a world of bridge playing and — you guessed it — continuing to edit her old friend’s writing.",neutral,-0.015639428049325943
2014-07-04,"Carol Loomis, Editor for Warren Buffett, Leaves Job After 60 Years",negative,-0.5414744019508362
2014-07-11,"Investors are pushing up shares of Imperial Tobacco on the possibility that it could acquire brands cast off in a Reynolds-Lorillard deal, but an acquisition would be a stretch financially, and the long-term benefits may be scant.",positive,0.2532915472984314
2014-07-11,Imperial Tobacco’s Ambitions Challenge Its Balance Sheet,negative,-0.7558677792549133
2014-07-14,"The deal to acquire Russell Stover, based in Kansas City, Mo., will make Lindt the third-largest chocolate manufacturer in North America.",positive,0.7707050442695618
2014-07-14,Terms were not disclosed.,neutral,0.01439762394875288
2014-07-14,Swiss Chocolate Maker Lindt Will Buy Russell Stover Candies,neutral,0.039800867438316345
2014-07-15,"Once the deal is completed and several brands are divested to Imperial Tobacco, there will be few cigarette brands popular in the United States not owned by either company or the market leader, Altria.",neutral,-0.0007991977035999298
2014-07-15,"After Reynolds Buys Lorillard, Few Big Tobacco Deals Remain",neutral,0.002112165093421936
2014-07-21,"The tourism campaign, by VML of Kansas City, Mo., features print, digital and TV ads as well as branded content and an Internet presence.",neutral,0.042675018310546875
2014-07-21,Ads Promote Tennessee as ‘Made’ for Visitors,neutral,0.03387382626533508
2014-08-17,"In a situation hostile to traditional reporting, the crowdsourced, phone-enabled network of information that Twitter provides has proved invaluable.",positive,0.8855142593383789
2014-08-17,View of #Ferguson Thrust Michael Brown Shooting to National Attention,neutral,0.07242213189601898
2014-08-20,"Cameras worn by officers are being deployed in a rising number of police departments across the country, in some cases exposing problem officers.",negative,-0.5161247253417969
2014-08-20,"Police Cameras Can Shed Light, but Raise Privacy Concerns",negative,-0.46773362159729004
2014-09-04,Michael Bloomberg will resume leadership of his business empire.,neutral,0.14685146510601044
2014-09-04,| Proposed rule to reduce risk of derivatives.,neutral,0.35892605781555176
2014-09-04,"| A troubled housing market in Ferguson, Mo.",negative,-0.8895154595375061
2014-09-04,| High-ranking prosecutor leaving Justice Department.,negative,-0.6382944583892822
2014-09-04,Morning Agenda: Bloomberg Returning to His Company,neutral,0.0750657171010971
2014-09-05,"On a day of protests to demand higher wages and a union for fast-food workers, activists from Ferguson, Mo., decided to protest in New York City as a sign of respect for Michael Brown’s family.",negative,-0.7580181360244751
2014-09-05,A Ferguson Activist in New York,negative,-0.36078524589538574
2014-09-06,"Both Kansas City, Mo., and Kansas City, Kan., have Google Fiber, a high-speed fiber-optic network, and are having a hard time figuring out what to do with so much power.",negative,-0.7645533680915833
2014-09-06,Two Cities With Blazing Internet Speed Search for a Killer App,neutral,-0.004798337817192078
2014-09-08,"Tim Pool, who most recently worked for Vice Media, is known for his tech-driven eyewitness reporting during events in Ferguson, Mo., and at the Occupy Wall Street protests.",neutral,0.010994119569659233
2014-09-08,Fusion Set to Name Director of Media Innovation,neutral,0.037446096539497375
2014-09-10,"CartoDB, whose 30-person team is split between Madrid and New York, is the latest in a number of start-ups to offer services that try to make sense of the mountain of information readily available through the Internet.",neutral,0.10837344080209732
2014-09-10,"CartoDB, Interactive Mapping Start-Up, Raises $7 Million",positive,0.6770097017288208
2014-09-29,"The tobacco industry’s giants are putting health warnings on e-cigarettes that outstrip both those on traditional cigarettes and those on e-cigarettes made by smaller competitors, leaving public health officials skeptical about the companies’ intent.",negative,-0.8485928177833557
2014-09-29,Dire Warnings by Big Tobacco on E-Smoking,negative,-0.8965550661087036
2014-10-27,"A report by the PEN American Center cited police interference with journalists, including holding reporters in areas that denied them access to the protests, and accusations of threats and assaults.",negative,-0.8362443447113037
2014-10-27, U.S. Inquiry Sought in Police Treatment of Press at Ferguson Protests,negative,-0.8796563744544983
2014-12-02,"A bakery in Ferguson, Mo., raises $250,000 through crowdfunding.",positive,0.6520036458969116
2014-12-02,How to avoid making rookie legal mistakes.,neutral,0.02005748823285103
2014-12-02,And French business owners stage protests across the country.,negative,-0.8157244324684143
2014-12-02,Today in Small Business: Advance Ticketing for Restaurants,neutral,0.036910973489284515
2014-12-04,"The Twitter hashtag was an expression of unity with those angered by the decision not to indict a police officer in the death of Eric Garner, but it had its critics.",negative,-0.848760724067688
2014-12-04,Grand Jury Decision Leads to Twitter Confessions of ‘Criming While White’,negative,-0.5630413293838501
2014-12-05,Mecum Auctions to sell 750 cars in Kansas City; Virginia auction features rough classics; Road Atlanta hosts amateur racing.,neutral,-0.00291336327791214
2014-12-05,Weekend Auto Calendar: Auctions Feature Gleaming Classics and Future Rat Rods,neutral,0.03734026849269867
2015-01-05,"“The Wizard of Watts,” an animated musical coming to Adult Swim on Saturday, takes on greater weight as a national debate over race and overzealous policing is underway.",positive,0.2686645984649658
2015-01-05,"Racially Ignited, a Magical World Is Uncanny",neutral,0.0610208697617054
2015-02-04,"Ford said on Wednesday that it would add 1,550 new jobs at four plants in the United States to increase production of the latest version of its top-selling F-series pickup.",positive,0.9026101231575012
