Date,Sentence,Prediction,sentimentScore
2014-03-10,"Minerals Technologies agreed to pay about $1.7 billion, beating out Imerys of France, after a spirited back-and-forth for Amcol, a producer of specialty minerals and materials based in Illinois.",positive,0.8172205686569214
2014-03-10,Minerals Technologies Wins Bidding War for Amcol International,positive,0.6357507705688477
2014-04-06,"Palbociclib, a drug being developed by Pfizer, sharply cut the risk that advanced cancer would worsen among patients taking part in a Phase 2 study, researchers said.",positive,0.5089088678359985
2014-04-06,Guarded Optimism After Breast Cancer Drug Shows Promising Results,positive,0.5025991797447205
2014-04-21,A deal with Pfizer would have been one of the biggest ever in the pharmaceutical industry.,positive,0.4892599582672119
2014-04-21,But whether such a deal makes sense is another matter.,neutral,0.0011188853532075882
2014-04-21,"Spurning Merger Approaches, AstraZeneca Pursues Own Path",neutral,0.3114454448223114
2014-04-22,"William A. Ackman and Valeant are bidding for Allergan, the maker of Botox.",neutral,0.05035122483968735
2014-04-22,| Novartis announced a major overhaul.,positive,0.5975944995880127
2014-04-22,| AstraZeneca says no to a deal with Pfizer.,neutral,-0.06167212128639221
2014-04-22,| Barclays is set to exit its commodities business.,negative,-0.7936596274375916
2014-04-22,Ackman’s Botox Ambitions,neutral,-0.029871396720409393
2014-04-28,"If the British drug company AstraZeneca cannot make Pfizer go away, it can certainly make it pay, Neil Unmack of Reuters Breakingviews contends.",negative,-0.8642876148223877
2014-04-28,Why Pfizer Needs to Do More to Win AstraZeneca,positive,0.575462818145752
2014-04-29,"We don’t know if Pfizer is targeting a British rival because the combined firm will be more efficient or because of the tax savings, Victor Fleischer writes in his Standard Deduction column.",neutral,0.3434455096721649
2014-04-29,How Tax Laws Distort the Pfizer Deal,neutral,-0.33285069465637207
2014-05-01,"Time is working against Pfizer in its pursuit of AstraZeneca and thus it will want a friendly deal completed as quickly as possible, Christopher Hughes and Neil Unmack write for Reuters Breakingviews.",positive,0.4693801999092102
2014-05-01,Pfizer Looks for a Quick Strike on AstraZeneca,neutral,-0.28641825914382935
2014-05-02,"Pfizer’s latest offer for its rival seems cheap to shareholders who view AstraZeneca’s turnaround as well advanced, Neil Unmack writes in Reuters Breakingviews.",positive,0.719516932964325
2014-05-02,Pfizer Has Yet to Make a Compelling Bid to AstraZeneca’s Shareholders,neutral,0.12467092275619507
2014-05-05,"Pfizer announced a 15 percent drop in earnings, and again pressed its suit for its rival, AstraZeneca.",negative,-0.9605916142463684
2014-05-05,"Profit Off, Pfizer Again Aims to Lure AstraZeneca",neutral,0.13410478830337524
2014-05-06,"In presenting long-term financial estimates, AstraZeneca said it expected to achieve annual revenue of $45 billion by 2023, suggesting Pfizer’s bid undervalued the company.",negative,-0.3075809180736542
2014-05-06,AstraZeneca Makes Its Case Against Pfizer’s Takeover Bid,neutral,-0.0804373174905777
2014-05-07,"Briggs Morrison, who oversees drug development for AstraZeneca, says the company would be better off without Pfizer.",negative,-0.5251435041427612
2014-05-07,"He bases that, in part, on having worked at Pfizer.",neutral,0.023597633466124535
2014-05-07,A Scientist’s Defense of Keeping AstraZeneca Independent,neutral,0.02828032523393631
2014-05-08,"AstraZeneca’s board would do well to evaluate whether the company’s progress will continue under Pfizer’s management, Bill George, a professor at Harvard Business School, writes in the Another View column.",positive,0.6107978224754333
