Date,Sentence,Prediction,sentimentScore
2014-02-05,"In a cause-marketing coupon campaign, High Ridge Brands, which makes soap and hair care brands like Zest, Coast and Alberto VO5, is donating its products to families in need.",neutral,0.19032178819179535
2014-02-05,A Crusade for the Financially Devastated,neutral,0.12211903184652328
2014-02-07,Coca-Cola presumably gave Green Mountain Coffee a comprehensive review before deciding to buy a stake.,neutral,0.12560343742370605
2014-02-07,"But the hedge fund manager David Einhorn can’t be easily dismissed either, Kevin Allison writes in Reuters Breakingviews.",negative,-0.6393917202949524
2014-02-07,Coke and Einhorn Take Opposite Sides of Green Mountain Bet,neutral,0.027635639533400536
2014-02-17,"While unisex personal care products proliferated a generation ago, the shampoo aisle remained a haven for unisex products, but that, too, is shifting.",neutral,0.019518952816724777
2014-02-17,"In Shampoo Ads for Men, It’s Not Just the Hair, It’s What It Does for You",neutral,0.02184806764125824
2014-03-11,"Procter & Gamble and ConAgra, two consumer-product giants that once battled each other for market share, are combining their ad dollars to advance a good cause.",positive,0.8267207741737366
2014-03-11,Former Rivals Come Together in a Campaign to End Childhood Hunger,neutral,0.046070441603660583
2014-04-02,A ruling by a California state court allows venture capital firms to control the amount of information they disclose.,neutral,-0.02652117982506752
2014-04-02,But is it the best solution?,neutral,0.04210273176431656
2014-04-02,"Probably not, says Jonathan Axelrad, a partner at Goodwin Procter.",neutral,-0.19996771216392517
2014-04-02,Venture Capital’s Need for Secrecy Collides With Public’s Right to Know,neutral,-0.13368742167949677
2014-04-03,"Mr. Black, a commercial artist, drafted the original rendering of Procter & Gamble’s trademark “genie in a bottle.”",neutral,0.07912648469209671
2014-04-03,"Richard Black, 92, Artist Who Conjured ‘Mr.",neutral,-0.1346433311700821
2014-04-03,"Clean,’ Dies",neutral,0.14126336574554443
2014-04-09,"The $2.9 billion sale of the brands, including Iams and Eukanuba, was championed by the activist investor William A. Ackman.",neutral,0.12945406138896942
2014-04-09,"To Slim Down, Procter & Gamble Sells Most of Its Pet Food Brands to Mars",neutral,0.0036978088319301605
2014-04-10,Junior bankers are still working long hours despite new policies.,negative,-0.9065737128257751
2014-04-10,| Four rival offers for Detroit’s art could be an obstacle for the city as it tries to resolve its bankruptcy.,negative,-0.6738656759262085
2014-04-10,| Ally prepares for its I.P.O.,neutral,-0.03376336395740509
2014-04-10,| Procter & Gamble sells most of its pet food brands to Mars.,neutral,0.00845502782613039
2014-04-10,Morning Agenda: Junior Banker Blues,neutral,0.005780015140771866
2014-04-30,"The main challenge is mustering enough resources to take on the consumer products behemoth Procter & Gamble, writes Kevin Allison of Reuters Breakingviews.",neutral,0.42548447847366333
2014-04-30,Energizer Split Leaves Biggest Problem Intact,negative,-0.5864424109458923
2014-05-19,The socially conservative entertainment company that produced “The Chronicles of Narnia” trilogy is now seeking to collaborate with more risqué partners.,neutral,0.44026580452919006
