Date,Sentence,Prediction,sentimentScore
2014-01-03,George Canellos oversaw and closed some of the highest profile investigations into the financial crisis.,neutral,-0.04708797112107277
2014-01-03,His departure could portend a subtle shift in the agency’s enforcement agenda.,neutral,-0.278814435005188
2014-01-03,"With Crisis Behind Him, S.E.C.’s Co-Chief of Enforcement Is Leaving",neutral,-0.08433115482330322
2014-01-06,"Julius Genachowski, who headed the F.C.C.",neutral,-0.012869376689195633
2014-01-06,"until May, will work on investments in the technology, media and telecommunications sectors, including the Internet and mobile.",neutral,0.033049315214157104
2014-01-06,Carlyle Hires Former F.C.C.,neutral,-0.40600547194480896
2014-01-06,Chairman for Buyout Group,neutral,0.05071187764406204
2014-01-07,Representative Jeb Hensarling is soon expected to propose legislation that could open up a huge loophole in the Volcker Rule.,neutral,0.07957309484481812
2014-01-07,House Financial Services Chairman to Seek Volcker Rule Change,neutral,-0.3160121440887451
2014-01-09,Shares in Dish were down more than 2.5 percent on Thursday after a lawyer for LightSquared said in bankruptcy court that its suitor had terminated its offer.,negative,-0.9634706974029541
2014-01-09,Dish Shares Drop After It Withdraws Bid for LightSquared,negative,-0.9567952156066895
2014-01-13,"The Swiss bank, which has a major presence on Wall Street, issued new guidelines to discourage analysts and associates from working in the office on Saturdays.",negative,-0.8297289609909058
2014-01-13,Credit Suisse Tells Junior Bankers to Take Saturdays Off,negative,-0.6283435225486755
2014-01-14,The revision would permit banks to continue to hold on to a special type of collateralized debt obligation.,neutral,0.19356097280979156
2014-01-14,Regulators Ease Volcker Rule Provision on Smaller Banks,negative,-0.31567811965942383
2014-01-15,The regulations will limit attempts by speculators to corner the market in raw materials like corn or grain.,neutral,0.011827871203422546
2014-01-15,Europe Reaches Agreement on Trading of Derivatives,positive,0.7851212024688721
2014-01-16,"To skirt caps placed on bonuses in Europe, the company will pay some employees a salary, a bonus and what it calls “role-based pay.”",neutral,0.22809872031211853
2014-01-16,"For Goldman in Europe, a 3rd Way to Get Paid",neutral,0.08708670735359192
2014-01-17,The bank disclosed it had set aside an unusually large $1.2 billion for litigation costs associated with its mortgage lending businesses and other credit crisis headaches.,negative,-0.5129103064537048
2014-01-17,A Debt-Related Charge of $1.2 Billion Puts a Dent in the Profit of Morgan Stanley,negative,-0.9577709436416626
2014-01-21,"Mohamed El-Erian is unexpectedly resigning from the giant asset manager Pimco, dashing expectations that he would take over management of the firm.",negative,-0.9093934297561646
2014-01-21,Heir Apparent at Pimco to Step Down,neutral,-0.21073639392852783
2014-01-22,The activist investor called on eBay to spin off its PayPal business as he nominated two of his employees as candidates for the board.,neutral,-0.32774442434310913
2014-01-22,Icahn Adds eBay to His Targets in Technology,neutral,0.05808187648653984
2014-01-23,The story of GrafTech illustrates the complex dynamics when relations between directors and management turn sour.,neutral,-0.05139629542827606
2014-01-23,It also highlights the sensitivity inside the boardroom in an era of activist investors and insider trading.,neutral,-0.0988771989941597
2014-01-23,"Behind Staid Steel, a Percolating Boardroom Drama",neutral,-0.21290849149227142
2014-01-24,"The firm is considering a new policy to prohibit employees from using peer-to-peer chat services provided by Bloomberg L.P., Yahoo and other third-party companies, a person close to the situation said.",negative,-0.5618840456008911
2014-01-24,Goldman May Restrict Employees’ Use of Chat Services,neutral,-0.3192603588104248
2014-01-27,The 26-year-old will host an hour show on 1 p.m. as the network changes its daily lineup.,neutral,-0.021723534911870956
2014-01-27,"MSNBC Makes Room for Ronan Farrow, Rearranging the Schedule",neutral,-0.10297518968582153
2014-01-28,The move to strip Michael S. Jeffries of his role as chairman comes as the embattled teen retailer faces pressure from investors.,negative,-0.9098201990127563
2014-01-28,Mr. Jeffries will remain chief executive.,neutral,0.01491414662450552
2014-01-28,"Under Pressure, Abercrombie & Fitch Splits Roles of Chairman and C.E.O.",neutral,-0.028055183589458466
2014-01-29,Breaking down the admittedly messy math for the original Motorola deal shows that Google didn’t exactly lose nearly $10 billion on that transaction.,negative,-0.5317080616950989
2014-01-29,Did Google Really Lose on Its Original Motorola Deal?,negative,-0.5871952772140503
2014-01-30,"Box, the online storage and document-sharing company, was able to file its I.P.O.",positive,0.6352730989456177
2014-01-30,"paperwork confidentially because of the JOBS Act, a law meant to make it easier for companies to go public.",neutral,-0.06118592992424965
2014-01-30,"Box, an Online Storage Start-Up, Is Said to File for an I.P.O.",neutral,0.00977860763669014
2014-02-01,"The message to aspiring video makers on YouTube is clear, and seductive: Attract an audience, build your brand.",neutral,0.24541208148002625
2014-02-01,"But success, let alone stardom and wealth, remains elusive.",neutral,0.0563855804502964
2014-02-01,"Chasing Their Star, on YouTube",neutral,0.07371502369642258
2014-02-03,"Antony Jenkins, the chief executive of Barclays, said Monday that he would forgo a bonus offered to him by the bank’s board in light of the bank’s continued restructuring costs and litigation expenses.",negative,-0.4600868225097656
2014-02-03,Barclays Chief Declines Annual Bonus,negative,-0.5516700744628906
2014-02-04,"The move intensified a cash squeeze for the commonwealth, whose financial condition is of outsize importance to the rest of the United States because its debt is widely held by individual investors through mutual funds.",negative,-0.3735015392303467
2014-02-04,S.&P.,neutral,0.031057283282279968
2014-02-04,Lowers Puerto Rico Debt to Junk Status,neutral,0.0429958701133728
2014-02-06,"The Carlyle Group is paying $3.2 billion for the unit, which produces a range of products used in shipping and transportation.",neutral,0.05718862637877464
2014-02-06,Illinois Tool Works Sells Packaging Unit to Carlyle Group,neutral,-0.005933875218033791
2014-02-07,The new downgrade was expected to further narrow the island’s room for tight financial maneuvering and has reportedly given rise to discussions with lenders about short-term relief on certain payments.,negative,-0.3582327663898468
2014-02-07,Puerto Rico’s Second Cut to Junk Debt,negative,-0.6438106894493103
2014-02-10,"Chamath Palihapitiya, the founder of a venture capital fund, told the elite entrepreneurs of Harvard Business School that they were at a disadvantage when it came to attracting capital.",negative,-0.7874855995178223
2014-02-10,Tech Investor to Entrepreneurs: A Harvard Degree Is a Liability,neutral,0.047580473124980927
2014-02-11,"The swag that the Wall Street bank offered at the Women Engineers Code, or WECode, conference at Harvard was found off-putting by at least one attendee.",negative,-0.894257664680481
2014-02-11,Goldman Handed Out Cosmetic Mirrors and Nail Files at Women’s Coding Event,neutral,0.07917135208845139
2014-02-12,"George Canellos, the latest Wall Street regulator to switch sides, will start his new job in mid-March, two months after leaving the Securities and Exchange Commission.",neutral,-0.011748043820261955
2014-02-12,Former Top S.E.C.,neutral,0.03461671993136406
2014-02-12,Enforcer Returns to Milbank,neutral,-0.06254581362009048
2014-02-13,"Terra Firma said that Damian Darragh, who worked for Terra Firma for 18 years and was head of its green power investments, was asked to leave the firm.",neutral,-0.24165166914463043
2014-02-13,"In Surprise Move, Terra Firma Shakes Up Renewable Energy Team",neutral,0.10275789350271225
2014-02-14,"The agreement could heat up competition in the world of web messaging, where services like WhatsApp of the United States and WeChat of China are vying for users.",positive,0.7399752736091614
2014-02-14,"As War for Web Messaging Users Grows, Rakuten Buys Viber for $900 Million",neutral,0.08785687386989594
2014-02-17,"The Serious Fraud Office of Britain accused the former bank employees of conspiring to manipulate the London interbank offered rate, or Libor, from June 2005 to August 2007.",negative,-0.8217145204544067
2014-02-17,3 Who Worked at Barclays Face Charges in Libor Case,negative,-0.8174735903739929
2014-02-18,"The new rules will force the American operations of foreign banks to follow many of the same rules as American banks, including holding more capital as a financial buffer to absorb losses..",neutral,0.21466636657714844
2014-02-18,Fed Closes a Loophole for Banks Overseas,neutral,-0.05694170296192169
2014-02-19,Kenneth C. Griffin’s money will largely go the college’s financial aid program as Harvard seeks to blunt criticism that higher education has become the province of the 1 percent.,neutral,0.0774911567568779
2014-02-19,"Founder of Citadel Pledges $150 Million to Harvard, Its Largest Gift Ever",neutral,0.40397167205810547
2014-02-20,Years of lackluster performance and growing competition for institutional investors like pension funds have made hedge funds warm to the idea of branding.,positive,0.49213865399360657
2014-02-20,Just do not call it advertising.,neutral,0.0037634968757629395
2014-02-20,"With Ban on Ads Removed, Hedge Funds Test Waters",neutral,-0.04730527102947235
2014-02-21,The bank also paid $196 million to settle charges that it advised clients in the United States without first registering with the Securities and Exchange Commission.,neutral,-0.22248169779777527
2014-02-21,Credit Suisse Admits Guilt in Settling With S.E.C.,neutral,0.10047385096549988
2014-02-24,The bank said it would pay an allowance to high-ranking executives in order to circumvent European compensation limits and announced earnings for 2013 that fell short of analyst expectations.,positive,0.017229825258255005
2014-02-24,HSBC to Sidestep European Union Bonus Cap as It Cuts Costs,negative,-0.49053701758384705
2014-02-25,"Steven A. Cohen, the billionaire hedge fund owner, is looking to hire a former prosecutor or securities regulator to monitor trading at his investment firm after the federal government’s insider trading investigation.",neutral,-0.13057160377502441
2014-02-25,"After Inquiry, SAC Capital Says It Intends to Hire a Trading Monitor",neutral,0.06323830783367157
2014-02-27,"Daniel Loeb’s hedge fund, Third Point, is seeking three seats on the board of Sotheby’s, stepping up a battle between the auction house and one of its most vocal investors.",neutral,-0.07677903771400452
2014-02-27,Loeb Plans a Proxy Fight at Sotheby’s,neutral,-0.4191912114620209
2014-02-28,"The rapid decline of measured unemployment has outpaced improvement in other economic indicators, leaving the Fed looking for a new yardstick.",negative,-0.38583001494407654
2014-02-28,Fed Searches for a New Method of Offering Guidance,neutral,0.004505543038249016
2014-03-01,The challenge for Warren E. Buffett is whether Berkshire Hathaway can continue to make large acquisitions that will help the company grow at a pace that will sustain his reputation as the nation’s shrewdest investor.,positive,0.6946480870246887
2014-03-01,Buffett Hints at More Heinz-Like Deals in Annual Letter,neutral,0.3355712890625
2014-03-03,"Banamex USA, a banking affiliate that handles transactions across the Mexican border, has become entangled in an investigation into compliance with rules on the monitoring of financial transfers.",negative,-0.9317946434020996
2014-03-03,Citigroup Affiliate’s Troubles Multiply as Money-Laundering Subpoenas Follow Fraud,negative,-0.9112603664398193
2014-03-04,"Moelis & Company filed for an initial public offering on Tuesday, a move that would make it one of a handful of independent investment banks that trade on the public stock markets.",neutral,0.36517512798309326
2014-03-04,Moelis & Company Files for an I.P.O.,neutral,-0.04101575165987015
2014-03-05,"New York State’s superintendent of financial services says his office received “hundreds” of consumer complaints about problems related to Nationstar’s mortgage modifications, improper fees and lost paperwork.",negative,-0.95196133852005
2014-03-05,New York Demands Data From Mortgage Firm Nationstar,neutral,-0.007847011089324951
2014-03-06,"A Newsweek article contends that a man in Southern California named Satoshi Nakamoto was the creator of the virtual currency Bitcoin, but many people say they are unconvinced.",negative,-0.6595237255096436
2014-03-06,Bitcoin’s Mysterious Creator Is Said to Be Identified,neutral,-0.11589938402175903
2014-03-10,"The combined companies, which will be named ChiquitaFyffes, will be the world’s largest producer and distributor of bananas and will have about $4.6 billion in annual revenue.",positive,0.5228683948516846
2014-03-10,Chiquita Buys Ireland’s Fyffes to Go Global in Banana Business,neutral,0.3213372826576233
2014-03-11,"Benjamin Lawsky, the superintendent of New York’s Department of Financial Services, issued his first public order on virtual currencies like Bitcoin, calling for proposals for creating regulated exchanges.",neutral,0.3326391577720642
2014-03-11,Virtual Exchange Plans Are Sought in New York,neutral,0.02927100472152233
2014-03-12,"Berkshire Hathaway disclosed that it planned to exchange the bulk of its holdings in Graham Holdings — about 1.6 million shares — for a Miami television station, cash and some shares that Graham holds in Berkshire.",neutral,0.03645512834191322
2014-03-12,Buffett Shrinks Ties to the Graham Family,negative,-0.8169699311256409
2014-03-13,"Ronald N. Dennis, who agreed to be banned from the securities industry and to pay $200,000, received confidential tips about Dell and Foundry Networks that “prompted illegal trades.”",negative,-0.7282959222793579
2014-03-13,S.E.C.,neutral,0.030168529599905014
2014-03-13,Unveils Case Against 10th Former Employee of SAC Capital,negative,-0.5767999291419983
2014-03-14,The Chinese e-commerce titan Alibaba is said to be planning to follow the social network Weibo into filing for an I.P.O.,neutral,0.0011482574045658112
2014-03-14,"in New York, rather than in Hong Kong.",neutral,-0.26040494441986084
2014-03-14,China’s Online Goliaths Prepare Public Offerings in U.S.,neutral,0.004435352981090546
2014-03-18,"A shareholder vote set in motion a process that will almost certainly result in the ouster of Barry M. Portnoy and his son, Adam D. Portnoy, who control CommonWealth.",neutral,0.07437863200902939
2014-03-18,Activists Prevail in Campaign to Oust REIT’s Board,negative,-0.21597914397716522
2014-03-19,"The government’s case against two Wall Street insiders laid bare an elaborate if somewhat old-fashioned plan, where a middleman would relay tips, written on a Post-it note or napkin, at Grand Central Terminal’s four-faced clock.",neutral,-0.15978296101093292
2014-03-19,"Traders of Tips Meet at Grand Central, and Eat the Evidence",neutral,-0.026767123490571976
2014-03-20,Robert D. Marcus will receive a severance payment that amounts to more than $1 million a day for the six weeks he ran Time Warner Cable before agreeing to sell.,neutral,0.0016947463154792786
2014-03-20,$80 Million for 6 Weeks for Cable Chief,neutral,-0.11208789050579071
2014-03-21,"The company is paying $1.6 billion for LIN Media, another operator of local TV stations, and will run 74 stations in 46 markets.",neutral,0.10185433179140091
2014-03-21,Only Sinclair Broadcasting manages more stations.,neutral,0.00888834334909916
2014-03-21,Acquisition by Media General Creates 2nd-Largest Local TV Owner,positive,0.4863017499446869
2014-03-24,A federal jury in Manhatttan has found five associates of the convicted swindler Bernard L. Madoff guilty on 31 counts of aiding one of the largest Ponzi schemes in history.,negative,-0.59856778383255
2014-03-24,Jury Says 5 Madoff Employees Knowingly Aided Swindle of Clients’ Billions,negative,-0.7466179728507996
