Date,Sentence,Prediction,sentimentScore
2014-01-02,"To reach its goal, Fiat must enter a partnership with an Asian automaker that would give it access to the Chinese car market, the analyst Massimo Vecchio said.",positive,0.8296511769294739
2014-01-02,Fiat’s Challenge Is to Improve Performance in Italy and Asia,positive,0.9279507994651794
2014-01-21,"Toyota’s president calls for an emotional Camry design; ADAC, the German car club, is embroiled in scandal over falsified contest results.",negative,-0.9201509356498718
2014-01-21,Wheelies: The More Emotional Camry Edition,neutral,0.10294828563928604
2014-01-24,A Super Bowl car ad stars include the Muppets for Toyota and James Franco for Ford; Justin Bieber gets a D.U.I.,neutral,-0.017590206116437912
2014-01-24,after racing in a Lamborghini in Miami.,neutral,0.031850337982177734
2014-01-24,Wheelies: The Muppet Toyota Edition,neutral,0.038848426192998886
2014-01-27,"Manufacturers have produced vehicles more loaded with technology to draw in younger drivers, but those drivers say price and fuel economy remain their prime motivators.",neutral,0.31330010294914246
2014-01-27,"Makers Pack New Cars With Technology, but Younger Buyers Shrug",neutral,-0.002294793725013733
2014-01-30,"Chevrolet, Audi, Kia and Toyota are among repeat Super Bowl advertisers, but Jaguar will be a first timer.",neutral,0.0382903516292572
2014-01-30,Super Bowl Will Again Be a Showcase for Automakers,positive,0.505940854549408
2014-01-31,"Toyota has told its dealers to stop selling about 36,000 vehicles because a component on the heated seats does not comply with a federal safety standard for flame retardants.",negative,-0.9399786591529846
2014-01-31,Some Toyota Model Sales Halted Over Seat Problem,negative,-0.9299271106719971
2014-02-01,"Crash testing performed on small cars popular in India revealed sub-standard safety, and Volkswagen took second in global light vehicle sales in 2013.",positive,0.5622153878211975
2014-02-01,Wheelies: The Small Car Smashup Edition,neutral,-0.12149396538734436
2014-02-03,Toyota issued the most recalls of any carmaker in 2013; Chrysler ranked second.,neutral,0.00951288640499115
2014-02-03,Safety Agency Says 22 Million Vehicles Recalled in 2013,negative,-0.9138367772102356
2014-02-04,The automaker found that a Chinese parts supplier used counterfeit material in an accelerator pedal assembly that had already prompted a recall.,negative,-0.9378780722618103
2014-02-04,Aston Martin Starts Recall Anew After Finding Counterfeit Material in Repair Pedal Assembly,negative,-0.8582497835159302
2014-02-07,"With demand overtaking supply, Mercedes-Benz is rescinding incentives and raising prices; Renault introduces a tiny, drone-equipped off-road car.",positive,0.5858138203620911
2014-02-07,Wheelies: The Carrot and Stick Edition,neutral,0.04158545285463333
2014-02-10,"In one case, Toyota is nearing a deal with the Justice Department to settle a criminal investigation over the way the automaker disclosed complaints stemming from the sudden acceleration of its vehicles, according to two people with knowledge of the talks.",negative,-0.6380351185798645
2014-02-10,Toyota in Talks on Final Settlements Over Car Recalls,neutral,-0.061195701360702515
2014-02-12,"In its annual study, J.D.",neutral,0.041134364902973175
2014-02-12,Power found that engine and transmission problems topped the list of reliability concerns.,negative,-0.7802150845527649
2014-02-12,Vehicle Dependability Declines Significantly in J.D.,negative,-0.9598929286003113
2014-02-12,Power Study,neutral,0.05664291977882385
2014-02-14,"A part from a supplier in Ohio failed, according to complaints, leading the automaker to switch to a Japanese part and issue a recall.",negative,-0.9507072567939758
2014-02-14,"Toyota Recalls 261,000 Trucks and S.U.V.’s for Traction Control Malfunction",negative,-0.9588537216186523
2014-02-20,General Motors makes moves to produce an aluminum-body pickup truck by 2018; Toyota tests a wireless E.V.,neutral,0.2760397791862488
2014-02-20,charging system.,neutral,0.024825898930430412
