Date,Sentence,Prediction,sentimentScore
2014-01-10,Mr. Jones was one of the last of the swashbuckling breed of aerospace-industry titans who were almost synonymous with their corporations and the aircraft they produced.,neutral,-0.004846509546041489
2014-01-10,"Thomas V. Jones, Builder of Northrop Into Big Military Contractor, Dies at 93",neutral,0.0037212297320365906
2014-01-12,"“It’s everywhere you want to be,” has become “Everywhere you want to be” to highlight many options available under the Visa brand umbrella, including mobile and electronic payments.",neutral,0.11593148857355118
2014-01-12,Visa Trims Slogan to Expand Meaning,positive,0.7357028126716614
2014-01-13,"It’s a faster, sportier and more agile companion to the Continental GT V8.",positive,0.4957098960876465
2014-01-13,Bentley Adds a Fourth Model to Its Continental Line,neutral,0.23251837491989136
2014-01-19,"Chet Kanojia’s company, Aereo, has figured out how to grab over-the-air television signals and stream them to subscribers on the Internet.",neutral,0.15197405219078064
2014-01-19,It is an invention that could topple TV titans.,neutral,-0.20812419056892395
2014-01-19,A Tiny Antenna Threatens the TV Networks’ Airspace,negative,-0.6577496528625488
2014-01-20,"Two brands of Greek-style yogurt, Chobani and Dannon Oikos, have bought commercial time during the game.",neutral,0.05610079690814018
2014-01-20,Yogurt Joins Super Bowl Snack Parade,neutral,0.048894986510276794
2014-01-27,"The latest in a string of cable tie-ups sees Liberty Global, John Malone’s company, take full control of its Dutch rival Ziggo.",neutral,0.1106671392917633
2014-01-27,"Deal making has proved trickier for telecommunications companies, but activity should start to rise, Quentin Webb writes in Reuters Breakingviews.",positive,0.906062126159668
2014-01-27,European Telecommunications Companies May Follow Cable’s Lead,neutral,0.08255856484174728
2014-01-30,"The world’s biggest private equity fund, known as Blackstone Capital Partners V, represents a potentially lucrative source of profit for Blackstone — but one that remains locked up for the immediate future.",neutral,0.18107597529888153
2014-01-30,"For Blackstone, a Pot of Gold Remains Out of Reach",neutral,-0.333291620016098
2014-02-17,A group of investors led by an affiliate of Maurice R. Greenberg and the Swiss investment firm Partners Group announced on Monday that it had acquired MultiPlan.,neutral,0.0758480429649353
2014-02-17,C.V. Starr and Partner Buy Health Care Concern in a $4.4 Billion Deal,neutral,0.07370515167713165
2014-02-18,"McLaren announces its new 650S, another twin-turbo V8 supercar; pickup manufacturers agree to standardize towing capability testing.",positive,0.8153349161148071
2014-02-18,Wheelies: The Next McLaren Supercar Edition,neutral,0.05342274159193039
2014-02-28,"A look at some of the highlights, lowlights and more awkward happenings that took place at the annual RSA security conference this week.",neutral,-0.034075889736413956
2014-02-28,"At the RSA Security Conference, Things Get Testy and Then They Get Awkward",negative,-0.6385525465011597
2014-03-02,"The report, from leading security experts, also found that while the government has focused on the high-voltage power grid, less work has been done on the lower-voltage distribution system.",negative,-0.633965015411377
2014-03-02,Report Calls for Better Backstops to Protect Power Grid From Cyberattacks,positive,0.63577800989151
2014-03-04,Market tensions ease after Russia appears to back away from further action in Ukraine.,positive,0.14776065945625305
2014-03-04,| A Citigroup affiliate in Los Angeles receives a federal subpoena.,negative,-0.7395583391189575
2014-03-04,| A small-business owner continues his battle against U.S. Bancorp.,negative,-0.8312700390815735
2014-03-04,| Men’s Wearhouse and Jos.,neutral,0.0024479106068611145
2014-03-04,A.,neutral,0.07888311892747879
2014-03-04,"Bank reach a nondisclosure accord, paving the way for a merger.",positive,0.8684486746788025
2014-03-04,A Calming of Global Markets,neutral,0.14044630527496338
2014-03-06,"Janine Gibson, the paper’s editor in chief of its United States operations, will return to London and will be replaced by Katherine Viner.",negative,-0.6400728821754456
2014-03-06,Guardian to Make Management Changes,neutral,-0.02803664654493332
2014-03-07,First American Bank in Chicago got publicity but little satisfaction after it identified a source of debit card theft and tried to stop it.,negative,-0.9145879149436951
2014-03-07,"After Debit Card Fraud, a Chicago Bank Feels Its Customers’ Frustration",negative,-0.8903694152832031
2014-03-12,A car-themed hotel in Germany offers beds made out of classic cars; N.T.S.B.,neutral,0.005756653845310211
2014-03-12,head steps down to lead safety advocacy non-profit.,neutral,-0.009942937642335892
2014-03-12,Wheelies: The V8 Hotel Edition,neutral,0.053914740681648254
2014-03-13,"Vanessa Friedman, the fashion editor of The Financial Times, will lead global fashion coverage on all publishing platforms.",neutral,0.04596753045916557
2014-03-13,The New York Times Hires Critic and Fashion Director,neutral,-0.08530549705028534
2014-03-20,"A stable Ukraine, with an economy that catches up to its neighbors, is the best defense against disintegration.",positive,0.5349443554878235
2014-03-20,two economists write.,neutral,-0.15110597014427185
2014-03-20,The Economics of Limiting Russia’s Expansion,neutral,-0.006909020245075226
2014-03-28,G.M.,neutral,0.048085395246744156
2014-03-28,will build Buicks at its Opel plant in Germany; Ford will build its new V6 Ecoboost truck engines at its factory in Ohio.,neutral,0.02401816099882126
2014-03-28,Wheelies: The Euro-Buick Edition,neutral,0.0574355274438858
2014-04-01,"Efforts to increase card security have long been underway, but recent hacking incidents at Target, Neiman Marcus and Michaels have added urgency to strengthening safeguards using smart chips and advanced computer programming.",positive,0.8448305726051331
2014-04-01,"The Credit Card of Tomorrow: Software, Not Plastic",neutral,0.004280120134353638
2014-04-02,"A federal district court’s view on a sale of a piece of a loan is problematic, writes Stephen J. Lubben in the In Debt column.",negative,-0.8219385147094727
2014-04-02,Giving a Debtor a Big Club Against Lenders,neutral,-0.2405610978603363
2014-04-15,Chevrolet shares details of its 625-horsepower droptop Corvette variant.,neutral,0.05688517913222313
2014-04-15,Chevrolet Corvette Z06 Convertible: A New V8 Engine Roars Inside,neutral,0.23303022980690002
2014-04-21,"Dmytro Firtash has made billions brokering gas deals, but he now faces both a criminal indictment and a racketeering lawsuit in United States courts.",negative,-0.6098007559776306
2014-04-21,Ukrainian Gas Broker Faces Scrutiny,negative,-0.45462897419929504
2014-04-29,"With the latest round of sanctions over the Ukraine crisis, relationships between Russian state-owned businesses and large multinational companies look increasingly complicated.",negative,-0.8702975511550903
2014-04-29,Sanctions Over Ukraine Cause Headaches in the Energy Sector,negative,-0.841797411441803
2014-04-30,"Benjamin M. Lawsky, New York State’s top financial regulator, is sending cease-and-desist letters to 20 companies suspected of making illegal payday loans.",negative,-0.7792118787765503
2014-04-30,New York State Makes New Efforts to Combat Payday Lenders,positive,0.5124556422233582
2014-05-05,"If you wanted to see clearly into how all the various components of the modern media ecosystem interact, you could not come up with a better real-time experiment than the Donald Sterling story.",neutral,0.043155696243047714
2014-05-05,"A Key Player in a Scandal, V. Stiviano Feeds the Media’s Appetite",neutral,-0.09533476084470749
2014-05-07,"Immigration agencies around the world have learned to use technology, including Facebook, Google and Twitter, to screen travelers for evidence of a criminal record, political activism or intention to work without a visa.",neutral,0.11717291176319122
2014-05-07,Your Digital Trail Follows You to the Border,neutral,0.04049278050661087
2014-05-09,"Ford will raffle a one-of-a-kind Mustang GT convertible, to benefit multiple sclerosis research; Subaru anticipates 20 percent sales growth by 2020.",positive,0.7742281556129456
2014-05-09,Wheelies: The Philanthropic Pony Car Edition,neutral,0.05460190773010254
2014-05-16,Kia announces nationwide rollout of its K900 luxury sedan; 1999 Packard Twelve prototype to go up for sale in July auction.,positive,0.645710825920105
2014-05-16,Wheelies: The Top-Shelf Kia Edition,neutral,0.0624300017952919
2014-05-18,A hacking of customer data at Target has intensified the pace of changing the way Americans pay for goods.,positive,0.6534146666526794
2014-05-18,Cashless Customers Hold Riches for Retailers,neutral,-0.3033962845802307
2014-05-23,"A luxury chicken coop, a China-Russia gas deal and more car recalls at General Motors.",negative,-0.9021742343902588
2014-05-23,Pictures From the Week in Business,neutral,-0.02614821493625641
2014-05-28,"The investment firm, long known for its shareholder activism, agreed to invest $150 million into Magnum Hunter Resources through a private offering.",neutral,0.42622116208076477
2014-05-28,"Relational Takes Stake in Magnum Hunter, an Oil and Gas Driller",neutral,-0.01771112158894539
2014-06-03,The payment processor plans to create a special designation that will alert consumers to cards that meet criteria involving fees and terms.,neutral,0.090571328997612
2014-06-03,Visa Is Preparing a Standard for Prepaid Debit Cards,neutral,0.05898771807551384
2014-06-23,"Oracle’s deal for Micros Systems, a maker of software for restaurants and hospitality providers, is its biggest since the takeover of Sun Microsystems five years ago.",positive,0.7890815138816833
2014-06-23,Oracle to Buy a Software Maker Micros Systems for $5.3 Billion,neutral,0.04499637708067894
2014-07-15,"Ralph V. Whitworth, who has served on several boards and led HP through a tumultuous period, will go on leave Wednesday.",neutral,-0.29267069697380066
2014-07-15,The company did not reveal his condition or say how long he would be away.,neutral,-0.1375700980424881
2014-07-15,HP Chairman Ralph Whitworth Exits to Focus on Health,neutral,-0.07417722791433334
2014-07-17,"Energy companies form the backbone of the Russian economy, and they increasingly turn to China when they need cheap capital.",neutral,0.019119853153824806
2014-07-17,Russian Reliance on Chinese Loans May Blunt the Impact of U.S. Sanctions,negative,-0.8318509459495544
2014-07-18,TerraForm raised about $500 million from the offering and $65 million from two additional private stock sales conducted at the I.P.O.,neutral,0.17031672596931458
2014-07-18,price.,neutral,0.043540243059396744
2014-07-18,"TerraForm Power, Operator of Solar Plants, Prices I.P.O.",neutral,0.06251689791679382
2014-07-18,at Top of Range,neutral,-0.016290895640850067
2014-07-23,"The Affordable Care Act was designed to make health care more affordable and more uniform, but court rulings could deepen the disparities among states.",negative,-0.6543704867362976
2014-07-23,"Two Americas on Health Care, and Danger of Further Division",negative,-0.6222123503684998
2014-08-10,The European Union’s languishing case against the Russian gas company may underscore a reality: Gas is off the table when it comes to sanctions.,negative,-0.7933416366577148
2014-08-10,Stalled Gazprom Antitrust Case May Suggest Unease for Energy Sanctions,negative,-0.8746361136436462
2014-08-26,"The Jehovah’s Witnesses have moved their headquarters upstate, and their Watchtower complex in Dumbo is attracting tech start-ups.",neutral,0.38567161560058594
2014-08-26,Tech Tenants Filling a Slice of Brooklyn Called Dumbo Heights,neutral,-0.021458864212036133
2014-09-01,Ketchum’s staff members who provide public relations advice to Russia must avoid being seen as defending acts contrary to American interests while still providing some luster for a lucrative client.,neutral,-0.39676153659820557
2014-09-01,P.R.,neutral,0.051445938646793365
2014-09-01,Firm for Putin’s Russia Now Walking a Fine Line,neutral,0.15123498439788818
2014-09-09,Mercedes says the electronics-laden grand touring car works well on the track and the highway.,neutral,0.42912352085113525
2014-09-09,Mercedes Introduces the 2016 AMG GT,neutral,0.06208831071853638
2014-09-10,"Chris Pratt, from NBC’s “Parks and Recreation,” and Sarah Silverman, a “Saturday Night Live” alumna, will each host one of the first two “S.N.L.” shows this year.",neutral,0.059533096849918365
2014-09-10,‘Live From New York’: First Hosts for 40th Year,neutral,0.051595937460660934
2014-09-12,The eagerness of banks and card companies to work with Apple on its mobile payment system suggests Apple’s clout and the concern financial players have for their future.,positive,0.7004575729370117
2014-09-12,Banks Did It Apple’s Way in Payments by Mobile,neutral,-0.01476982980966568
2014-09-16,"European Union and American sanctions have pushed Russia to a point between growth and recession, said Aleksei Kudrin, a former finance minister.",negative,-0.9113673567771912
2014-09-16,Former Putin Aide Reinforces Dangers of Sanctions,negative,-0.48785147070884705
2014-09-18,"The top job at the database giant will be shared by Mark V. Hurd, now co-president, and Safra Catz, who is co-president and chief financial officer.",neutral,0.06586068868637085
2014-09-18,Larry Ellison to Step Down as Oracle’s Chief,neutral,-0.24734953045845032
2014-09-19,"Mr. Ellison’s 25 percent stake in the company — and dual role as chairman and chief technology officer — ensure he’s far from relinquishing control, Robert Cyran of Reuters Breakingviews writes.",neutral,0.16482007503509521
2014-09-19,Larry Ellison Keeps a Hand on the Wheel at Oracle,neutral,-0.06594530493021011
2014-09-22,"The opening keynote at Oracle’s annual conference will be about its“unique opportunity to be the leader of the next generation of cloud,” according to Mark Hurd, the new co-chief.",positive,0.7546809911727905
2014-09-22,Hurd: Oracle Takes On Microsoft in the Cloud,neutral,-0.2036106288433075
2014-09-23,"Russia, which was supposed to be a growth market for Wall Street, is turning out to be a potential financial and political nightmare amid the Ukraine situation and America’s sanctions.",negative,-0.9324413537979126
2014-09-23,High Hopes for Russia Are Fading on Wall St.,negative,-0.8969192504882812
2014-09-24,"The former Soviet bloc country depends heavily on its status as a transportation hub for Russia-bound goods, including its own agricultural products.",neutral,0.07841029763221741
2014-09-24,Lithuania Feels Squeeze in Sanctions War With Russia,negative,-0.8451405167579651
2014-09-25,The top-of-the-line C63 S features a new 503-horsepower 4-liter twin-turbo V8 engine.,neutral,0.22548483312129974
2014-09-25,"More Power, and a New Name, for the Mercedes-AMG C63",positive,0.8150638341903687
2014-09-26,"Benefits like car rental insurance and replacement of damaged goods are available through many credit cards, but holders have to do the research.",neutral,0.03063102625310421
2014-09-26,Lesser-Known Credit Card Perks Hide in Plain Sight,neutral,-0.2097465991973877
2014-10-01,"Relational Investors, one of the most prominent activist investors around, is planning to start up a new fund that will give more day-to-day control to the firm’s younger executives, a person briefed on the matter says.",neutral,0.08708029240369797
2014-10-01,"Relational Investors, an Activist Firm, Is Said to Plan a New Fund",neutral,-0.0008436776697635651
2014-10-02,President Vladimir V. Putin said Russia remained committed to developing an open market economy despite sanctions.,positive,0.7788679003715515
2014-10-02,Putin Discusses Russia’s Economy,neutral,0.049477025866508484
2014-10-07,"Next year, more than 30 storefronts will open in the concourse of Columbus Circle, which is one of the seven busiest subways in the New York City system.",neutral,0.12601564824581146
2014-10-07,"In Depths of Columbus Circle, a Retail Hub Blooms",neutral,0.04034992679953575
