Date,Sentence,Prediction,sentimentScore
2014-01-12,"JPMorgan Chase and Wells Fargo, set to report fourth-quarter results on Tuesday, will kick off a flurry of bank earnings, and Intel will post its fourth-quarter results.",positive,0.5166770815849304
2014-01-12,Economic Reports for the Week of Jan. 13,neutral,-0.19021853804588318
2014-01-14,Car loan origination jumped at JPMorgan Chase and Wells Fargo in the fourth quarter amid disappointing mortgage demand.,negative,-0.5200580358505249
2014-01-14,"Auto Loans Bring Growth, and Scrutiny, for Banks",neutral,0.20809388160705566
2014-01-15,"While Bank of America and Wells Fargo reported healthy profits in the last quarter, some observers are concerned that the banks are quickly depleting their rainy day funds.",negative,-0.9290246963500977
2014-01-15,Skeptics Question Banks’ Bottom Lines,negative,-0.6543384194374084
2014-01-16,"Doctor at SAC insider trading trial says trader knew so much detail about a drug trial, it was like “he was in the room.” | Goldman Sachs reports earnings after strong results from Bank of America and Wells Fargo.",positive,0.7569301128387451
2014-01-16,| Yahoo fires its No.,negative,-0.9285493493080139
2014-01-16,2 executive.,neutral,0.018135132268071175
2014-01-16,| Let’s play the M.&A.,neutral,-0.0007217545062303543
2014-01-16,Game.,neutral,0.04518289864063263
2014-01-16,"At SAC Trial, Doctor Tells of Surprise at Ex-Trader’s Drug Trial Knowledge",negative,-0.43877851963043213
2014-01-17,How well do you know your earnings reports?,neutral,0.0040318891406059265
2014-01-17,Match the financial company with the quote about its latest earnings report.,neutral,0.02307698130607605
2014-01-17,Weekend Reading: Bank Earnings Quiz,neutral,-0.127685084939003
2014-01-22,"Wells Fargo said on Wednesday that it sold the rights to service 184,000 mortgages to Ocwen Financial Corporation, a rapidly expanding company known for its expertise in dealing with subprime borrowers.",neutral,0.1472386121749878
2014-01-22,Wells Fargo Sells Servicing Rights on $39 Billion in Mortgages,neutral,0.04444081336259842
2014-01-25,The New York State comptroller wants banks to take an inventory of their risk-taking employees.,neutral,-0.06176958233118057
2014-01-25,Asking Banks to Reveal Where Their High Rollers Are,neutral,-0.06361930072307587
2014-02-06,"The office of Benjamin Lawsky, the superintendent of New York’s Department of Financial Services, has halted the transfer of about $39 billion in servicing rights to Ocwen from Wells Fargo.",negative,-0.9482418894767761
2014-02-06,State Regulator Halts Deal Between Wells Fargo and Loan Servicer,negative,-0.9063207507133484
2014-02-19,Representative Maxine Waters is urging federal banking regulators to scrutinize the sale of billions of dollars of mortgage-servicing rights to specialty firms.,neutral,-0.012429658323526382
2014-02-19,Lawmaker Urges U.S. Regulators to Scrutinize Mortgage Servicers,neutral,-0.06497840583324432
2014-03-10,"The combined companies, which will be named ChiquitaFyffes, will be the world’s largest producer and distributor of bananas and will have about $4.6 billion in annual revenue.",positive,0.5228683948516846
2014-03-10,Chiquita Buys Ireland’s Fyffes to Go Global in Banana Business,neutral,0.3213372826576233
2014-03-18,"The nation’s four largest banks have more than fulfilled their financial obligations toward homeowners under a $25 billion settlement reached in 2012, according to a report.",positive,0.880987823009491
2014-03-18,Big Banks Fulfill Part of Mortgage Deal,neutral,0.028236789628863335
2014-04-01,"Timothy J. Sloan, 53, is leaving the C.F.O.",neutral,-0.251389741897583
2014-04-01,"post to head Wells Fargo’s wholesale banking group, and John R. Shrewsberry, 48, currently head of Wells Fargo Securities,will become the new chief financial officer.",neutral,0.042265474796295166
2014-04-01,Wells Fargo Names New C.F.O.,neutral,-0.019425781443715096
2014-04-11,"In the first quarter, the bank said on Friday, it earned a profit of $5.9 billion, up 14 percent from the same period in 2013.",positive,0.9367203712463379
2014-04-11,The gain was fueled by lower loan losses and decreasing expenses.,positive,0.925306499004364
2014-04-11,Wells Fargo Posts Strong Earnings,positive,0.8827465772628784
2014-04-30,A new report from a banking regulator offers a snapshot of the morass of problems that mortgage holders who fell behind in payments experienced during the financial crisis.,negative,-0.751953661441803
2014-04-30,"Big Banks Erred Widely on Troubled Mortgages, U.S.",negative,-0.41500124335289
2014-04-30,Regulator Confirms,neutral,0.053280506283044815
